GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0006265	DNA topological change	5	1	0	1	0.0028	0.0028	Biological Process
GO:0042246	tissue regeneration	6	1	0	2	0.0034	0.0034	Biological Process
GO:0000002	mitochondrial genome maintenance	7	1	0	3	0.0040	0.0040	Biological Process
GO:0007064	mitotic sister chromatid cohesion	11	1	0.01	4	0.0063	0.0063	Biological Process
GO:0007406	negative regulation of neuroblast prolif...	29	1	0.02	7	0.0164	0.0164	Biological Process
GO:2000178	negative regulation of neural precursor ...	29	1	0.02	8	0.0164	0.0164	Biological Process
GO:2000647	negative regulation of stem cell prolife...	32	1	0.02	10	0.0181	0.0181	Biological Process
GO:0000724	double-strand break repair via homologou...	36	1	0.02	11	0.0204	0.0204	Biological Process
GO:0000725	recombinational repair	36	1	0.02	12	0.0204	0.0204	Biological Process
GO:1902692	regulation of neuroblast proliferation	41	1	0.02	13	0.0232	0.0232	Biological Process
GO:2000177	regulation of neural precursor cell prol...	42	1	0.02	14	0.0237	0.0237	Biological Process
GO:0072091	regulation of stem cell proliferation	47	1	0.03	15	0.0265	0.0265	Biological Process
GO:0006302	double-strand break repair	55	1	0.03	16	0.0310	0.0310	Biological Process
GO:0050768	negative regulation of neurogenesis	55	1	0.03	18	0.0310	0.0310	Biological Process
GO:0006310	DNA recombination	59	1	0.03	19	0.0332	0.0332	Biological Process
GO:0006367	transcription initiation from RNA polyme...	60	1	0.03	20	0.0338	0.0338	Biological Process
GO:0010721	negative regulation of cell development	65	1	0.04	21	0.0366	0.0366	Biological Process
GO:0006352	DNA-templated transcription, initiation	65	1	0.04	22	0.0366	0.0366	Biological Process
GO:0008285	negative regulation of cell population p...	68	1	0.04	23	0.0382	0.0382	Biological Process
GO:0016573	histone acetylation	68	1	0.04	24	0.0382	0.0382	Biological Process
GO:0006475	internal protein amino acid acetylation	69	1	0.04	25	0.0388	0.0388	Biological Process
GO:0018393	internal peptidyl-lysine acetylation	69	1	0.04	26	0.0388	0.0388	Biological Process
GO:0018394	peptidyl-lysine acetylation	69	1	0.04	27	0.0388	0.0388	Biological Process
GO:0006473	protein acetylation	73	1	0.04	28	0.0410	0.0410	Biological Process
GO:0007405	neuroblast proliferation	80	1	0.05	30	0.0449	0.0449	Biological Process
GO:0061351	neural precursor cell proliferation	81	1	0.05	31	0.0454	0.0454	Biological Process
GO:0043543	protein acylation	86	1	0.05	33	0.0482	0.0482	Biological Process
GO:0003916	DNA topoisomerase activity	3	1	0	1	0.0021	0.0021	Molecular Function
GO:0016407	acetyltransferase activity	29	1	0.02	2	0.0205	0.0205	Molecular Function
GO:0070847	core mediator complex	10	1	0.01	1	0.0085	0.0085	Cellular Component
GO:0016592	mediator complex	28	1	0.02	2	0.0237	0.0237	Cellular Component
