Gene	dN.dS	AlnLength	GeneAverage	Function	Codon	GCProp
5-HT1	0.08365	1152	54.8063636363636	NA	384	0.548063636363636
5-ht7	0.12095	666	51.8972727272727	NA	222	0.518972727272727
A4	0.19851	510	43.7781818181818	NA	170	0.437781818181818
Acph-1	0.2093	1185	41.0281818181818	NA	395	0.410281818181818
ACSF2	0.15856	888	49.7854545454545	NA	296	0.497854545454545
Adar	0.03833	1671	44.7636363636364	NA	557	0.447636363636364
Adk1	0.0963	567	41.2690909090909	NA	189	0.412690909090909
Akhr	0.08289	1020	38.1736363636364	NA	340	0.381736363636364
Amel_8916	0.06404	642	43.3309090909091	NA	214	0.433309090909091
Ant	0.07417	837	47.2790909090909	NA	279	0.472790909090909
Antp	0.07545	648	59.4536363636364	NA	216	0.594536363636364
apd-3	0.3038	744	62.8909090909091	NA	248	0.628909090909091
Argk	0.0363	999	50.7145454545455	NA	333	0.507145454545455
arm	0.01817	2307	48.1172727272727	NA	769	0.481172727272727
Arp1	0.00183	1128	49.0163636363636	Signalling	376	0.490163636363636
ATP5G2	0.07096	396	48.7372727272727	NA	132	0.487372727272727
B-gluc1	0.23234	1149	42.82	Receptor	383	0.4282
BBIP1	0.04206	1890	34.8954545454545	NA	630	0.348954545454545
Blop	0.11245	1131	48.7027272727273	NA	377	0.487027272727273
Br-c	0.13817	807	59.0409090909091	NA	269	0.590409090909091
Brd7	0.03524	2160	42.2127272727273	NA	720	0.422127272727273
c-mos	0.12567	819	35.2863636363636	NA	273	0.352863636363636
Cac	0.07136	4506	52.1172727272727	NA	1502	0.521172727272727
Calpb	0.05144	1368	43.7736363636364	NA	456	0.437736363636364
Cat	0.12938	564	47.0336363636364	NA	188	0.470336363636364
Cbs	0.11192	1368	34.6172727272727	NA	456	0.346172727272727
Cdc37	0.07859	951	34.9218181818182	NA	317	0.349218181818182
Cdk5	0.0407	894	45.17	NA	298	0.4517
Chmp1	0.02216	459	38.5818181818182	NA	153	0.385818181818182
Coq7	0.06316	585	39.8763636363636	NA	195	0.398763636363636
Cox6c	0.28927	186	34.3109090909091	NA	62	0.343109090909091
Cpap3-c	0.03993	786	55.0545454545455	NA	262	0.550545454545455
CPF1	0.11786	321	53.4136363636364	NA	107	0.534136363636364
CPR13	0.16086	303	47.2518181818182	NA	101	0.472518181818182
CPR14	0.07429	426	55.1863636363636	NA	142	0.551863636363636
CPR16	0.11844	885	51.6381818181818	NA	295	0.516381818181818
CPR17	0.08294	468	55.0518181818182	NA	156	0.550518181818182
CPR19	0.10317	606	52.1009090909091	NA	202	0.521009090909091
CPR21	0.14535	390	55.6418181818182	NA	130	0.556418181818182
CPR22	0.02762	318	56.2036363636364	NA	106	0.562036363636364
CPR3	0.10236	600	57.1218181818182	NA	200	0.571218181818182
CPR5	0.1348	489	52.5745454545455	NA	163	0.525745454545455
Cry2	0.0217	1569	48.9254545454545	NA	523	0.489254545454545
CSP2	0.11073	342	53.4554545454545	NA	114	0.534554545454545
CSP3	0.20933	387	45.2663636363636	NA	129	0.452663636363636
CSP4	0.14798	378	46.56	NA	126	0.4656
CSP6	0.08645	357	36.4136363636364	NA	119	0.364136363636364
CUTA	0.05546	342	34.8218181818182	NA	114	0.348218181818182
Cyp4g11	0.07521	1623	47.3090909090909	NA	541	0.473090909090909
CytC	0.05385	312	40.2972727272727	Signalling	104	0.402972727272727
Dat	0.05007	951	46.1136363636364	NA	317	0.461136363636364
Dcr-1	0.05172	3675	34.7045454545455	Receptor	1225	0.347045454545455
Dl	0.12703	1767	38.7036363636364	Signalling	589	0.387036363636364
Dnmt3	0.13534	1563	47.3972727272727	NA	521	0.473972727272727
Dop1	0.08089	663	49.8018181818182	NA	221	0.498018181818182
DopR2	0.04429	1296	55.45	NA	432	0.5545
E74	0.04717	1248	57.0381818181818	NA	416	0.570381818181818
E75	0.01393	1374	58.57	NA	458	0.5857
Eaat-2	0.14571	1602	46.4590909090909	NA	534	0.464590909090909
ecd	0.08843	1740	32.7845454545455	NA	580	0.327845454545454
Ecr	0.01934	1290	55.77	NA	430	0.5577
Ef-1a-f1	0.01928	1383	54.9263636363636	NA	461	0.549263636363636
EF1a-F2	0.02662	1383	44.1909090909091	NA	461	0.441909090909091
egh	0.06399	1356	33.4536363636364	NA	452	0.334536363636364
Eif3h	0.00982	1008	37.5536363636364	NA	336	0.375536363636364
Eif4g	0.13809	3396	37.6036363636364	NA	1132	0.376036363636364
Emc	0.03062	363	56.5490909090909	NA	121	0.565490909090909
Err	0.02865	1200	46.5918181818182	NA	400	0.465918181818182
Ets97D-like	0.03257	1299	41.78	NA	433	0.4178
eve	0.08058	675	57.9936363636364	NA	225	0.579936363636364
FAR1	0.12789	1320	45.9363636363636	NA	440	0.459363636363636
Fem	0.17983	717	38.3536363636364	NA	239	0.383536363636364
For	0.05492	1782	48.0163636363636	NA	594	0.480163636363636
Foxp	0.07309	1323	53.8245454545455	NA	441	0.538245454545455
Fstl5	0.0595	2403	47.1154545454545	NA	801	0.471154545454545
Gat-1B	0.07112	1734	39.9754545454545	NA	578	0.399754545454545
Gat-a	0.03356	1821	44.6509090909091	NA	607	0.446509090909091
Gfat2	0.03908	1998	46.5463636363636	NA	666	0.465463636363636
GlnS	0.04538	1104	50.6490909090909	NA	368	0.506490909090909
Glob1	0.20904	456	46.6309090909091	NA	152	0.466309090909091
Grd	0.07877	1452	48.66	NA	484	0.4866
Gstcd	0.10929	1440	39.7163636363636	NA	480	0.397163636363636
GstD1	0.19791	603	44.6863636363636	NA	201	0.446863636363636
GstS4	0.13918	582	45.1109090909091	NA	194	0.451109090909091
Gtpx1	0.07412	504	39.9009090909091	NA	168	0.399009090909091
Gycbeta1	0.02238	1473	51.3127272727273	NA	491	0.513127272727273
Hex70a	0.14754	1821	40.4809090909091	NA	607	0.404809090909091
Ho	0.13995	723	32.2518181818182	NA	241	0.322518181818182
Hsc70-3	0.02172	1947	40.1909090909091	NA	649	0.401909090909091
Hsc70-4	0.02944	1935	44.77	NA	645	0.4477
Hsc70-5	0.02172	1023	39.2609090909091	NA	341	0.392609090909091
Hsp90	0.03069	2088	38.1236363636364	NA	696	0.381236363636364
IF-2mt	0.21497	1926	33.9890909090909	NA	642	0.339890909090909
Imd	0.16822	714	34.5163636363636	Signalling	238	0.345163636363636
Ing3	0.01578	1182	40.1163636363636	NA	394	0.401163636363636
InR-2	0.06177	2244	54.63	NA	748	0.5463
Jtb	0.10929	1440	39.7163636363636	NA	480	0.397163636363636
KAT2A	0.02277	2325	35.8218181818182	NA	775	0.358218181818182
Kr	0.07393	1092	56.71	NA	364	0.5671
Kr-h1	0.06362	1371	45.6154545454545	NA	457	0.456154545454545
LCCH3	0.04899	1371	45.0563636363636	NA	457	0.450563636363636
Lin-52	0.02638	330	38.8154545454545	NA	110	0.388154545454545
LOC100217360	0.09021	714	45.9018181818182	NA	238	0.459018181818182
LOC100379261	0.0905	1290	45.5527272727273	NA	430	0.455527272727273
LOC100576097	0.18319	1812	51.5963636363636	NA	604	0.515963636363636
LOC100576099	0.09751	354	34.54	NA	118	0.3454
LOC100576100	0.14501	807	30.6636363636364	NA	269	0.306636363636364
LOC100576104	0.0339	840	34.9772727272727	NA	280	0.349772727272727
LOC100576110	0.07242	1638	49.9281818181818	NA	546	0.499281818181818
LOC100576116	0.12671	2154	45.2345454545455	NA	718	0.452345454545455
LOC100576128	0.17903	867	49.7009090909091	NA	289	0.497009090909091
LOC100576130	0.12281	336	47.8081818181818	NA	112	0.478081818181818
LOC100576131	0.06587	1761	35.9354545454545	NA	587	0.359354545454545
LOC100576132	0.16438	513	44.1427272727273	NA	171	0.441427272727273
LOC100576134	0.05196	477	58.5481818181818	NA	159	0.585481818181818
LOC100576147	0.02976	1059	57.6036363636364	NA	353	0.576036363636364
LOC100576152	0.16351	609	51.7245454545455	NA	203	0.517245454545455
LOC100576162	0.18067	1839	36.0918181818182	NA	613	0.360918181818182
LOC100576163	0.22532	276	40.1845454545455	NA	92	0.401845454545455
LOC100576165	0.22257	483	35.8745454545455	NA	161	0.358745454545455
LOC100576167	0.3939	867	42.5090909090909	NA	289	0.425090909090909
LOC100576169	0.12151	4161	38.2318181818182	NA	1387	0.382318181818182
LOC100576174	0.0927	375	33.8172727272727	NA	125	0.338172727272727
LOC100576176	0.07183	1521	35.1254545454545	NA	507	0.351254545454545
LOC100576182	0.15537	570	57.7209090909091	NA	190	0.577209090909091
LOC100576186	0.10151	1329	39.1954545454545	NA	443	0.391954545454545
LOC100576194	0.06683	825	46.5454545454545	NA	275	0.465454545454545
LOC100576195	0.20464	198	33.3772727272727	NA	66	0.333772727272727
LOC100576198	0.2192	1920	38.6745454545455	NA	640	0.386745454545455
LOC100576215	0.01809	378	48.5809090909091	NA	126	0.485809090909091
