Gene	All_Advanced_Eusocial	All_Social	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
5-HT1	1	1	1	1	1	1	1	1	2.41892458793626e-32	1	1
5-ht7	1	1	1	1	1	1	1	1	4.2847159261373e-05	1.20778760768869e-08	1
A4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACSF2	1	1	1	1	1	1	1	1	1	1	1
ATP5G2	1	1	1	1	1	1	1	1	1	1	1
Acph-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adar	1	1	1	1	1	1	1	1	1	1	1
Adk1	1	1	1	1	1	1	1	1	1	1	1
Akhr	1	1	1	1	1	1	1	1	1	1	1
Amel_8916	1	1	1	0.103259931605729	1	0.00589473099065288	1	1	5.79272918072392e-07	1	1
Ant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antp	1	1	1	1	1	1	1	1.14611684286453e-20	3.22986525973831e-21	1	1
Argk	1	1	1	1	1	1	1	1	1	1	1
BBIP1	1	1	1	1	1	1	1	1	0.0139381044045364	1	1
Blop	1	1	1	1	1	1	1	1	1.44745441685154e-07	1	1
Br-c	1	1	1	1	1	1	1	1	1	1	1
Brd7	1	1	1	1	1	0.00212308279493278	1	1	1	1	1
CPF1	1	1	1	1	1	1	1	1	1	1	1
CPR13	1	1	1	1	1	1	1	1	1	1	1
CPR16	1	1	1	1	1	1	1	1	1	1	1
CPR17	1	1	1	1	1	1	1	1	1	1	1
CPR21	1	1	1	1	1	1	0.989220015157896	1	1	1	1
CPR22	1	1	1	1	1	1	1	1	1	1	1
CPR3	1	1	1	1	1	1	1	1	1	1	1
CPR5	1	1	1	1	1	1	1	1	1	1	1
CSP2	1	1	1	1	1	1	1	1	1	1	1
CSP3	1	1	1	1	1	1	1	1	1	1	1
CSP4	1	1	1	1	NA	1	1	1	0.200672233763889	1	1
CUTA	1	1	1	1	1	1	1	1	1	1	1
Cac	4.60212197657933e-09	1	1	0.11966405163835	1	1	1	1	8.97320324907887e-13	1	1
Calpb	1	1	1	1	1	1	1	1	0.00134190163250854	1	1
Cat	1	1	1	1	1	1	1	1	1	1	1
Cbs	1	1	1	1	1	1	1	1	1	1	1
Cdc37	1	1	1	1	1	1	1	1	1	1	1
Cdk5	1	1	1	1	1	1	1	0.091704214411514	1.34274235457632e-17	1	1
Chmp1	1	1	1	1	1	1	1	1	1	1	1
Coq7	1	1	1	1	1	1	1	1	1	1	1
Cpap3-c	1	1	1	1	1	1	1	1	0.0404434057123997	1	1
Cry2	1	1	1	1	1	1	1	1	1	1	1
Cyp4g11	1	1	1	1	1	1	1	1	1	1	1
Dat	1	1	1	1	1	1	1	1	1	1	1
Dop1	1	1	1	0.00295154709336933	1	1	1	1	3.05242579191529e-10	1	1
DopR2	1	1	1	1	1	1	1	1	0.000130492874911648	1	1
E74	1	1	1	1	1	1	1	1	7.49295978257975e-06	1	1
E75	1	1	1	1	1	1	1	1	1	1	1
EF1a-F2	1	1	1	1	1	1	1	1	1	1	1
Eaat-2	1	1	1	1	1	1	1	1	1	1	1
Ef-1a-f1	1	1	1	1	1	1	0.00415080473346348	1	0.19509895120694	1	1
Eif3h	1	1	1	1	1	1	1	1	1	1	1
Eif4g	1	1	1	1	1	0.133884996823032	1	1	1.58496935298411e-10	1	1
Emc	1	1	1	1	1	1	1	1	1	1	1
Err	1	1	1	1	1	1	1	1	1	1	1
Ets97D-like	1	1	1	1	1	1	1	1	0.0315073275494984	1	1
Fem	1	1	1	1	1	1	1	1	1	1	1
For	1.07295510552653e-13	1	1	0.363535208083813	1	1	1	1	1	1	1
Foxp	1	1	1	1	1	1	1	1	7.90189570057241e-10	1	1
Fstl5	1	1	1	1	1	1	1	1	1	4.16700824790574e-09	1
Glob1	1	1	1	1	1	1	1	1	2.65363309938342e-05	1	1
Grd	1	1	1	1	1	1	0.00152355741791914	1	1	1	1
Gstcd	1	1	1	1	1	1	1	1	1	1	1
Gtpx1	1	1	1	1	1	1	1	1	1	1	1
Gycbeta1	1	1	1	1	1	1	1	1	1	0.102225537290813	1
Hex70a	1	1	1	1	1	1	1	1	1	1	1
Ho	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hsc70-3	1	1	1	1	1	1	1	1	1	1	1
Hsc70-4	1	1	1	1	1	1	1	1	1	1	1
Hsc70-5	1	1	1	1	1	1	1	1	1	1	1
Hsp90	1	1	1	1	1	1	1	1	1	1	1
IF-2mt	1	1	1	1	1	1	1	1	1	1	1
InR-2	1	1	1	1	1	1	1	1	1	1	1
Ing3	1	1	1	1	1	1	1	1	1	1	1
Kr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kr-h1	1	1	1	1	1	1	1	1	1	1	1
LCCH3	1	1	1	0.121159369974535	1	1	1	1	1.1751790963237e-24	1	1
LOC100217360	1	1	1	1	1	1	1	1	1	1	1
LOC100576097	1	1	1	1	1	1	1	1	1	1	1
