Gene	lnL_Null	lnL_Alt	LRT
Arp1	-3666.895150	-3666.895153	-6e-06
B-gluc1	-8572.227159	-8571.106035	2.24225
Cox6c	-1487.415290	-1483.658194	7.51419
CPR14	-1850.053840	-1846.041947	8.02379
CPR19	-3269.609177	-3269.609177	0
CSP6	-1978.990362	-1978.987650	0.005424
CytC	-1403.348938	-1392.316514	22.0648
Dcr-1	-17138.644421	-17133.809031	9.67078
Dl	-10529.042309	-10529.042309	0
Dnmt3	-9955.309429	-9951.876931	6.865
Ecr	-4667.008051	-4665.926063	2.16398
egh	-5749.242728	-5749.242728	0
FAR1	-7148.074170	-7144.745245	6.65785
Gat-1B	-7485.796856	-7485.786518	0.020676
Gat-a	-7590.545430	-7590.450683	0.189494
Gfat2	-9114.802301	-9086.073302	57.458
GlnS	-5422.376661	-5422.376661	0
GstD1	-4394.689262	-4392.403710	4.5711
GstS4	-3263.061070	-3263.008665	0.10481
Imd	-4525.766115	-4524.846639	1.83895
Jtb	-8379.733017	-8379.564875	0.336284
KAT2A	-9558.712554	-9558.712554	0
LOC100379261	-6101.605655	-6101.472112	0.267086
LOC100576099	-2096.776029	-2096.776029	0
LOC100576186	-7575.737469	-7573.910714	3.65351
LOC100576195	-1542.303422	-1542.303422	0
LOC100576337	-3442.069082	-3441.696598	0.744968
LOC100576383	-6937.176227	-6935.990856	2.37074
LOC100576411	-9062.330633	-9062.275506	0.110254
LOC100576527	-8834.368834	-8833.392959	1.95175
LOC100576646	-3360.972387	-3360.972387	0
LOC100576649	-8765.086810	-8764.773289	0.627042
LOC100576660	-9030.514298	-9029.419071	2.19045
LOC100576742	-15597.074019	-15590.487064	13.1739
LOC100576795	-3886.536710	-3886.182067	0.709286
LOC100576801	-3752.867875	-3752.867875	0
LOC100576818	-4880.144806	-4879.599554	1.0905
LOC100576819	-7686.694443	-7684.347587	4.69371
LOC100576826	-3583.492090	-3583.492090	0
LOC100576862	-6294.254304	-6294.254304	0
LOC100577002	-8142.686788	-8139.967220	5.43914
LOC100577019	-487.818240	-487.818240	0
LOC100577050	-8149.189564	-8147.631951	3.11523
LOC100577053	-9021.074109	-9011.182366	19.7835
LOC100577136	-5987.125050	-5986.438783	1.37253
LOC100577140	-8767.330816	-8761.158257	12.3451
LOC100577174	-18778.645150	-18778.567241	0.155818
LOC100577196	-9771.384255	-9766.981264	8.80598
LOC100577401	-16690.206373	-16680.665505	19.0817
LOC100577423	-5058.861233	-5058.861233	0
LOC100577481	-7684.613734	-7684.613734	0
LOC100577493	-9549.255004	-9547.466563	3.57688
LOC100577519			0
LOC100577687	-7336.334998	-7325.561825	21.5463
LOC100577690	-2327.526374	-2325.374092	4.30456
LOC100577763	-37594.316682	-37592.736561	3.16024
LOC100577764	-1764.752739	-1764.752739	0
LOC100577841	-4299.907712	-4299.907712	0
LOC100577870	-1445.352779	-1445.352779	0
LOC100577972	-67323.418734	-67295.945649	54.9462
LOC100578030	-5498.375348	-5497.761646	1.2274
LOC100578035	-3697.234713	-3697.234713	0
LOC100578071	-27438.654862	-27410.165791	56.9781
LOC100578156	-4116.077961	-4111.767983	8.61996
LOC100578168	-2228.418751	-2227.802623	1.23226
LOC100578209	-4737.236764	-4737.236764	0
LOC100578215	-6355.469970	-6355.469970	0
LOC100578235	-1912.573006	-1908.388870	8.36827
LOC100578255	-23325.991914	-23325.471304	1.04122
LOC100578277	-1115.865449	-1115.865449	0
LOC100578329	-9299.351949	-9296.273579	6.15674
LOC100578356	-19588.095646	-19588.095646	0
