Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD
5-ht7	9	0	0
Dl	88	1	0
Fstl5	14	1	2
LOC100576346	5	0	0
LOC100576402	10	0	0
LOC100576640	2	0	0
LOC100577198	11	3	1
LOC100577430	8	0	0
LOC100577575	8	0	0
LOC100578660	10	0	0
LOC102654206	15	0	0
LOC102655994	2	0	0
LOC102656258	0	0	0
LOC102656796	3	0	0
LOC406124	4	1	2
LOC408335	11	0	0
LOC408551	3	1	0
LOC408552	6	0	0
LOC408626	7	0	0
LOC408794	14	0	0
LOC408804	10	3	0
LOC408915	6	0	1
LOC408955	13	0	0
LOC409191	16	0	0
LOC409279	10	0	4
LOC409318	7	1	2
LOC409336	3	0	0
LOC409382	11	0	0
LOC409473	7	1	0
LOC409527	19	0	2
LOC409714	4	3	1
LOC409777	19	1	0
LOC409856	4	0	0
LOC409928	6	2	1
LOC410041	9	1	0
LOC410099	9	0	1
LOC410119	13	0	2
LOC410217	7	1	0
LOC410290	9	0	1
LOC410345	9	0	2
LOC410350	11	0	0
LOC410464	7	1	0
LOC410489	17	0	0
LOC410565	8	0	1
LOC410609	6	2	1
LOC410706	8	2	1
LOC410948	6	0	0
LOC410952	8	0	0
LOC410960	15	2	1
LOC411053	11	1	0
LOC411564	4	1	0
LOC411731	8	0	0
LOC411806	14	0	0
LOC411837	17	0	1
LOC411892	3	0	2
LOC412157	7	1	2
LOC412159	11	0	0
LOC412236	13	0	0
LOC412362	12	0	0
LOC412701	11	1	0
LOC412721	8	0	0
LOC412739	9	0	0
LOC412804	8	0	1
LOC412929	13	0	0
LOC413032	5	0	2
LOC413126	5	0	2
LOC413181	14	0	1
LOC413207	6	1	0
LOC413248	7	1	0
LOC413510	11	2	1
LOC413631	7	0	0
LOC413907	6	0	0
LOC413995	4	1	0
LOC550651	15	0	0
LOC550829	7	0	0
LOC550857	3	2	1
LOC551205	5	0	0
LOC551361	3	0	0
LOC551454	13	2	0
LOC551494	11	6	0
LOC551578	18	0	3
LOC551756	6	0	0
LOC551931	4	1	1
LOC552003	48	0	0
LOC552093	3	0	0
LOC552194	5	1	0
LOC552249	3	1	0
LOC552468	4	0	0
LOC552527	4	0	0
LOC552571	15	2	1
LOC552634	5	0	0
LOC552642	17	2	1
LOC552677	10	1	0
LOC724290	11	0	0
LOC724294	9	0	0
LOC724301	10	1	0
LOC724502	13	0	0
LOC724593	10	1	0
LOC724620	5	0	0
LOC724794	8	0	0
LOC724933	17	1	0
LOC725046	8	0	0
LOC725099	49	0	0
LOC725216	2	0	0
LOC725237	13	0	0
LOC725343	18	0	0
LOC725496	4	0	0
LOC725552	5	0	0
LOC725960	12	3	0
LOC726133	5	1	2
LOC726167	9	0	0
LOC726199	7	1	3
LOC726524	8	1	0
LOC726636	16	0	1
LOC726904	0	0	0
LOC727027	9	0	1
LOC727486	14	2	0
TpnT	5	3	2
Vg	7	2	0
