Gene	SelectedSites	3hit	3H:CMD	3H:Unaffected	2hit	2H:CMD	2H:Unaffected
apd-3	1,2,4	Pass	145,248,4,71	1,2	Fail	1,144,145,154,165,171,183,2,210,244,248,26,3,4,54,62	-
LOC100578119	3,4,5,7,9	Pass	2,4,5	3,7,9	Pass	2,5,9	3,4,7
LOC408752	4,6,7,8,9	Pass	4,8,9	6,7	Fail	156,199,298,35,4,49,528,555,6,7,8,848,9	-
LOC409318	1,2,3,4,7	Pass	2,31,32	1,3,4,7	Pass	1,39,66	2,3,4,7
LOC409486	295,296,298,303,304,305,310	Pass	294,297,303,305,309	295,296,298,304,310	Pass	150,291,294,297,299,303,305,43,47,55	295,296,298,304,310
LOC409933	2,322,4,478,481,482,483,484,485,486,491,493,496,497,499,501,6	Pass	192,322,343,345,347,352,354,359,360,4,431,477,478,483,485,486,491,493,499,501	2,481,482,484,496,497,6	Pass	1,119,192,2,274,299,3,322,343,347,348,352,354,356,361,376,377,431,477,486,488,490,491,498	4,478,481,482,483,484,485,493,496,497,499,501,6
LOC410398	10,2,3,5,6,7,8	Pass		10,2,3,5,6,7,8	Pass	15,24,26,44,485,535	10,2,3,5,6,7,8
LOC410694	273,274,275,276,277	Pass		273,274,275,276,277	Pass		273,274,275,276,277
LOC413189	5,6,7	Pass		5,6,7	Pass		5,6,7
LOC413280	10,11,12,15,16,2,4,7,8,9	Pass	10,15,16,179,2	11,12,4,7,8,9	Pass	1,10,12,122,16,2,3,5,87	11,15,4,7,8,9
LOC414021	148,149	Fail	148,149,2	-	Fail	12,140,148,149,2	-
LOC551005	2,3,4,5,6,7,8	Pass	2,5,8	3,4,6,7	Fail	1,133,164,2,233,3,356,4,41,432,434,438,5,6,7,8,88,89	-
LOC551497	358,361,362,366,369,370,371,373,374,375,378,380,381,382,386,389,390,392,396,397,398,399,400,401,402,404,406,407,408,409,410,411,413,415,416,418,420,422,424,425,427,431,432,433,434,435,436,438,440,441,442,443	Pass		358,361,362,366,369,370,371,373,374,375,378,380,381,382,386,389,390,392,396,397,398,399,400,401,402,404,406,407,408,409,410,411,413,415,416,418,420,422,424,425,427,431,432,433,434,435,436,438,440,441,442,443	Pass	117	358,361,362,366,369,370,371,373,374,375,378,380,381,382,386,389,390,392,396,397,398,399,400,401,402,404,406,407,408,409,410,411,413,415,416,418,420,422,424,425,427,431,432,433,434,435,436,438,440,441,442,443
LOC552017	10,13,14,15,16,17,18,20,21,5,6,7,8,9	Pass	15,16,17,18,21,288,627,629,630,632,639,640,646,8	10,13,14,20,5,6,7,9	Pass	10,13,138,15,18,19,20,251,253,258,291,332,369,378,4,436,495,5,540,6,629,630,632,636,639,640,643,646,7,8,81,85,9,96	14,16,17,21
LOC552074	10,13,14,19,24,26,6,7,9	Pass	1162,12,13,14,161,26,6,886	10,19,24,7,9	Pass	1,11,1123,1174,15,156,25,27,4,886,925	10,13,14,19,24,26,6,7,9
LOC724195	2,4,5,6	Pass		2,4,5,6	Pass	2,4,5	6
LOC724292	1,10,12,13,14,15,279,4,485,488,5,6,8,9	Pass	1,12,14,224,225,460,467,468,470,472,477,481,488,490,5,8	10,13,15,279,4,485,6,9	Pass	1,10,14,15,224,225,3,472,5,6,8,9,96	12,13,279,4,485,488
LOC725336	364,365,366,367,368,369,370,371,372,375,376,377,378,379,381,382,384,385,386,387,388,389,390,391,392,393,394,395,396	Pass		364,365,366,367,368,369,370,371,372,375,376,377,378,379,381,382,384,385,386,387,388,389,390,391,392,393,394,395,396	Pass	16,192,329,330,333,337,360,361,373,374,380,383,392,9	364,365,366,367,368,369,370,371,372,375,376,377,378,379,381,382,384,385,386,387,388,389,390,391,393,394,395,396
LOC727249	255,257,259,260,267,268,271,285,291,293,294,297,299,305,308,310,316,318,321	Pass		255,257,259,260,267,268,271,285,291,293,294,297,299,305,308,310,316,318,321	Pass	140,189,190,24,258,267,27,277,308,320,33,91	255,257,259,260,268,271,285,291,293,294,297,299,305,310,316,318,321
