Gene	lnL_Null	lnL_Alt	LRT
Arp1	-3666.895157	-3666.895153	8e-06
B-gluc1	-8569.867848	-8569.867848	0
Cox6c	-1488.901464	-1488.901464	0
CPR14	-1855.649847	-1855.649847	0
CPR19	-3268.369538	-3268.242466	0.254144
CSP6	-1980.492021	-1980.492021	0
CytC	-1423.408358	-1423.408358	0
Dcr-1	-17140.612453	-17140.612453	0
Dl	-10531.140694	-10525.483471	11.3144
Dnmt3	-9953.402256	-9947.290952	12.2226
Ecr	-4687.473094	-4687.473094	0
egh	-5745.858350	-5745.858350	0
FAR1	-7137.827284	-7137.827284	0
Gat-1B	-7489.329107	-7489.329107	0
Gat-a	-7591.100997	-7591.100997	0
Gfat2	-9215.081440	-9215.081440	0
GlnS	-5420.692817	-5420.692817	0
GstD1	-4394.458503	-4394.426586	0.063834
GstS4	-3263.854625	-3263.854625	0
Imd	-4527.480450	-4527.409543	0.141814
Jtb	-8380.551788	-8380.551788	0
KAT2A	-9542.493775	-9542.493775	0
LOC100379261	-6101.626239	-6101.626239	0
LOC100576099	-2091.316196	-2089.614396	3.4036
LOC100576186	-7574.644412	-7568.835045	11.6187
LOC100576195	-1538.726887	-1538.726887	0
LOC100576337	-3442.070299	-3442.070299	0
LOC100576383	-6944.530825	-6944.530825	0
LOC100576411	-9063.574139	-9063.529770	0.088738
LOC100576527	-8835.866608	-8835.866608	0
LOC100576646	-3361.554338	-3361.554338	0
LOC100576649	-8764.961291	-8764.961291	0
LOC100576660	-9030.692665	-9030.692665	0
LOC100576742	-15597.122327	-15596.250184	1.74429
LOC100576795	-3887.284917	-3887.284917	0
LOC100576801	-3749.961293	-3749.961293	0
LOC100576818	-4872.530136	-4863.333221	18.3938
LOC100576819	-7688.369443	-7688.369443	0
LOC100576826	-3583.160871	-3583.160871	0
LOC100576862	-6294.254304	-6294.254304	0
LOC100577002	-8138.505027	-8138.505027	0
LOC100577019	-487.818240	-487.818240	0
LOC100577050	-8148.136908	-8148.136908	0
LOC100577053	-9030.960514	-9030.960514	0
LOC100577136	-5988.337266	-5987.645779	1.38297
LOC100577140	-8781.710073	-8781.409895	0.600356
LOC100577174	-18800.138379	-18800.138379	0
LOC100577196	-9775.506138	-9758.447755	34.1168
LOC100577401	-16692.738119	-16692.738119	0
LOC100577423	-5058.196706	-5058.049294	0.294824
LOC100577481	-7683.949677	-7683.684962	0.52943
LOC100577493	-9547.850147	-9545.656913	4.38647
LOC100577519			0
LOC100577687	-7338.776196	-7337.194556	3.16328
LOC100577690	-2328.074265	-2328.074265	0
LOC100577763	-37594.387112	-37594.387112	0
LOC100577764	-1764.959430	-1764.959430	0
LOC100577841	-4300.044092	-4300.041576	0.005032
LOC100577870	-1455.705703	-1455.705703	0
LOC100577972	-67394.396140	-67394.396140	0
LOC100578030	-5503.376248	-5503.366729	0.019038
LOC100578035	-3697.177808	-3697.177808	0
LOC100578071	-27457.467172	-27457.467172	0
LOC100578156	-4121.829587	-4121.829587	0
LOC100578168	-2228.421622	-2228.421622	0
LOC100578209	-4743.268746	-4743.268746	0
LOC100578215	-6355.017161	-6355.017159	4e-06
LOC100578235	-1919.008324	-1919.008324	0
LOC100578255	-23332.627905	-23332.583952	0.087906
LOC100578277	-1115.162905	-1112.626134	5.07354
LOC100578329	-9294.868513	-9294.842671	0.051684
LOC100578356	-19594.955585	-19594.955585	0
LOC100578380	-2961.027582	-2957.896236	6.26269
LOC100578433	-22943.608732	-22943.451951	0.313562
LOC100578450	-11515.890750	-11515.890749	2e-06
LOC100578537	-11219.017187	-11218.006020	2.02233
LOC100578560	-1644.726647	-1641.056075	7.34114
LOC100578586	-10980.314883	-10980.314883	0
LOC100578697	-2798.850758	-2798.850758	0
LOC100578725	-1133.930588	-1133.930588	0
LOC100578875	-4994.388249	-4994.279506	0.217486
LOC100578893	-11053.266450	-11053.266450	0
