#Each branch site analysis results in a LRT score that is compared to a chi-square distrubtion with 1 degree of freedom to give a pvalue
#This table shows the adjusted pvalues for each lineage per tested gene. NA means the test resulted in convergence failure

Gene	All_Advanced_Eusocial	All_Social	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
CPR14	1	1	1	1	1	1	1	1	1	1	1	
CPR19	1	1	1	1	1	1	1	1	0.00613194252397275	1	1	
CSP6	1	1	1	1	1	1	1	1	1	1	1	
Cox6c	1	1	1	1	1	1	1	1	1	1	1	
Dnmt3	1	1	1	0.482527988783531	1	1	1	1	1	1	1	
Ecr	1	1	1	1	1	1	1	1	1	1	1	
FAR1	1	1	1	1	1	1	1	1	1	1	1	
Gat-1B	1	1	1	1	1	1	1	1	2.62534864525773e-20	1	1	
Gat-a	1	1	1	1	1	1	1	1	1	1	1	
Gfat2	1	1	1	1	1	1	3.62537672851282e-11	1	1	1	1	
GlnS	1	1	1	1	1	1	1	1	1	1	1	
GstD1	1	1	1	1	1	1	1	1	1	1	1	
GstS4	1	1	1	1	1	1	1	1	1	1	1	
Jtb	1	1	1	1	1	1	1	1	1	1	1	
KAT2A	1	1	1	1	1	1	1	1	1.93542723655609e-12	1	1	
LOC100379261	1	1	1	1	1	1	1	1	1	1	1	
LOC100576099	1	1	1	1	1	1	1	1	1	1	1	
LOC100576186	1	1	1	0.665325693210849	1	1	1	1	1	1	1	
LOC100576195	1	1	1	1	1	1	1	1	1	1	1	
LOC100576337	1	1	1	1	1	1	1	1	0.0660602255411152	1	1	
LOC100576383	1	1	1	1	1	1	1	1	1	1	1	
LOC100576411	1	1	1	1	1	1	1	1	1	1	1	
LOC100576646	1	1	1	1	1	1	1	1	1	1	1	
LOC100576649	1	1	1	1	1	1	1	1	1	1	1	
LOC100576795	1	1	1	1	1	1	1	1	1	1	1	
LOC100576801	1	1	1	1	1	1	1	1	1	1	1	
LOC100576818	1	1	1	0.0186827214462851	1	1	1	1	1	1	1	
LOC100576826	1	1	1	1	1	1	1	1	1	1	1	
LOC100576862	1	1	1	1	1	1	1	0.103580601724705	1	1	1	
LOC100577002	1	1	1	1	1	1	1	1	1	0.133254201952534	1	
LOC100577019	1	1	1	1	NA	1	1	1	1	1	1	
LOC100577050	1	1	1	1	1	1	1	1	1	1	1	
LOC100577053	1	1	1	1	1	1	0.00869883297005052	1	1	1	1	
LOC100577136	1	1	1	1	1	1	1	1	0.000102342813593182	1	1	
LOC100577140	1	1	1	1	1	1	0.424017497967884	1	5.93096797187825e-08	1	1	
LOC100577174	1	1	1	1	1	1	1	1	1	1	1	
LOC100577401	1	1	1	1	1	1	0.0125365283712983	0.247167427940328	1	1	1	
LOC100577423	1	1	1	1	1	1	1	1	1	1	1	
LOC100577481	1	1	1	1	1	1	1	1	1	1	1	
LOC100577493	1	1	1	1	1	1	1	1	1	1	1	
LOC100577687	1	1	1	1	1	1	0.00348842280460218	1	1	1	1	
