Gene	Function	Class	dN.dS	AlnLength	GeneAverage	Codon	GCProp	Immune
1	5-HT1	Background	Background	0.08365	1152	54.8063636363636	384	0.548063636363636	0
2	5-ht7	Background	Background	0.12095	666	51.8972727272727	222	0.518972727272727	0
3	A4	Non-Canon Immune	Non-Canon	0.19851	510	43.7781818181818	170	0.437781818181818	1
4	Acph-1	Background	Background	0.2093	1185	41.0281818181818	395	0.410281818181818	0
5	ACSF2	Background	Background	0.15856	888	49.7854545454545	296	0.497854545454545	0
6	Adar	Background	Background	0.03833	1671	44.7636363636364	557	0.447636363636364	0
7	Adk1	Background	Background	0.0963	567	41.2690909090909	189	0.412690909090909	0
8	Akhr	Background	Background	0.08289	1020	38.1736363636364	340	0.381736363636364	0
9	Amel_8916	Background	Background	0.06404	642	43.3309090909091	214	0.433309090909091	0
10	Ant	Background	Background	0.07417	837	47.2790909090909	279	0.472790909090909	0
11	Antp	Background	Background	0.07545	648	59.4536363636364	216	0.594536363636364	0
12	apd-3	Background	Background	0.3038	744	62.8909090909091	248	0.628909090909091	0
13	Argk	Background	Background	0.0363	999	50.7145454545455	333	0.507145454545455	0
14	arm	Background	Background	0.01817	2307	48.1172727272727	769	0.481172727272727	0
15	Arp1	Signalling	Canon Immune	0.00183	1128	49.0163636363636	376	0.490163636363636	1
16	ATP5G2	Background	Background	0.07096	396	48.7372727272727	132	0.487372727272727	0
17	B-gluc1	Receptor	Canon Immune	0.23234	1149	42.82	383	0.4282	1
18	BBIP1	Background	Background	0.04206	1890	34.8954545454545	630	0.348954545454545	0
19	Blop	Background	Background	0.11245	1131	48.7027272727273	377	0.487027272727273	0
20	Br-c	Background	Background	0.13817	807	59.0409090909091	269	0.590409090909091	0
21	Brd7	Background	Background	0.03524	2160	42.2127272727273	720	0.422127272727273	0
22	c-mos	Background	Background	0.12567	819	35.2863636363636	273	0.352863636363636	0
23	Cac	Background	Background	0.07136	4506	52.1172727272727	1502	0.521172727272727	0
24	Calpb	Background	Background	0.05144	1368	43.7736363636364	456	0.437736363636364	0
25	Cat	Background	Background	0.12938	564	47.0336363636364	188	0.470336363636364	0
26	Cbs	Background	Background	0.11192	1368	34.6172727272727	456	0.346172727272727	0
27	Cdc37	Background	Background	0.07859	951	34.9218181818182	317	0.349218181818182	0
28	Cdk5	Background	Background	0.0407	894	45.17	298	0.4517	0
29	Chmp1	Background	Background	0.02216	459	38.5818181818182	153	0.385818181818182	0
30	Coq7	Background	Background	0.06316	585	39.8763636363636	195	0.398763636363636	0
31	Cox6c	Background	Background	0.28927	186	34.3109090909091	62	0.343109090909091	0
32	Cpap3-c	Background	Background	0.03993	786	55.0545454545455	262	0.550545454545455	0
33	CPF1	Background	Background	0.11786	321	53.4136363636364	107	0.534136363636364	0
34	CPR13	Background	Background	0.16086	303	47.2518181818182	101	0.472518181818182	0
35	CPR14	Non-Canon Immune	Non-Canon	0.07429	426	55.1863636363636	142	0.551863636363636	1
36	CPR16	Background	Background	0.11844	885	51.6381818181818	295	0.516381818181818	0
37	CPR17	Background	Background	0.08294	468	55.0518181818182	156	0.550518181818182	0
38	CPR19	Non-Canon Immune	Non-Canon	0.10317	606	52.1009090909091	202	0.521009090909091	1
39	CPR21	Background	Background	0.14535	390	55.6418181818182	130	0.556418181818182	0
40	CPR22	Background	Background	0.02762	318	56.2036363636364	106	0.562036363636364	0
41	CPR3	Background	Background	0.10236	600	57.1218181818182	200	0.571218181818182	0
42	CPR5	Background	Background	0.1348	489	52.5745454545455	163	0.525745454545455	0
43	Cry2	Background	Background	0.0217	1569	48.9254545454545	523	0.489254545454545	0
44	CSP2	Background	Background	0.11073	342	53.4554545454545	114	0.534554545454545	0
45	CSP3	Background	Background	0.20933	387	45.2663636363636	129	0.452663636363636	0
46	CSP4	Background	Background	0.14798	378	46.56	126	0.4656	0
47	CSP6	Non-Canon Immune	Non-Canon	0.08645	357	36.4136363636364	119	0.364136363636364	1
48	CUTA	Background	Background	0.05546	342	34.8218181818182	114	0.348218181818182	0
49	Cyp4g11	Background	Background	0.07521	1623	47.3090909090909	541	0.473090909090909	0
50	CytC	Signalling	Canon Immune	0.05385	312	40.2972727272727	104	0.402972727272727	1
51	Dat	Background	Background	0.05007	951	46.1136363636364	317	0.461136363636364	0
52	Dcr-1	Receptor	Canon Immune	0.05172	3675	34.7045454545455	1225	0.347045454545455	1
53	Dl	Signalling	Canon Immune	0.12703	1767	38.7036363636364	589	0.387036363636364	1
54	Dnmt3	Background	Background	0.13534	1563	47.3972727272727	521	0.473972727272727	0
55	Dop1	Background	Background	0.08089	663	49.8018181818182	221	0.498018181818182	0
56	DopR2	Background	Background	0.04429	1296	55.45	432	0.5545	0
57	E74	Background	Background	0.04717	1248	57.0381818181818	416	0.570381818181818	0
58	E75	Non-Canon Immune	Non-Canon	0.01393	1374	58.57	458	0.5857	1
59	Eaat-2	Background	Background	0.14571	1602	46.4590909090909	534	0.464590909090909	0
60	ecd	Background	Background	0.08843	1740	32.7845454545455	580	0.327845454545454	0
61	Ecr	Background	Background	0.01934	1290	55.77	430	0.5577	0
62	Ef-1a-f1	Background	Background	0.01928	1383	54.9263636363636	461	0.549263636363636	0
63	EF1a-F2	Background	Background	0.02662	1383	44.1909090909091	461	0.441909090909091	0
64	egh	Background	Background	0.06399	1356	33.4536363636364	452	0.334536363636364	0
65	Eif3h	Background	Background	0.00982	1008	37.5536363636364	336	0.375536363636364	0
66	Eif4g	Background	Background	0.13809	3396	37.6036363636364	1132	0.376036363636364	0
67	Emc	Background	Background	0.03062	363	56.5490909090909	121	0.565490909090909	0
68	Err	Background	Background	0.02865	1200	46.5918181818182	400	0.465918181818182	0
69	Ets97D-like	Background	Background	0.03257	1299	41.78	433	0.4178	0
70	eve	Background	Background	0.08058	675	57.9936363636364	225	0.579936363636364	0
71	FAR1	Non-Canon Immune	Non-Canon	0.12789	1320	45.9363636363636	440	0.459363636363636	1
72	Fem	Background	Background	0.17983	717	38.3536363636364	239	0.383536363636364	0
73	For	Background	Background	0.05492	1782	48.0163636363636	594	0.480163636363636	0
74	Foxp	Background	Background	0.07309	1323	53.8245454545455	441	0.538245454545455	0
75	Fstl5	Background	Background	0.0595	2403	47.1154545454545	801	0.471154545454545	0
76	Gat-1B	Background	Background	0.07112	1734	39.9754545454545	578	0.399754545454545	0
77	Gat-a	Background	Background	0.03356	1821	44.6509090909091	607	0.446509090909091	0
78	Gfat2	Background	Background	0.03908	1998	46.5463636363636	666	0.465463636363636	0
79	GlnS	Background	Background	0.04538	1104	50.6490909090909	368	0.506490909090909	0
80	Glob1	Background	Background	0.20904	456	46.6309090909091	152	0.466309090909091	0
81	Grd	Background	Background	0.07877	1452	48.66	484	0.4866	0
82	Gstcd	Background	Background	0.10929	1440	39.7163636363636	480	0.397163636363636	0
83	GstD1	Background	Background	0.19791	603	44.6863636363636	201	0.446863636363636	0
84	GstS4	Background	Background	0.13918	582	45.1109090909091	194	0.451109090909091	0
85	Gtpx1	Background	Background	0.07412	504	39.9009090909091	168	0.399009090909091	0
86	Gycbeta1	Background	Background	0.02238	1473	51.3127272727273	491	0.513127272727273	0
87	Hex70a	Non-Canon Immune	Non-Canon	0.14754	1821	40.4809090909091	607	0.404809090909091	1
88	Ho	Background	Background	0.13995	723	32.2518181818182	241	0.322518181818182	0
89	Hsc70-3	Background	Background	0.02172	1947	40.1909090909091	649	0.401909090909091	0
90	Hsc70-4	Non-Canon Immune	Non-Canon	0.02944	1935	44.77	645	0.4477	1
91	Hsc70-5	Background	Background	0.02172	1023	39.2609090909091	341	0.392609090909091	0
92	Hsp90	Non-Canon Immune	Non-Canon	0.03069	2088	38.1236363636364	696	0.381236363636364	1
93	IF-2mt	Background	Background	0.21497	1926	33.9890909090909	642	0.339890909090909	0
94	Imd	Signalling	Canon Immune	0.16822	714	34.5163636363636	238	0.345163636363636	1
95	Ing3	Background	Background	0.01578	1182	40.1163636363636	394	0.401163636363636	0
96	InR-2	Background	Background	0.06177	2244	54.63	748	0.5463	0
97	Jtb	Background	Background	0.10929	1440	39.7163636363636	480	0.397163636363636	0
98	KAT2A	Background	Background	0.02277	2325	35.8218181818182	775	0.358218181818182	0
99	Kr	Background	Background	0.07393	1092	56.71	364	0.5671	0
100	Kr-h1	Background	Background	0.06362	1371	45.6154545454545	457	0.456154545454545	0
101	LCCH3	Background	Background	0.04899	1371	45.0563636363636	457	0.450563636363636	0
102	Lin-52	Background	Background	0.02638	330	38.8154545454545	110	0.388154545454545	0
103	LOC100217360	Background	Background	0.09021	714	45.9018181818182	238	0.459018181818182	0
104	LOC100379261	Background	Background	0.0905	1290	45.5527272727273	430	0.455527272727273	0
105	LOC100576097	Background	Background	0.18319	1812	51.5963636363636	604	0.515963636363636	0
106	LOC100576099	Background	Background	0.09751	354	34.54	118	0.3454	0
107	LOC100576100	Background	Background	0.14501	807	30.6636363636364	269	0.306636363636364	0
108	LOC100576104	Background	Background	0.0339	840	34.9772727272727	280	0.349772727272727	0
109	LOC100576110	Background	Background	0.07242	1638	49.9281818181818	546	0.499281818181818	0
110	LOC100576116	Background	Background	0.12671	2154	45.2345454545455	718	0.452345454545455	0
111	LOC100576128	Background	Background	0.17903	867	49.7009090909091	289	0.497009090909091	0
112	LOC100576130	Background	Background	0.12281	336	47.8081818181818	112	0.478081818181818	0
113	LOC100576131	Background	Background	0.06587	1761	35.9354545454545	587	0.359354545454545	0
114	LOC100576132	Background	Background	0.16438	513	44.1427272727273	171	0.441427272727273	0
115	LOC100576134	Background	Background	0.05196	477	58.5481818181818	159	0.585481818181818	0
116	LOC100576147	Background	Background	0.02976	1059	57.6036363636364	353	0.576036363636364	0
117	LOC100576152	Background	Background	0.16351	609	51.7245454545455	203	0.517245454545455	0
118	LOC100576162	Background	Background	0.18067	1839	36.0918181818182	613	0.360918181818182	0
119	LOC100576163	Background	Background	0.22532	276	40.1845454545455	92	0.401845454545455	0
120	LOC100576165	Background	Background	0.22257	483	35.8745454545455	161	0.358745454545455	0
121	LOC100576167	Background	Background	0.3939	867	42.5090909090909	289	0.425090909090909	0
122	LOC100576169	Background	Background	0.12151	4161	38.2318181818182	1387	0.382318181818182	0
123	LOC100576174	Background	Background	0.0927	375	33.8172727272727	125	0.338172727272727	0
124	LOC100576176	Background	Background	0.07183	1521	35.1254545454545	507	0.351254545454545	0
125	LOC100576182	Background	Background	0.15537	570	57.7209090909091	190	0.577209090909091	0
126	LOC100576186	Background	Background	0.10151	1329	39.1954545454545	443	0.391954545454545	0
127	LOC100576194	Background	Background	0.06683	825	46.5454545454545	275	0.465454545454545	0
128	LOC100576195	Background	Background	0.20464	198	33.3772727272727	66	0.333772727272727	0
129	LOC100576198	Background	Background	0.2192	1920	38.6745454545455	640	0.386745454545455	0
130	LOC100576215	Background	Background	0.01809	378	48.5809090909091	126	0.485809090909091	0
131	LOC100576220	Background	Background	0.21848	486	41.7127272727273	162	0.417127272727273	0
132	LOC100576221	Background	Background	0.12619	1287	34.8545454545455	429	0.348545454545454	0
133	LOC100576222	Background	Background	0.05806	732	50.8827272727273	244	0.508827272727273	0
134	LOC100576226	Background	Background	0.12552	549	32.3081818181818	183	0.323081818181818	0
135	LOC100576227	Background	Background	0.1841	2436	30.3490909090909	812	0.303490909090909	0
136	LOC100576247	Background	Background	0.03663	1734	59.9509090909091	578	0.599509090909091	0
137	LOC100576249	Background	Background	0.11437	1470	51.2	490	0.512	0
138	LOC100576261	Background	Background	0.06875	1275	30.4381818181818	425	0.304381818181818	0
139	LOC100576266	Background	Background	0.04129	1875	42.4245454545455	625	0.424245454545455	0
140	LOC100576270	Background	Background	0.12165	369	34.5645454545455	123	0.345645454545455	0
141	LOC100576272	Background	Background	0.07471	888	32.4327272727273	296	0.324327272727273	0
142	LOC100576273	Background	Background	0.11995	1941	34.4145454545455	647	0.344145454545455	0
143	LOC100576274	Background	Background	0.10825	927	30.97	309	0.3097	0
144	LOC100576284	Non-Canon Immune	Non-Canon	0.26749	945	48.2627272727273	315	0.482627272727273	1
145	LOC100576293	Background	Background	0.06078	1368	47.9672727272727	456	0.479672727272727	0
146	LOC100576298	Background	Background	0.15754	939	30.1781818181818	313	0.301781818181818	0
147	LOC100576300	Background	Background	0.09753	1533	46.2127272727273	511	0.462127272727273	0
148	LOC100576304	Background	Background	0.1072	1320	48.5954545454545	440	0.485954545454545	0
149	LOC100576307	Background	Background	0.07232	900	52.1227272727273	300	0.521227272727273	0
150	LOC100576320	Background	Background	0.13783	561	44.45	187	0.4445	0
151	LOC100576321	Background	Background	0.13011	5004	40.0554545454545	1668	0.400554545454545	0
152	LOC100576333	Background	Background	0.06871	1041	43.9263636363636	347	0.439263636363636	0
153	LOC100576336	Background	Background	0.08849	543	43.2118181818182	181	0.432118181818182	0
154	LOC100576337	Background	Background	0.18075	531	29.4481818181818	177	0.294481818181818	0
155	LOC100576346	Background	Background	0.3136	3270	31.2490909090909	1090	0.312490909090909	0
156	LOC100576348	Background	Background	0.19877	696	31.74	232	0.3174	0
157	LOC100576349	Background	Background	0.05738	672	39.0145454545455	224	0.390145454545455	0
158	LOC100576355	Background	Background	0.09481	588	55.3318181818182	196	0.553318181818182	0
159	LOC100576359	Background	Background	0.00877	1785	35.7936363636364	595	0.357936363636364	0
160	LOC100576361	Background	Background	0.17541	525	46.2681818181818	175	0.462681818181818	0
161	LOC100576366	Background	Background	0.13343	1230	31.0045454545455	410	0.310045454545455	0
162	LOC100576369	Background	Background	0.02549	666	57.6172727272727	222	0.576172727272727	0
