Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD
apd-3	5	5	2
Cac	18	16	5
For	43	16	9
LOC102654959	8	4	4
LOC102655263	6	1	3
LOC408343	41	0	2
LOC408528	22	6	9
LOC408619	19	11	8
LOC408660	21	6	0
LOC408862	8	6	3
LOC408915	13	0	0
LOC409000	9	3	3
LOC409007	31	0	0
LOC409039	1	0	0
LOC409335	3	3	0
LOC409377	20	2	6
LOC409508	3	1	0
LOC410567	63	1	1
LOC410860	15	1	1
LOC410865	105	0	0
LOC410997	18	7	0
LOC411494	48	2	3
LOC411723	7	2	4
LOC411836	3	2	1
LOC411850	5	2	1
LOC412694	11	2	0
LOC412859	8	7	1
LOC413246	20	1	1
LOC413341	20	1	1
LOC551080	11	5	3
LOC551123	2	0	0
LOC551173	5	4	3
LOC551551	6	3	2
LOC551666	3	0	0
LOC551754	15	0	6
LOC551892	2	1	1
LOC552315	13	3	1
LOC552505	8	4	0
LOC724150	10	1	1
LOC724195	2	2	0
LOC724292	14	6	8
LOC724310	7	1	3
LOC724607	6	1	0
LOC724936	4	3	1
LOC724979	0	0	0
LOC725336	9	0	0
LOC725960	7	4	1
Nedd9	6	4	3
