Gene	lnL_Null	lnL_Alt	LRT
Arp1	-3666.895155	-3666.895149	1.2e-05
B-gluc1	-8574.636901	-8574.636901	0
Cox6c	-1488.901464	-1488.901464	0
CPR14	-1849.550455	-1847.930303	3.2403
CPR19	-3256.191408	-3246.031394	20.32
CSP6	-1980.492021	-1980.492021	0
CytC	-1419.983173	-1419.300431	1.36548
Dcr-1	-17089.419402	-17037.668354	103.502
Dl	-10531.140717	-10530.151259	1.97892
Dnmt3	-9957.590534	-9957.590534	0
Ecr	-4685.566343	-4682.834847	5.46299
egh	-5751.012843	-5751.012843	0
FAR1	-7148.074170	-7148.074170	0
Gat-1B	-7452.560352	-7403.061065	98.9986
Gat-a	-7591.100997	-7591.100997	0
Gfat2	-9215.081440	-9215.081440	0
GlnS	-5413.170318	-5409.956678	6.42728
GstD1	-4384.706494	-4380.651353	8.11028
GstS4	-3262.478771	-3259.239264	6.47901
Imd	-4527.113009	-4527.113009	0
Jtb	-8374.323647	-8374.323647	0
KAT2A	-9483.831166	-9452.243973	63.1744
LOC100379261	-6101.753726	-6098.895252	5.71695
LOC100576099	-2094.979397	-2092.188354	5.58209
LOC100576186	-7579.085033	-7579.085033	0
LOC100576195	-1540.506071	-1539.035505	2.94113
LOC100576337	-3435.846143	-3427.962735	15.7668
LOC100576383	-6944.530825	-6944.530825	0
LOC100576411	-9064.855276	-9064.741822	0.226908
LOC100576527	-8833.591324	-8831.171420	4.83981
LOC100576646	-3361.554338	-3361.554338	0
LOC100576649	-8762.205326	-8762.205326	0
LOC100576660	-9026.803795	-9013.511819	26.584
LOC100576742	-15609.966972	-15609.261563	1.41082
LOC100576795	-3887.284917	-3887.284917	0
LOC100576801	-3753.661082	-3753.661082	0
LOC100576818	-4880.134924	-4878.931061	2.40773
LOC100576819	-7679.464790	-7675.974523	6.98053
LOC100576826	-3583.138173	-3583.138173	0
LOC100576862	-6292.705612	-6291.093798	3.22363
LOC100577002	-8138.355528	-8133.258296	10.1945
LOC100577019	-478.828216	-473.537833	10.5808
LOC100577050	-8149.907725	-8149.907725	0
LOC100577053	-9030.509078	-9030.509078	0
LOC100577136	-5982.015515	-5967.892471	28.2461
LOC100577140	-8765.403104	-8743.985440	42.8353
LOC100577174	-18788.265840	-18788.265840	0
LOC100577196	-9771.696165	-9768.657083	6.07816
LOC100577401	-16691.452365	-16691.452365	0
LOC100577423	-5058.407124	-5058.407124	0
LOC100577481	-7684.613734	-7684.613734	0
LOC100577493	-9552.290566	-9552.290566	0
LOC100577519			0
LOC100577687	-7342.204728	-7342.204728	0
LOC100577690	-2327.460802	-2325.557265	3.80707
LOC100577763	-37593.902092	-37593.439448	0.925288
LOC100577764	-1764.794435	-1764.690720	0.20743
LOC100577841	-4299.635972	-4299.635972	0
LOC100577870	-1455.706144	-1455.706144	0
LOC100577972	-67384.873136	-67380.447968	8.85034
LOC100578030	-5503.263810	-5499.898965	6.72969
LOC100578035	-3697.346076	-3697.346076	0
LOC100578071	-27454.759551	-27454.759551	0
LOC100578156	-4121.585638	-4121.585638	0
