Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD
Antp	53	0	0
apd-3	6	0	1
LOC100576198	8	1	0
LOC100576610	8	0	0
LOC100576666	8	0	0
LOC100576703	4	0	0
LOC100576799	11	1	0
LOC100577739	8	0	0
LOC100577905	5	0	0
LOC100578146	13	0	0
LOC100578237	3	0	0
LOC100578442	4	0	0
LOC100578546	30	0	0
LOC102654955	6	1	0
LOC102656501	43	0	5
LOC102656733	8	0	0
LOC113218580	7	0	0
LOC408316	12	0	0
LOC408552	8	4	0
LOC408752	8	0	0
LOC408884	16	0	1
LOC409613	18	0	0
LOC410106	20	0	0
LOC410134	2	0	0
LOC410489	8	1	0
LOC411053	4	0	0
LOC412093	16	1	0
LOC412114	150	0	0
LOC412305	5	0	0
LOC412398	10	0	0
LOC412505	0	0	0
LOC412795	16	0	1
LOC413766	18	0	0
LOC551177	2	0	1
LOC551449	12	0	0
LOC551510	17	1	2
LOC551668	10	0	1
LOC551982	4	0	4
LOC552238	20	0	0
LOC552370	6	0	0
LOC552414	22	0	0
LOC552498	5	0	0
LOC552510	10	0	0
LOC552674	5	0	0
LOC724247	3	0	0
LOC724290	10	0	0
LOC725204	14	1	0
LOC725429	10	0	0
LOC725659	5	0	0
LOC725732	9	5	2
LOC725960	12	2	0
LOC726020	3	0	0
LOC726167	3	0	0
LOC726460	13	0	0
LOC726583	4	0	0
LOC726928	4	0	0
LOC726957	7	0	0
LOC727486	10	0	0
LOC727634	74	0	0
