Gene	dN/dS
Akhr	  0.08289
Arp1	  0.00183
ATP5G2	  0.07096
B-gluc1	  0.23234
Blop	  0.11245
Br-c	  0.13817
Chmp1	  0.02216
Coq7	  0.06316
Cox6c	  0.28927
Cpap3-c	  0.03993
CPF1	  0.11786
CPR14	  0.07429
CPR19	  0.10317
Cry2	  0.02170
CSP4	  0.14798
CSP6	  0.08645
CytC	  0.05385
Dcr-1	  0.05172
Dl	  0.12703
Dnmt3	  0.13534
DopR2	  0.04429
E74	  0.04717
E75	  0.01393
Ecr	  0.01934
Ef-1a-f1	  0.01928
egh	  0.06399
Emc	  0.03062
Ets97D-like	  0.03257
FAR1	  0.12789
Gat-1B	  0.07112
Gat-a	  0.03356
Gfat2	  0.03908
GlnS	  0.04538
Grd	  0.07877
GstD1	  0.19791
GstS4	  0.13918
Gycbeta1	  0.02238
Hsc70-4	  0.02944
Hsc70-5	  0.02172
Hsp90	  0.03069
Imd	  0.16822
Ing3	  0.01578
Jtb	  0.10929
KAT2A	  0.02277
LOC100379261	  0.09050
LOC100576099	  0.09751
LOC100576110	  0.07242
LOC100576152	  0.16351
LOC100576186	  0.10151
LOC100576194	  0.06683
LOC100576195	  0.20464
LOC100576220	  0.21848
LOC100576227	  0.18410
LOC100576249	  0.11437
LOC100576261	  0.06875
LOC100576266	  0.04129
LOC100576277	  0.10720
LOC100576298	  0.15754
LOC100576307	  0.07232
LOC100576321	  0.13011
LOC100576337	  0.18075
LOC100576383	  0.04129
LOC100576411	  0.08979
LOC100576433	  0.04129
LOC100576461	  0.24772
LOC100576492	  0.22434
LOC100576527	  0.08126
LOC100576531	  0.06287
LOC100576532	  0.31215
LOC100576586	  0.02598
LOC100576608	  0.17049
LOC100576615	  0.16806
LOC100576646	  0.07574
LOC100576647	  0.12084
LOC100576649	  0.10496
LOC100576660	  0.23684
LOC100576663	  0.03564
LOC100576666	  0.05814
LOC100576667	  0.06403
LOC100576730	  0.08161
LOC100576733	  0.20353
LOC100576742	  0.17891
LOC100576744	  0.16895
LOC100576795	  0.03076
LOC100576796	  0.16302
LOC100576801	  0.15496
LOC100576805	  0.03987
LOC100576818	  0.09635
LOC100576819	  0.14346
LOC100576826	  0.01496
LOC100576862	  0.16792
LOC100576866	  0.03090
LOC100576879	  0.03719
LOC100576915	  0.18530
LOC100576919	  0.11835
LOC100576934	  0.12310
LOC100576975	  0.04389
LOC100576982	  0.22988
LOC100576990	  0.20331
LOC100577000	  0.08957
LOC100577002	  0.18675
LOC100577003	  0.24507
LOC100577019	  0.02354
LOC100577028	  0.09042
LOC100577050	  0.06696
LOC100577053	  0.10040
LOC100577069	  0.06882
LOC100577136	  0.17919
LOC100577140	  0.17135
LOC100577174	  0.05792
LOC100577180	  0.11666
LOC100577192	  0.16883
LOC100577196	  0.20133
LOC100577237	  0.07027
LOC100577268	  0.17432
LOC100577293	  0.10981
LOC100577376	  0.09601
LOC100577377	  0.24711
LOC100577385	  0.11435
LOC100577401	  0.17376
LOC100577423	  0.09908
LOC100577481	  0.08538
LOC100577493	  0.11538
LOC100577515	  0.10002
LOC100577516	  0.17221
LOC100577519	
LOC100577635	  0.10925
LOC100577669	  0.10754
LOC100577687	  0.13789
LOC100577690	  0.18129
LOC100577694	  0.14284
LOC100577739	  0.17913
LOC100577763	  0.12063
LOC100577764	  0.01246
LOC100577801	  0.03558
LOC100577841	  0.10654
LOC100577870	  0.03356
LOC100577885	  0.27883
LOC100577920	  0.14346
LOC100577966	  0.22063
LOC100577972	  0.12367
LOC100577981	  0.19659
LOC100577998	  0.18750
LOC100578001	  0.13557
LOC100578002	  0.11034
LOC100578030	  0.21945
LOC100578035	  0.04163
LOC100578066	  0.06560
LOC100578071	  0.11986
LOC100578085	  0.18335
LOC100578091	  0.09108
LOC100578105	  0.10789
LOC100578106	  0.04820
LOC100578109	  0.11705
LOC100578112	  0.09601
LOC100578146	  0.08878
LOC100578156	  0.13857
