Gene	lnL_Null	lnL_Alt	LRT
Akhr	-4946.784323	-4946.784323	0
ATP5G2	-1750.792898	-1750.792898	0
Blop	-5931.490821	-5931.490821	0
Br-c	-4461.129314	-4461.129314	0
Chmp1	-1600.420628	-1600.420628	0
Coq7	-2704.806144	-2704.806144	0
Cpap3-c	-3091.007331	-3091.007329	4e-06
CPF1	-1775.757220	-1771.661655	8.19113
Cry2	-6687.409172	-6687.409172	0
CSP4	-2557.278707	-2557.278707	0
DopR2	-6687.137069	-6683.548531	7.17708
E74	-4803.070071	-4797.129348	11.8814
E75	-5786.641402	-5786.641402	0
Ef-1a-f1	-5444.926527	-5432.826362	24.2003
Emc	-1712.901309	-1712.901309	0
Ets97D-like	-5875.533317	-5872.634822	5.79699
Grd	-6540.880991	-6527.809387	26.1432
Gycbeta1	-5433.843942	-5433.843942	0
Hsc70-4	-7538.281278	-7538.281278	0
Hsc70-5	-3949.539980	-3949.539980	0
Hsp90	-8612.232183	-8612.232183	0
Ing3	-3522.686627	-3520.595080	4.18309
LOC100576110	-8744.167504	-8744.167504	0
LOC100576152	-4002.319843	-4001.015931	2.60782
LOC100576194	-3992.950268	-3992.495951	0.908634
LOC100576220	-3238.152331	-3228.667485	18.9697
LOC100576227	-15141.588202	-15137.193193	8.79002
LOC100576249	-8002.725815	-8002.725815	0
LOC100576261	-6574.069703	-6574.069703	0
LOC100576266	-7381.579232	-7381.579099	0.000266
LOC100576277	-9094.454629	-9094.454629	0
LOC100576298	-5689.430936	-5684.347442	10.167
LOC100576307	-4657.449445	-4656.862165	1.17456
LOC100576321	-26873.252019	-26863.498917	19.5062
LOC100576433	-5823.129464	-5823.129458	1.2e-05
LOC100576461	-7538.287734	-7535.799568	4.97633
LOC100576492	-750.676978	-750.395558	0.56284
LOC100576531	-2420.225826	-2420.107793	0.236066
LOC100576532	-2928.586756	-2922.415702	12.3421
LOC100576586	-7615.778438	-7615.778413	5e-05
LOC100576608	-4966.711863	-4966.711863	0
LOC100576615	-8933.818000	-8933.818000	0
LOC100576647	-8852.634169	-8852.177208	0.913922
LOC100576663	-1477.985645	-1477.985645	0
LOC100576666	-9449.454357	-9449.454357	0
LOC100576667	-6234.213332	-6213.616587	41.1935
LOC100576730	-1327.949661	-1327.949661	0
LOC100576733	-3158.949158	-3155.836329	6.22566
LOC100576744	-6725.002867	-6723.178456	3.64882
LOC100576796	-1466.833418	-1466.443463	0.77991
LOC100576805	-3304.444143	-3304.444122	4.2e-05
LOC100576866	-7013.783376	-7013.494519	0.577714
LOC100576879	-17640.735510	-17640.735510	0
LOC100576915	-10393.014248	-10393.014248	0
LOC100576919	-20010.268832	-20003.287257	13.9632
LOC100576934	-4335.500056	-4335.488098	0.023916
LOC100576975	-3214.201040	-3214.201040	0
LOC100576982	-2607.709622	-2607.709622	0
LOC100576990	-11870.854119	-11869.986307	1.73562
LOC100577000	-2332.291328	-2332.291328	0
LOC100577003	-1747.444573	-1744.517475	5.8542
LOC100577028	-1548.956388	-1548.956388	0
LOC100577069	-3855.069343	-3855.069343	0
LOC100577180	-6394.648829	-6394.648829	0
LOC100577192	-3924.383601	-3923.074364	2.61847
LOC100577237	-6387.078931	-6387.078931	0
LOC100577268	-1173.581951	-1173.581951	0
LOC100577293	-2250.908935	-2248.903580	4.01071
LOC100577376	-17823.446142	-17811.806433	23.2794
LOC100577377	-7883.167648	-7882.957179	0.420938
LOC100577385	-7770.526310	-7770.526310	0
