Gene	lnL_Null	lnL_Alt	LRT
Akhr	-4946.785424	-4946.785424	0
ATP5G2	-1750.792898	-1750.792898	0
Blop	-5930.255887	-5930.255887	0
Br-c	-4471.133842	-4469.872196	2.52329
Chmp1	-1600.825943	-1600.825943	0
Coq7	-2704.773559	-2703.528044	2.49103
Cpap3-c	-3086.861537	-3086.060674	1.60173
CPF1	-1775.252085	-1774.151778	2.20061
Cry2	-6687.388185	-6687.388185	0
CSP4	-2557.278707	-2557.278707	0
DopR2	-6694.571820	-6694.571820	0
E74	-4800.729484	-4800.669986	0.118996
E75	-5784.204530	-5783.993828	0.421404
Ef-1a-f1	-5458.858475	-5458.858475	0
Emc	-1712.708526	-1712.708526	0
Ets97D-like	-5879.816669	-5879.816669	0
Grd	-6544.196980	-6543.137100	2.11976
Gycbeta1	-5454.890432	-5454.890432	0
Hsc70-4	-7545.962035	-7544.680836	2.5624
Hsc70-5	-3950.182489	-3947.590042	5.18489
Hsp90	-8620.577082	-8620.577082	0
Ing3	-3531.779508	-3531.779505	6e-06
LOC100576110	-8743.660288	-8743.580679	0.159218
LOC100576152	-4009.572291	-4009.572291	0
LOC100576194	-3996.974476	-3996.974476	0
LOC100576220	-3240.583142	-3238.047718	5.07085
LOC100576227	-15149.360230	-15149.186107	0.348246
LOC100576249	-8002.158126	-8001.420527	1.4752
LOC100576261	-6540.760556	-6533.524287	14.4725
LOC100576266	-7380.367363	-7380.349428	0.03587
LOC100576277	-9094.454629	-9094.454629	0
LOC100576298	-5690.126069	-5690.115163	0.021812
LOC100576307	-4660.018095	-4660.018095	0
LOC100576321	-26878.011291	-26874.267496	7.48759
LOC100576433	-5823.129457	-5823.129455	4e-06
LOC100576461	-7537.439093	-7535.647077	3.58403
LOC100576492	-751.931281	-751.931281	0
LOC100576531	-2419.376731	-2419.376731	0
LOC100576532	-2940.050628	-2933.401031	13.2992
LOC100576586	-7609.052095	-7609.052095	0
LOC100576608	-4966.305554	-4966.305554	0
LOC100576615	-8936.917745	-8933.812072	6.21135
LOC100576647	-8842.432066	-8841.398271	2.06759
LOC100576663	-1477.954774	-1476.346482	3.21658
LOC100576666	-9438.516636	-9438.516636	0
LOC100576667	-6246.195304	-6246.195304	0
LOC100576730	-1327.949661	-1327.949661	0
LOC100576733	-3158.573129	-3157.667031	1.8122
LOC100576744	-6723.876426	-6723.658510	0.435832
LOC100576796	-1467.068604	-1467.068604	0
LOC100576805	-3305.786606	-3305.786606	0
LOC100576866	-7014.187048	-7014.187048	0
LOC100576879	-17636.195903	-17635.938415	0.514976
LOC100576915	-10392.036626	-10382.083959	19.9053
LOC100576919	-20007.261058	-20002.864455	8.79321
LOC100576934	-4334.097957	-4330.218763	7.75839
LOC100576975	-3206.113965	-3203.488650	5.25063
LOC100576982	-2606.886702	-2606.886702	0
LOC100576990	-11885.347043	-11881.437125	7.81984
LOC100577000	-2331.985700	-2331.985700	0
LOC100577003	-1746.322225	-1746.322225	0
LOC100577028	-1545.663160	-1545.663160	0
LOC100577069	-3855.069343	-3855.069343	0
LOC100577180	-6392.755639	-6392.213822	1.08363
LOC100577192	-3918.975206	-3914.966179	8.01805
LOC100577237	-6382.539964	-6379.155873	6.76818
LOC100577268	-1173.581951	-1173.581951	0
LOC100577293	-2249.397787	-2249.375359	0.044856
LOC100577376	-17835.926833	-17834.961764	1.93014
LOC100577377	-7884.093130	-7884.093130	0
LOC100577385	-7764.616292	-7764.615523	0.001538
LOC100577515	-8953.679793	-8953.679793	0
LOC100577516	-6607.898267	-6605.300598	5.19534
LOC100577635	-6869.300912	-6869.297662	0.0065
LOC100577669	-16785.423673	-16785.354765	0.137816
LOC100577694	-7450.198997	-7448.042638	4.31272
LOC100577739	-35689.892814	-35681.000115	17.7854
LOC100577801	-8704.365198	-8704.365198	0
LOC100577885	-7790.782867	-7790.684571	0.196592
LOC100577920	-1788.316224	-1788.316224	0
LOC100577966	-3581.560968	-3581.560968	0
LOC100577981	-15131.370232	-15131.160002	0.42046
LOC100577998	-11211.486634	-11211.006978	0.959312
LOC100578001	-4052.429164	-4052.429164	0
LOC100578002	-1052.360067	-1052.360067	0
LOC100578066	-9115.053068	-9109.440893	11.2243
LOC100578085	-4241.752520	-4241.752520	0
LOC100578091	-1954.187394	-1954.187394	0
LOC100578105	-12251.306994	-12250.861602	0.890784
