#Each branch site analysis results in a LRT score that is compared to a chi-square distribution with 1 degree of freedom to give a pvalue
#This table shows the adjusted pvalues for each lineage per tested gene. NA means the test resulted in convergence failure

Gene	All_Post_Elaboration_Sociality	All_Post_Origin_Sociality	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
A4	1	1	1	1	1	1	1	1	1	1	1
CPR14	1	1	1	1	1	1	1	1	1	1	1
CPR19	1	1	1	1	1	1	1	1	1	1	0.03498352
CSP6	1	1	1	1	1	1	1	1	1	1	1
E75	1	1	1	1	1	1	1	1	1	1	1
FAR1	1	1	1	1	1	1	1	1	1	1	1
Hex70a	1	1	1	1	1	1	1	1	1	1	1
Hsc70-4	1	1	1	1	1	1	1	1	1	1	1
Hsp90	1	1	1	1	1	1	1	1	1	1	1
LOC100576284	1	1	1	1	1	1	1	1	1	1	1
LOC100576414	1	1	1	1	1	1	1	1	1	1	1
LOC100576765	1	1	1	1	1	1	1	1	1	1	1
LOC100577149	1	1	1	1	1	1	1	1	1	1	1.010416e-14
LOC100577430	1	1	0.9657524	1	1	1	0.05334403	1	0.2984366	1	1
LOC100578614	1	1	1	1	1	1	1	1	1	1	1
LOC406114	1	1	1	1	1	1	1	1	1	1	1
LOC408299	1	1	1	1	1	1	1	1	1	1	1
LOC408381	1	1	1	1	1	1	1	1	1	1	1
LOC408414	0.103280792924022	1	1	0.04182428	1	1	1	1	1	1	1
LOC408478	1	1	1	1	1	1	1	1	1	1	1
LOC408539	1	1	1	1	1	1	1	1	1	1	1
LOC408554	1	1	1	1	1	1	1	1	1	1	1
LOC408622	1	1	1	1	1	1	1	1	1	1	1
LOC408871	1	1	1	1	1	1	1	1	1	1	1
LOC408906	1	1	1	1	1	1	1	1	1	1	1
LOC409159	1	1	1	1	1	1	1	1	1	1	0.0002672562
LOC409182	1	1	1	1	1	1	1	1	1	1	0.09308952
LOC409740	1	1	1	1	1	1	1	1	1	1	1
LOC409787	1	1	1	1	1	1	1	1	1	1	1.978462e-42
LOC409852	1	1	1	1	1	1	1	1	1	1	1
LOC409881	1	1	1	1	1	1	1	1	1	1	1
LOC409924	1	1	1	1	1	1	1	1	1	1	0.0004068945
LOC410087	1	1	1	1	1	1	1	1	1	1	1
LOC410227	1	1	1	1	1	1	1	1	1	1	1
LOC410278	1	1	1	1	1	1	1	1	1	1	1
LOC410337	1	1	1	1	1	1	1	1	1	1	0.001867045
LOC410405	1	1	1	1	1	1	1	1	1	1	1
LOC410432	1	1	1	1	1	1	1	1	1	1	2.181405e-14
LOC410468	1	1	1	1	1	1	1	1	4.648479e-07	1	1
LOC410484	1	1	1	1	1	1	1	1	0.3991103	1	1
LOC410583	1	1	1	1	1	1	1	1	1	1	1
LOC410674	1	1	1	1	1	1	1	1	1	1	1
LOC410747	1	1	1	1	1	1	1	1	1	1	1
LOC410828	1	1	1	1	1	1	1	1	1	1	1
LOC410894	1	1	1	1	1	1	1	1	1	1	3.016757e-11
LOC411148	1	1	1	1	1	1	1	1	1	1	1
LOC411188	1	1	1	1	1	1	1	1	1	1	1
LOC411290	1	1	1	1	1	1	1	1	1	1	1
LOC411297	1	1	1	1	1	1	1	1	1	1	1
LOC411340	1	1	1	1	1	1	1	1	1	1	1
LOC411552	1	1	1	1	1	1	1	1	1	1	1
LOC411557	1	1	1	1	1	1	1	1	1	1	1
LOC411564	1	1	1	1	1	1	0.06459584	1	1	1	1
LOC411599	1	1	1	0.01880241	1	1	1	1	1	1	1
LOC411978	1	1	1	1	1	1	1	1	1.935201e-06	1	1
LOC412767	1	1	1	0.2190755	1	1	1	1	1	1	1
LOC412775	1	1	1	1	1	1	1	0.2258312	0.02596946	1	0.1441198
LOC413000	1	1	1	1	1	1	1	1	1	1	1
LOC413106	1	1	1	1	1	1	1	1	8.692123e-07	1	1
LOC413117	1	1	1	1	1	1	1	1	1	1	1
LOC413125	1	1	1	1	1	1	1	1	1	1	1
LOC413128	1	1	1	1	1	1	1	1	1	1	1
LOC413575	1	1	1	1	1	1	1	1	1	1	1.956978e-06
LOC413576	1	1	1	1	1	1	1	1	0.003922752	1	0.008575482
LOC494509	1	1	1	1	1	1	1	1	1	1	1
