Gene	lnL_Null	lnL_Alt	LRT
Akhr	-4946.785424	-4946.785424	0
ATP5G2	-1750.501762	-1750.501762	0
Blop	-5931.490821	-5931.490821	0
Br-c	-4471.531363	-4471.531363	0
Chmp1	-1600.825943	-1600.825943	0
Coq7	-2704.806144	-2704.806143	2e-06
Cpap3-c	-3091.007329	-3091.007329	0
CPF1	-1775.884714	-1775.884714	0
Cry2	-6687.409172	-6687.409172	0
CSP4	-2557.035140	-2557.035140	0
DopR2	-6696.655785	-6696.655785	0
E74	-4803.617705	-4803.617705	0
E75	-5787.419472	-5787.418487	0.00197
Ef-1a-f1	-5458.858475	-5458.858475	0
Emc	-1712.683547	-1712.683547	0
Ets97D-like	-5879.816669	-5879.816669	0
Grd	-6547.010917	-6547.010917	0
Gycbeta1	-5454.890432	-5454.890432	0
Hsc70-4	-7547.222826	-7547.222826	0
Hsc70-5	-3950.683033	-3950.683033	0
Hsp90	-8620.577093	-8620.577082	2.2e-05
Ing3	-3531.774713	-3531.774713	0
LOC100576110	-8745.450695	-8745.450695	0
LOC100576152	-4009.352845	-4009.352845	0
LOC100576194	-3996.974476	-3996.974476	0
LOC100576220	-3243.866484	-3243.057774	1.61742
LOC100576227	-15152.081837	-15152.081837	0
LOC100576249	-8002.725815	-8002.725815	0
LOC100576261	-6574.212684	-6574.212684	0
LOC100576266	-7383.852765	-7383.852765	0
LOC100576277	-9091.389470	-9090.146272	2.4864
LOC100576298	-5690.430700	-5690.430700	0
LOC100576307	-4660.018095	-4660.018095	0
LOC100576321	-26882.114326	-26882.114326	0
LOC100576433	-5823.129455	-5823.129456	-2e-06
LOC100576461	-7539.456493	-7539.456493	0
LOC100576492	-751.486245	-751.486245	0
LOC100576531	-2418.158103	-2418.154292	0.007622
LOC100576532	-2940.093865	-2940.093865	0
LOC100576586	-7615.778413	-7615.778413	0
LOC100576608	-4964.661413	-4964.661413	0
LOC100576615	-8938.090182	-8938.090182	0
LOC100576647	-8855.162088	-8855.162088	0
LOC100576663	-1477.985645	-1477.985645	0
LOC100576666	-9449.454357	-9449.454357	0
LOC100576667	-6246.195304	-6246.195304	0
LOC100576730	-1327.949661	-1327.949661	0
LOC100576733	-3160.732012	-3160.732012	0
LOC100576744	-6725.652158	-6723.038327	5.22766
