Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
5-HT1	-5293.169945	-5293.169945	0	AllSol	Random	 serotonin receptor 	1	1
5-ht7	-3685.327117	-3684.691603	1.27103	AllSol	Random	 serotonin receptor 7 	0.25957354151834	1
A4	-3349.777556	-3349.777556	0	AllSol	Random	 apolipophorin-III-like protein 	1	1
Acph-1	-8346.442841	-8346.442841	0	AllSol	Random	 venom acid phosphatase 	1	1
ACSF2	-6236.943158	-6236.943158	0	AllSol	Random	 acyl-CoA synthetase family member 2 	1	1
Adar	-7366.774413	-7365.61978	2.30927	AllSol	Random	 adenosine deaminase acting on RNA 	0.128604435201118	1
Adk1	-3215.390535	-3215.390535	0	AllSol	Random	 adenylate kinase 1 	1	1
Akhr	-4939.138528	-4939.138528	0	AllSol	Random	 adipokinetic hormone receptor 	1	1
Amel_8916	-3624.153859	-3624.153859	0	AllSol	Random	 cys-loop ligand-gated ion channel subunit 8916 	1	1
Ant	-3219.065982	-3219.064885	0.002194	AllSol	Random	 ADP/ATP translocase 	0.962640626102525	1
Antp	-2936.488821	-2936.488821	0	AllSol	Random	 homeotic protein antennapedia 	1	1
apd-3	-3671.161678	-3668.02597	6.27142	AllSol	Random	 apidermin 3 	0.0122700770796853	1
Argk	-4056.50773	-4056.50773	0	AllSol	Random	 arginine kinase 	1	1
arm	-8830.431372	-8830.431372	0	AllSol	Random	 armadillo segment polarity protein 	1	1
ATP5G2	-1750.792898	-1750.792898	0	AllSol	Random	 ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9) 	1	1
BBIP1	-7378.361134	-7378.361134	0	AllSol	Random	 BBSome-interacting protein 1-like 	1	1
Blop	-5927.967902	-5927.258914	1.41798	AllSol	Random	 blue-sensitive opsin 	0.233736171472705	1
Br-c	-4471.531363	-4471.531363	0	AllSol	Random	 broad-complex 	1	1
Brd7	-9719.743668	-9719.743668	0	AllSol	Random	 bromodomain containing 7 	1	1
c-mos	-4930.264659	-4930.264659	0	AllSol	Random	 mos protein 	1	1
Cac	-16289.967357	-16289.967357	0	AllSol	Random	 cacophony 	1	1
Calpb	-6400.760486	-6400.760486	0	AllSol	Random	 calpain-B 	1	1
Cat	-2923.865655	-2923.862235	0.00684	AllSol	Random	 catalase 	0.934086671637206	1
