Gene	lnL_Null	lnL_Alt	LRT
Akhr	-4946.785424	-4946.785424	0
ATP5G2	-1746.718703	-1744.046570	5.34427
Blop	-5908.245519	-5886.172365	44.1463
Br-c	-4471.531363	-4471.531363	0
Chmp1	-1600.527324	-1600.527324	0
Coq7	-2704.806144	-2704.806144	0
Cpap3-c	-3082.533441	-3072.700038	19.6668
CPF1	-1774.690640	-1774.690640	0
Cry2	-6687.409172	-6687.409172	0
CSP4	-2548.405570	-2540.113258	16.5846
DopR2	-6659.273368	-6643.868719	30.8093
E74	-4801.318206	-4783.117714	36.401
E75	-5786.593953	-5786.593953	0
Ef-1a-f1	-5445.881371	-5437.561934	16.6389
Emc	-1712.901309	-1712.901309	0
Ets97D-like	-5859.073864	-5848.999628	20.1485
Grd	-6546.872557	-6546.872557	0
Gycbeta1	-5454.890432	-5454.890432	0
Hsc70-4	-7547.222826	-7547.222826	0
Hsc70-5	-3950.683033	-3950.683033	0
Hsp90	-8620.577082	-8620.577082	0
Ing3	-3531.774713	-3531.774713	0
LOC100576110	-8743.351612	-8743.351611	2e-06
LOC100576152	-4006.436784	-4005.164857	2.54385
LOC100576194	-3995.821991	-3995.704393	0.235196
LOC100576220	-3243.518034	-3241.915196	3.20568
LOC100576227	-15149.722792	-15145.480246	8.48509
LOC100576249	-7996.620934	-7994.973961	3.29395
LOC100576261	-6574.212088	-6574.212088	0
LOC100576266	-7380.312821	-7375.157630	10.3104
LOC100576277	-9088.715608	-9088.715608	0
LOC100576298	-5690.054582	-5690.054582	0
LOC100576307	-4658.878687	-4658.453667	0.85004
LOC100576321	-26846.778750	-26807.559173	78.4392
LOC100576433	-5819.604275	-5819.604275	0
LOC100576461	-7539.456525	-7539.456493	6.4e-05
LOC100576492	-750.527344	-750.173783	0.707122
LOC100576531	-2420.356840	-2420.356839	2e-06
LOC100576532	-2939.094990	-2937.604126	2.98173
LOC100576586	-7612.383689	-7611.189397	2.38858
LOC100576608	-4955.736561	-4937.567008	36.3391
LOC100576615	-8915.878523	-8902.110238	27.5366
LOC100576647	-8853.146360	-8853.146360	0
LOC100576663	-1475.309282	-1475.037840	0.542884
LOC100576666	-9433.719209	-9422.409237	22.6199
LOC100576667	-6246.195304	-6246.195304	0
LOC100576730	-1327.942345	-1327.942345	0
LOC100576733	-3158.382364	-3155.485441	5.79385
LOC100576744	-6722.069639	-6721.315510	1.50826
LOC100576796	-1466.755880	-1465.244647	3.02247
LOC100576805	-3240.185682	-3198.637870	83.0956
LOC100576866	-6978.034050	-6953.743995	48.5801
LOC100576879	-17635.031740	-17635.031740	0
LOC100576915	-10388.640967	-10388.640939	5.6e-05
LOC100576919	-20017.392438	-20017.176768	0.43134
LOC100576934	-4335.516331	-4332.587435	5.85779
LOC100576975	-3214.201040	-3214.201040	0
LOC100576982	-2607.709622	-2607.709622	0
LOC100576990	-11887.772280	-11886.578073	2.38841
LOC100577000	-2330.539535	-2329.927459	1.22415
LOC100577003	-1748.718948	-1748.718948	0
LOC100577028	-1548.956388	-1548.956388	0
LOC100577069	-3839.312110	-3828.387274	21.8497
LOC100577180	-6394.648829	-6394.648829	0
LOC100577192	-3924.405374	-3924.405374	0
LOC100577237	-6387.639322	-6387.639322	0
LOC100577268	-1166.385769	-1140.814364	51.1428
LOC100577293	-2248.858115	-2243.704284	10.3077
LOC100577376	-17806.899068	-17776.923665	59.9508
LOC100577377	-7882.558974	-7882.558974	0
LOC100577385	-7767.069477	-7767.049488	0.039978
LOC100577515	-8953.679793	-8953.679793	0
LOC100577516	-6600.387036	-6596.905551	6.96297
LOC100577635	-6869.671547	-6864.810578	9.72194
LOC100577669	-16780.761581	-16779.869102	1.78496
LOC100577694	-7454.290736	-7454.290736	0
LOC100577739	-35678.303744	-35672.464149	11.6792
LOC100577801	-8703.462662	-8703.462662	0
LOC100577885	-7787.133117	-7786.599947	1.06634
LOC100577920	-1787.974881	-1787.974881	0
LOC100577966	-3582.900196	-3576.672939	12.4545
LOC100577981	-15139.258941	-15135.749325	7.01923
LOC100577998	-11210.061568	-11206.486540	7.15006
LOC100578001	-4026.553641	-4003.930219	45.2468
LOC100578002	-1052.360067	-1052.360067	0
LOC100578066	-9147.595991	-9147.595991	0
LOC100578085	-4246.449691	-4246.449691	0
LOC100578091	-1952.109652	-1951.529194	1.16092
LOC100578105	-12236.404107	-12221.027299	30.7536
LOC100578106	-7297.888182	-7297.888182	0
LOC100578109	-7235.249741	-7235.201603	0.096276
LOC100578112	-6994.875369	-6994.875369	0
LOC100578146	-9503.914470	-9503.769581	0.289778
LOC100578201	-22492.629940	-22461.275689	62.7085
LOC100578248	-9613.417549	-9606.273104	14.2889
LOC100578269	-5929.394144	-5929.394144	0
LOC100578298	-7367.619840	-7367.619840	0
LOC100578321	-9480.211130	-9446.926008	66.5702
LOC100578417	-8646.965571	-8640.801602	12.3279
LOC100578423	-4557.475544	-4557.475544	0
LOC100578439	-11344.123250	-11334.413636	19.4192
LOC100578442	-2970.587580	-2970.587580	0
LOC100578443	-6876.688498	-6876.590003	0.19699
LOC100578478	-2882.351541	-2882.351541	0
LOC100578498	-14763.648122	-14763.607963	0.080318
LOC100578513	-10477.523337	-10476.519509	2.00766
LOC100578519	-15358.921037	-15358.921037	0
LOC100578530	-3737.927275	-3737.519555	0.81544
LOC100578579	-350.063967	-350.063942	5e-05
LOC100578597	-21532.285860	-21530.463355	3.64501
LOC100578602	-12884.536621	-12871.285189	26.5029
LOC100578641	-3361.139101	-3359.956838	2.36453
LOC100578653	-10117.790553	-10117.716384	0.148338
LOC100578660	-3494.402518	-3494.402518	0
LOC100578704	-6270.096359	-6270.091956	0.008806
LOC100578715	-2193.249612	-2190.367906	5.76341
LOC100578721	-5217.554617	-5200.098393	34.9124
LOC100578726	-8713.275772	-8713.275772	0
LOC100578730	-2855.759429	-2854.068704	3.38145
LOC100578732	-1774.681408	-1774.681408	0
LOC100578810	-5427.270098	-5427.270098	0
LOC100578824	-4631.980282	-4631.980281	2e-06
LOC100578864	-5220.414479	-5220.414479	0
LOC100578879	-10518.426534	-10516.017750	4.81757
LOC100578924	-4906.112133	-4906.112133	0
LOC100578927	-3450.074349	-3450.074347	4e-06
LOC100578955	-18723.984530	-18723.984530	0
LOC100579007	-8767.144552	-8764.352303	5.5845
LOC100579008	-3270.919774	-3270.919774	0
LOC102653588	-6578.906306	-6578.367895	1.07682
LOC102653784	-3189.178152	-3188.845353	0.665598
LOC102653862	-3994.337148	-3993.880268	0.91376
LOC102653875	-8528.482752	-8491.752073	73.4614
LOC102653965	-6219.495348	-6219.495342	1.2e-05
LOC102654159	-3809.940593	-3806.796930	6.28733
LOC102654188	-15322.340032	-15293.799379	57.0813
LOC102654448			0
LOC102654490	-13726.550204	-13726.550204	0
LOC102654510	-12828.070828	-12828.070828	0
LOC102654534	-4148.716222	-4148.716222	0
LOC102654777	-7728.239163	-7728.239163	0
LOC102654839	-5017.000150	-5015.735618	2.52906
LOC102654895	-10599.357899	-10593.907111	10.9016
LOC102654959	-12551.179796	-12550.603531	1.15253
LOC102655030	-1874.670647	-1874.670647	0
LOC102655034	-2680.611151	-2680.611151	0
LOC102655240	-2421.291230	-2421.291230	0
LOC102655436	-45383.430861	-45379.801264	7.25919
LOC102655485	-1370.279310	-1370.279309	2e-06
LOC102655540	-1383.730844	-1383.730844	0
LOC102655689	-6268.872009	-6268.460075	0.823868
LOC102655778	-9142.518918	-9131.001762	23.0343
LOC102655922	-3126.954676	-3111.024913	31.8595
LOC102655945	-3906.644092	-3906.644092	0
LOC102655995	-4523.060230	-4523.060230	0
LOC102656093	-8099.061828	-8098.959767	0.204122
LOC102656170	-4016.887101	-4013.373887	7.02643
LOC102656425	-2489.395895	-2489.395895	0
LOC102656433	-5541.633264	-5541.633264	0
LOC102656485	-1979.869661	-1979.869661	0
LOC102656505	-2167.078047	-2167.006479	0.143136
LOC102656594	-3878.883490	-3863.373858	31.0193
LOC102656620	-13197.330355	-13195.193680	4.27335
LOC102656685	-2100.309164	-2100.309164	0
LOC102656846	-5156.647466	-5156.287901	0.71913
LOC102656890	-1917.582191	-1917.582191	0
LOC107963983	-12047.378647	-12030.848958	33.0594
LOC107963991	-9916.964412	-9916.964412	0
LOC107964020	-4933.592151	-4933.592151	0
LOC107964083	-10842.082073	-10842.082073	0
LOC107964206	-2316.704856	-2316.704856	0
LOC107964349	-7250.962778	-7249.987609	1.95034
LOC107964404	-1909.732758	-1909.731644	0.002228
LOC107964422	-3060.110199	-3060.110199	0
LOC107964473	-6681.661380	-6678.226025	6.87071
LOC107964635	-6182.211912	-6182.083913	0.255998
LOC107964828	-2940.607611	-2940.607611	0
LOC107964839	-24283.886222	-24264.559743	38.653
LOC107964891	-2525.524615	-2525.524615	0
LOC107964896	-17468.218450	-17468.218450	0
LOC107965070	-4787.273117	-4786.946040	0.654154
LOC107965335	-3938.745794	-3938.745794	0
LOC107965486	-5845.443526	-5845.185164	0.516724
LOC113218723			0
LOC113218965	-5774.045117	-5771.925270	4.23969
LOC113219058	-2797.957383	-2797.957383	0
LOC113219119	-1094.326302	-1094.326302	0
LOC113219232	-5547.700959	-5547.700959	0
LOC113219244	-5286.568093	-5286.568093	0
LOC113219272	-4856.267673	-4823.809692	64.916
LOC113219309	-12606.253692	-12606.253692	0
LOC113219314	-6998.572259	-6998.572259	0
LOC113219328	-2239.840948	-2239.683334	0.315228
LOC113219401	-2781.780268	-2779.888427	3.78368
LOC113219418	-1419.841010	-1419.752672	0.176676
LOC113219424	-10980.203889	-10980.183636	0.040506
LOC408275	-6295.741148	-6295.741148	0
LOC408276	-6192.703843	-6191.689572	2.02854
LOC408301	-1990.802081	-1990.802081	0
LOC408304	-1600.676146	-1589.304074	22.7441
LOC408316	-28383.300056	-28381.753960	3.09219
LOC408335	-22771.531252	-22761.497306	20.0679
LOC408346	-2904.109176	-2904.109176	0
LOC408351	-17870.415507	-17870.367893	0.095228
LOC408367	-6249.471387	-6247.627932	3.68691
LOC408386	-3520.150990	-3520.150990	0
LOC408387	-1040.242778	-1032.867465	14.7506
LOC408401	-13702.108915	-13701.359968	1.49789
LOC408415	-1332.057290	-1332.057290	0
LOC408417	-1858.652828	-1858.652828	0
LOC408424	-2625.606990	-2625.606990	0
LOC408439	-9423.404324	-9418.920121	8.96841
LOC408446	-11312.838497	-11312.428786	0.819422
LOC408448	-8310.423949	-8310.423949	0
LOC408457	-1758.526295	-1737.054412	42.9438
LOC408463	-5196.594310	-5193.065771	7.05708
LOC408481	-2355.058079	-2355.058079	0
LOC408497	-16076.803662	-16071.247456	11.1124
LOC408510	-1943.203474	-1938.577515	9.25192
LOC408512	-12023.161485	-12023.161485	0
LOC408527	-2916.917276	-2916.917276	0
LOC408528	-10068.769087	-10057.224204	23.0898
LOC408538	-4525.191019	-4525.191019	0
LOC408542	-7836.607125	-7836.607125	0
LOC408544	-3449.854926	-3449.854926	0
LOC408546	-14893.259312	-14875.096033	36.3266
LOC408552	-31665.265766	-31625.926454	78.6786
LOC408556	-10212.210865	-10211.470658	1.48041
LOC408561	-8362.479186	-8346.739004	31.4804
LOC408563	-13085.740964	-13082.957427	5.56707
LOC408564	-9270.502399	-9266.118444	8.76791
LOC408567	-4546.094496	-4546.094495	2e-06
LOC408576	-3286.521525	-3286.521525	0
LOC408579	-10156.957376	-10121.320477	71.2738
LOC408596	-4952.378093	-4951.698137	1.35991
LOC408618	-15832.335595	-15832.335595	0
LOC408634	-7562.717004	-7562.572737	0.288534
LOC408642	-4871.124087	-4871.124087	0
LOC408653	-11211.091660	-11211.091660	0
LOC408662	-10718.070691	-10718.070691	0
LOC408694	-7590.023811	-7590.023811	0
LOC408695	-6451.429453	-6451.061399	0.736108
LOC408697	-14039.765948	-14013.645637	52.2406
LOC408722	-3544.399128	-3543.996593	0.80507
LOC408751	-2143.452725	-2143.452725	0
LOC408752	-14549.045031	-14548.488838	1.11239
LOC408754	-3968.378710	-3968.378710	0
LOC408755	-2791.380726	-2790.583312	1.59483
LOC408759	-2599.823875	-2595.505852	8.63605
LOC408775	-3225.554849	-3225.554849	0
LOC408799	-1411.974177	-1411.974177	0
LOC408821	-20671.617917	-20668.326709	6.58242
LOC408836	-7915.060838	-7905.090772	19.9401
LOC408877	-4838.976412	-4830.900430	16.152
LOC408890	-7439.239613	-7436.295663	5.8879
LOC408901	-4100.905266	-4076.504722	48.8011
LOC408922	-9162.668993	-9162.668993	0
LOC408945	-6125.672725	-6121.600394	8.14466
LOC408951	-2466.570078	-2466.570078	0
LOC408958	-4600.219293	-4552.468570	95.5014
LOC408965	-9201.366672	-9201.366672	0
LOC408966	-2740.758401	-2740.758401	0
LOC408982	-2171.857281	-2171.857281	0
LOC409007	-1502.389486	-1469.254437	66.2701
LOC409010	-8678.280268	-8677.790532	0.979472
LOC409016	-1491.734610	-1491.734610	0
