Gene	lnL_Null	lnL_Alt	LRT
LOC102654146	-4550.790244	-4548.495294	4.5899
LOC411083	-11682.785723	-11682.785723	0
LOC411457	-5571.115800	-5571.070158	0.091284
LOC411796	-5310.824973	-5310.293543	1.06286
LOC551837	-12241.415591	-12241.004289	0.822604
LOC551931	-3227.453603	-3214.398216	26.1108
LOC726476	-4808.619506	-4808.619506	0
Arp1	-3666.895156	-3666.895156	0
B-gluc1	-8572.970547	-8571.785186	2.37072
Cox6c	-1488.901382	-1487.900635	2.00149
CPR14	-1855.649847	-1855.649847	0
CPR19	-3269.799921	-3269.799921	0
CSP6	-1979.598582	-1977.317524	4.56212
CytC	-1423.408358	-1423.408358	0
Dcr-1	-17139.483056	-17139.483056	0
Dl	-10530.500674	-10494.298781	72.4038
Dnmt3	-9957.608977	-9957.608977	0
Ecr	-4686.047992	-4684.989597	2.11679
egh	-5751.012843	-5751.012843	0
FAR1	-7148.074170	-7148.074170	0
Gat-1B	-7488.097491	-7486.876417	2.44215
Gat-a	-7589.731394	-7589.731394	0
Gfat2	-9212.894817	-9211.831286	2.12706
GlnS	-5422.376661	-5422.376661	0
GstD1	-4393.102377	-4392.209393	1.78597
GstS4	-3263.229274	-3263.229274	0
Imd	-4527.623137	-4527.623137	0
Jtb	-8379.881511	-8376.619321	6.52438
KAT2A	-9558.712554	-9558.712554	0
LOC100379261	-6102.187588	-6102.187588	0
LOC100576099	-2096.776029	-2096.776029	0
LOC100576186	-7579.085033	-7579.085033	0
LOC100576195	-1540.728038	-1540.728892	-0.001708
LOC100576337	-3442.312885	-3442.303757	0.018256
LOC100576383	-6942.351163	-6942.347636	0.007054
LOC100576411	-9062.822343	-9062.822343	0
LOC100576527	-8832.924323	-8832.924323	0
LOC100576646	-3356.037750	-3354.777389	2.52072
LOC100576649	-8765.085258	-8763.371714	3.42709
LOC100576660	-9031.583100	-9031.583100	0
LOC100576742	-15610.428593	-15610.428593	0
LOC100576795	-3887.203537	-3887.203537	0
LOC100576801	-3752.577370	-3749.408122	6.3385
LOC100576818	-4879.481577	-4879.481577	0
LOC100576819	-7688.123618	-7688.123618	0
LOC100576826	-3583.124347	-3583.123990	0.000714
LOC100576862	-6292.145125	-6291.717144	0.855962
LOC100577002	-8141.473384	-8134.150706	14.6454
LOC100577019	-487.818240	-487.818240	0
LOC100577050	-8144.985409	-8144.985409	0
LOC100577053	-9032.025926	-9032.025926	0
LOC100577136	-5989.866734	-5989.547040	0.639388
LOC100577140	-8781.429618	-8781.429618	0
LOC100577174	-18805.352855	-18805.352855	0
LOC100577196	-9775.081007	-9773.550589	3.06084
LOC100577401	-16692.904098	-16689.715819	6.37656
LOC100577423	-5057.798642	-5057.708599	0.180086
