Gene	lnL_Null	lnL_Alt	LRT
Arp1	-3666.895158	-3666.895154	8e-06
B-gluc1	-8574.636901	-8574.636901	0
Cox6c	-1488.901464	-1488.901464	0
CPR14	-1855.612744	-1853.288677	4.64813
CPR19	-3269.799921	-3269.799921	0
CSP6	-1978.821283	-1978.520278	0.60201
CytC	-1423.408358	-1423.408358	0
Dcr-1	-17119.334972	-17117.062399	4.54515
Dl	-10529.840642	-10529.840642	0
Dnmt3	-9947.029916	-9947.029916	0
Ecr	-4683.107064	-4683.107064	0
egh	-5750.023505	-5749.823805	0.3994
FAR1	-7148.074170	-7148.074170	0
Gat-1B	-7489.329107	-7489.329107	0
Gat-a	-7590.781580	-7590.781580	0
Gfat2	-9214.406442	-9214.270988	0.270908
GlnS	-5420.657136	-5419.671178	1.97192
GstD1	-4396.243038	-4394.680941	3.12419
GstS4	-3259.430546	-3258.127475	2.60614
Imd	-4527.638747	-4527.541762	0.19397
Jtb	-8380.398209	-8379.432131	1.93216
KAT2A	-9556.457717	-9556.342494	0.230446
LOC100379261	-6102.187588	-6102.187588	0
LOC100576099	-2096.776029	-2096.776029	0
LOC100576186	-7579.085033	-7579.085033	0
LOC100576195	-1542.303422	-1542.303422	0
LOC100576337	-3442.606613	-3442.254356	0.704514
LOC100576383	-6944.530825	-6944.530825	0
LOC100576411	-9054.031500	-9054.031500	0
LOC100576527	-8828.152487	-8827.512432	1.28011
LOC100576646	-3361.554338	-3361.554338	0
LOC100576649	-8763.513770	-8760.465564	6.09641
LOC100576660	-9030.268220	-9027.606503	5.32343
LOC100576742	-15609.466317	-15608.803478	1.32568
LOC100576795	-3887.284917	-3887.284917	0
LOC100576801	-3751.088048	-3747.209875	7.75635
LOC100576818	-4880.797897	-4880.797897	0
LOC100576819	-7670.987988	-7665.995112	9.98575
LOC100576826	-3583.492090	-3583.492090	0
LOC100576862	-6293.047352	-6290.453971	5.18676
LOC100577002	-8141.439272	-8140.051559	2.77543
LOC100577019	-487.818240	-487.818240	0
LOC100577050	-8147.147292	-8145.294342	3.7059
LOC100577053	-9032.025926	-9032.025926	0
LOC100577136	-5989.534277	-5989.472144	0.124266
LOC100577140	-8779.867863	-8779.619784	0.496158
LOC100577174	-18782.691547	-18780.778208	3.82668
LOC100577196	-9773.919009	-9766.721450	14.3951
LOC100577401	-16684.660604	-16684.660604	0
LOC100577423	-5058.934534	-5058.934534	0
LOC100577481	-7684.468772	-7683.363660	2.21022
LOC100577493	-9551.924506	-9551.231083	1.38685
LOC100577519			0
LOC100577687	-7338.847376	-7335.841402	6.01195
LOC100577690	-2328.074265	-2328.074265	0
LOC100577763	-37587.919534	-37581.156829	13.5254
LOC100577764	-1764.959431	-1764.959431	0
LOC100577841	-4299.742079	-4299.418674	0.64681
LOC100577870	-1455.706144	-1455.706144	0
LOC100577972	-67281.919786	-67266.332469	31.1746
LOC100578030	-5503.343395	-5503.299945	0.0869
LOC100578035	-3696.786614	-3696.711115	0.150998
LOC100578071	-27466.883337	-27460.157088	13.4525
LOC100578156	-4117.587999	-4113.731450	7.7131
LOC100578168	-2228.421622	-2228.421622	0
LOC100578209	-4742.380769	-4741.201223	2.35909
LOC100578215	-6355.343811	-6354.339863	2.0079
LOC100578235	-1919.028790	-1919.003364	0.050852
LOC100578255	-23337.019483	-23337.019483	0
LOC100578277	-1115.865449	-1115.865449	0
LOC100578329	-9299.343415	-9295.005156	8.67652
LOC100578356	-19591.852984	-19590.790226	2.12552
LOC100578380	-2966.578382	-2966.578253	0.000258
LOC100578433	-22943.626728	-22942.743414	1.76663
LOC100578450	-11497.858122	-11496.688923	2.3384
LOC100578537	-11222.012045	-11219.963245	4.0976
LOC100578560	-1650.082395	-1649.690841	0.783108
LOC100578586	-10969.083627	-10964.231667	9.70392
LOC100578697	-2797.293259	-2797.207339	0.17184
LOC100578725	-1133.930588	-1133.930588	0
LOC100578875	-4994.388249	-4994.388249	0
LOC100578893	-11053.266450	-11053.265279	0.002342
LOC102653793	-5578.406145	-5578.406145	0
LOC102653879	-4449.539106	-4449.539106	0
LOC102653930	-1477.954774	-1476.346482	3.21658
LOC102653951	-1985.256371	-1985.255725	0.001292
LOC102654014	-3588.708583	-3588.482505	0.452156
LOC102654165	-4722.677037	-4722.677037	0
LOC102654312	-5275.552861	-5275.552861	0
LOC102654349	-955.944361	-955.392008	1.10471
LOC102654365	-8186.007822	-8186.007822	0
LOC102654610	-3855.882052	-3855.882052	0
LOC102654621	-6701.627559	-6700.024935	3.20525
LOC102654987	-2046.651601	-2046.651601	0
LOC102655219	-4878.798431	-4878.798431	0
LOC102655244	-9647.728877	-9647.728877	0
LOC102655259	-9879.855842	-9878.873256	1.96517
LOC102655470	-551.877892	-551.877892	0
LOC102655679	-3347.114629	-3347.114629	0
LOC102655688	-7853.554312	-7853.554312	0
LOC102655836	-6360.353697	-6359.533672	1.64005
LOC102655877	-4944.481257	-4944.481257	0
LOC102655904	-1683.673251	-1683.673250	2e-06
LOC102655948	-4157.274004	-4157.274004	0
LOC102656183	-1841.318427	-1841.318427	0
LOC102656263	-2862.010085	-2861.938465	0.14324
LOC102656287	-1672.372924	-1672.372924	0
LOC107963993	-5503.608435	-5503.608435	0
LOC107964089	-2766.881278	-2766.179299	1.40396
LOC107964507	-1443.433677	-1443.433677	0
LOC107965021	-1491.637550	-1491.637550	0
LOC107965199	-9226.288196	-9226.274779	0.026834
LOC107965225	-2527.426855	-2527.179383	0.494944
LOC107965250	-5535.573631	-5535.573631	0
LOC107965266	-6707.214234	-6706.366458	1.69555
LOC107965508	-3969.976872	-3969.342685	1.26837
LOC107965749	-5552.023337	-5552.023337	0
LOC107965828	-3755.991906	-3755.991905	2e-06
LOC113218526	-11246.253758	-11245.584030	1.33946
LOC113218534	-4989.916424	-4989.434460	0.963928
LOC113218670	-2778.935414	-2776.814465	4.2419
LOC406097	-8167.501597	-8167.501597	0
LOC406114	-9792.314532	-9791.827061	0.974942
LOC408271	-6691.025930	-6690.185235	1.68139
LOC408286	-12232.238340	-12231.154266	2.16815
LOC408303	-5194.287425	-5194.287425	0
LOC408312	-7852.844537	-7852.844537	0
LOC408355	-5887.081594	-5887.068537	0.026114
LOC408358	-19048.066385	-19048.066385	0
LOC408369	-3171.938631	-3171.938631	0
LOC408391	-4453.430071	-4453.430071	0
LOC408402	-7158.529895	-7158.336450	0.38689
LOC408421	-9027.473878	-9027.473878	0
LOC408426	-3245.447590	-3245.406912	0.081356
LOC408434	-5855.658581	-5855.658581	0
LOC408438	-14424.801590	-14421.569471	6.46424
LOC408458	-12964.091396	-12964.091396	0
LOC408461	-3730.573868	-3728.121846	4.90404
LOC408474	-9902.110131	-9902.110131	0
LOC408501	-15065.833272	-15065.821211	0.024122
LOC408511	-3730.430190	-3729.470315	1.91975
LOC408520	-3362.198793	-3362.198793	0
LOC408533	-16632.500642	-16632.495779	0.009726
LOC408573	-2867.658109	-2867.658109	0
LOC408575	-4881.023103	-4881.023103	0
LOC408592	-6449.533482	-6449.490309	0.086346
LOC408597	-4364.083922	-4364.083922	0
LOC408649	-7009.851912	-7009.851912	0
LOC408661	-9168.055831	-9167.774683	0.562296
LOC408668	-11321.840983	-11316.372306	10.9374
LOC408687	-3716.038159	-3713.483404	5.10951
LOC408717	-3369.198180	-3369.198180	0
LOC408741	-4276.380818	-4276.380818	0
LOC408742	-8631.422930	-8630.168250	2.50936
LOC408748	-2007.504812	-2007.504812	0
LOC408766	-2711.239593	-2711.239593	0
LOC408774	-41884.236610	-41884.236610	0
LOC408785	-3382.425328	-3382.425328	0
LOC408791	-15396.234047	-15394.800654	2.86679
LOC408793	-11754.945427	-11753.676131	2.53859
LOC408804	-12011.919212	-12010.081455	3.67551
LOC408808	-14417.147367	-14414.361830	5.57107
LOC408815	-18436.825733	-18435.054485	3.5425
LOC408819	-2244.097422	-2244.097422	0
LOC408827	-3216.265688	-3216.265688	0
LOC408833	-3062.368225	-3062.368225	0
LOC408834	-4232.171697	-4232.171697	0
LOC408851	-1543.521472	-1543.521472	0
LOC408871	-5895.096626	-5894.318254	1.55674
LOC408892	-5270.806018	-5264.051112	13.5098
LOC408906	-7500.557315	-7500.557315	0
LOC408924	-6090.108155	-6090.108155	0
LOC408925	-9686.596138	-9683.230600	6.73108
LOC408955	-6709.644223	-6709.644223	0
LOC408971	-2077.631730	-2077.631730	0
LOC408979	-5550.027084	-5549.758510	0.537148
LOC408989	-9919.907578	-9918.599460	2.61624
LOC409004	-1719.289538	-1719.289538	0
LOC409023	-5116.001135	-5115.842926	0.316418
LOC409026	-3227.021027	-3226.855356	0.331342
LOC409032	-11854.589940	-11854.589940	0
LOC409036	-1422.459910	-1422.459910	0
LOC409041	-3908.622327	-3908.118337	1.00798
LOC409055	-4805.297193	-4805.297193	0
LOC409068	-4630.009688	-4628.460609	3.09816
LOC409098	-13352.355418	-13352.336534	0.037768
LOC409103	-4365.739591	-4365.739591	0
LOC409125	-17261.844973	-17256.498702	10.6925
LOC409157	-7989.097057	-7988.584551	1.02501
LOC409165	-5608.626444	-5605.858584	5.53572
LOC409179	-5796.814410	-5796.382140	0.86454
LOC409180	-6527.689833	-6527.575332	0.229002
LOC409189	-5527.051664	-5526.469419	1.16449
LOC409196	-7740.480066	-7739.639728	1.68068
LOC409201	-1895.435366	-1891.961229	6.94827
LOC409203	-8524.718103	-8522.651602	4.133
