Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD
Dop1	4	4	3
LOC100576369	5	4	3
LOC100576640	4	1	0
LOC100576818	5	0	1
LOC100577194	6	0	1
LOC100577409	16	1	2
LOC100577527	20	1	0
LOC100577656	7	3	1
LOC100578247	14	0	3
LOC100578600	11	3	2
LOC100578927	3	3	2
LOC100578999	9	3	5
LOC100579026	5	1	0
LOC102654959	6	3	3
LOC102655819	19	1	1
LOC102656656	4	0	0
LOC408293	17	0	8
LOC408333	33	9	12
LOC408354	14	13	3
LOC408374	9	1	0
LOC408414	5	4	4
LOC408471	11	3	1
LOC408551	26	15	2
LOC408619	16	8	7
LOC408660	15	7	0
LOC408708	24	0	1
LOC409000	9	1	3
LOC409039	4	1	1
LOC409221	20	8	10
LOC409292	3	1	1
LOC409671	6	6	3
LOC409714	39	10	2
LOC409734	5	3	3
LOC409756	3	3	3
LOC409945	7	2	0
LOC410067	5	3	2
LOC410183	5	2	1
LOC410352	5	1	1
LOC410363	35	7	1
LOC410379	11	4	1
LOC410567	98	1	1
LOC410622	50	3	0
LOC410865	117	0	0
LOC410925	11	8	1
LOC411115	5	4	4
LOC411495	8	2	2
LOC411599	3	3	2
LOC411917	22	5	6
LOC411920	9	7	8
LOC411982	8	4	5
LOC412000	8	3	0
LOC412422	5	5	5
LOC412787	1	0	0
LOC413018	2	2	1
LOC413194	4	0	0
LOC413319	4	2	0
LOC413427	14	4	0
LOC413534	5	0	1
LOC413582	82	0	0
LOC413917	8	0	4
LOC550964	11	8	3
LOC551080	2	1	0
LOC551111	9	0	0
LOC551173	7	4	3
LOC551207	4	1	1
LOC551498	7	4	4
LOC551506	6	1	1
LOC551551	6	3	2
LOC552017	8	7	7
LOC552113	8	4	2
LOC552257	23	10	2
LOC552317	5	1	2
LOC552472	2	1	2
LOC552505	8	3	0
LOC552664	6	2	1
LOC552740	14	9	2
LOC552779	4	0	3
LOC552849	9	1	0
LOC724225	7	3	1
LOC724252	14	4	5
LOC724344	7	6	3
LOC724603	14	12	9
LOC724926	13	0	0
LOC724935	2	1	2
LOC724953	3	0	1
LOC725149	2	2	2
LOC725317	8	0	0
LOC725336	2	0	0
LOC725348	10	0	0
LOC725405	16	7	2
LOC725515	2	2	2
LOC725586	3	3	3
LOC725589	9	2	3
LOC725594	9	1	0
LOC725893	16	0	0
LOC725960	4	4	0
LOC726215	19	1	0
LOC726219	5	0	1
LOC726522	10	0	0
LOC726890	1	0	0
LOC727186	2	0	2
