Gene	lnL_Null	lnL_Alt	LRT
LOC102654146	-4552.970053	-4552.970053	0
LOC411083	-11678.617064	-11676.709322	3.81548
LOC411457	-5559.204455	-5556.362528	5.68385
LOC411796	-5312.257649	-5312.257649	0
LOC551837	-12240.067981	-12233.087335	13.9613
LOC551931	-3243.221831	-3243.112551	0.21856
LOC726476	-4809.305151	-4809.300882	0.008538
Arp1	-3666.895151	-3666.895148	6e-06
B-gluc1	-8571.549080	-8571.329225	0.43971
Cox6c	-1488.901464	-1488.901464	0
CPR14	-1855.649847	-1855.649847	0
CPR19	-3269.799921	-3269.799921	0
CSP6	-1973.376851	-1970.888921	4.97586
CytC	-1423.379751	-1423.379751	0
Dcr-1	-17108.317659	-17083.804607	49.0261
Dl	-10531.085901	-10487.557163	87.0575
Dnmt3	-9955.133511	-9950.200778	9.86547
Ecr	-4687.473094	-4687.473094	0
egh	-5747.014982	-5742.560125	8.90971
FAR1	-7140.230497	-7139.109173	2.24265
Gat-1B	-7489.329107	-7489.329107	0
Gat-a	-7590.845859	-7590.845859	0
Gfat2	-9209.047145	-9207.761792	2.57071
GlnS	-5416.745198	-5413.131845	7.22671
GstD1	-4391.925355	-4389.999467	3.85178
GstS4	-3263.699562	-3261.974848	3.44943
Imd	-4526.994905	-4526.994905	0
Jtb	-8378.027106	-8378.027106	0
KAT2A	-9557.736608	-9557.078867	1.31548
LOC100379261	-6101.916699	-6101.900413	0.032572
LOC100576099	-2096.699912	-2096.438850	0.522124
LOC100576186	-7579.085033	-7579.085033	0
LOC100576195	-1542.303422	-1542.303422	0
LOC100576337	-3442.991244	-3440.683864	4.61476
LOC100576383	-6942.649988	-6942.540966	0.218044
LOC100576411	-9064.980305	-9064.980305	0
LOC100576527	-8828.037349	-8818.839957	18.3948
LOC100576646	-3360.066901	-3358.907979	2.31784
LOC100576649	-8758.928572	-8758.928572	0
LOC100576660	-9031.370138	-9029.049695	4.64089
LOC100576742	-15610.428593	-15609.696658	1.46387
LOC100576795	-3885.271362	-3885.271362	0
LOC100576801	-3753.054534	-3753.054534	0
LOC100576818	-4880.130548	-4879.648064	0.964968
LOC100576819	-7687.435610	-7684.226229	6.41876
LOC100576826	-3583.492090	-3583.492090	0
