Gene	SelectedSites	3hit	3H:CMD	3H:Unaffected	2hit	2H:CMD	2H:Unaffected
LOC408752	4,6,7,8,9	Pass	4,8,9	6,7	Fail	156,199,298,35,4,49,528,555,6,7,8,848,9	-
LOC409318	1,2,4	Pass	2,31,32	1,4	Pass	1,39,66	2,4
LOC410398	10,2,3,4,5,6,7,8	Pass		10,2,3,4,5,6,7,8	Pass	15,24,26,44,485,535	10,2,3,4,5,6,7,8
LOC410694	273,274,275,276	Pass		273,274,275,276	Pass		273,274,275,276
LOC411181	3,4	Fail	179,3,4	-	Pass		3,4
LOC412422	1447,1450,1451,1453,1454,1455,1457,1458,1461,1462,1463,1464,1466,1469,1470,1472,1474,1476,1478,1479,1481,1483,1485,1486,1487,996	Pass	1450,1451,1453,1454,1455,1457,1461,1462,1463,1464,1475,1485,1486,1487	1447,1458,1466,1469,1470,1472,1474,1476,1478,1479,1481,1483,996	Pass	1297,1447,1450,1451,1453,1454,1455,1457,1461,1462,1463,1464,1466,1472,1474,1475,1476,1478,1479,1483,1485,1486,1487,2,804	1458,1469,1470,1481,996
LOC413280	10,11,12,15,16,2,3,4,7,8,9	Pass	10,15,16,179,2	11,12,3,4,7,8,9	Pass	1,10,12,122,16,2,3,5,87	11,15,4,7,8,9
LOC551073	345,346,348,349,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,370,371,374,375,376	Pass	1,346,348,351,352,354,355,357,358,359,360,361,362,363,366,368,371,374,376	345,349,353,356,364,365,367,370,375	Pass	1,199,351,358,366,60	345,346,348,349,352,353,354,355,356,357,359,360,361,362,363,364,365,367,368,370,371,374,375,376
LOC552074	1,10,11,13,14,19,22,24,25,26,6,7,9,924	Pass	1162,12,13,14,161,26,6,886	1,10,11,19,22,24,25,7,9,924	Pass	1,11,1123,1174,15,156,25,27,4,886,925	10,13,14,19,22,24,26,6,7,9,924
LOC724195	2,4	Pass		2,4	Fail	2,4,5	-
LOC724936	212,213,214,215,216,217	Pass	217	212,213,214,215,216	Pass	213,215,217	212,214,216
LOC725336	364,365,367,368,369,370,371,372,374,375,376,377,378,379,381,382,384,385,386,387,388,389,390,391,392,393,394,395,396	Pass		364,365,367,368,369,370,371,372,374,375,376,377,378,379,381,382,384,385,386,387,388,389,390,391,392,393,394,395,396	Pass	16,192,329,330,333,337,360,361,373,374,380,383,392,9	364,365,367,368,369,370,371,372,375,376,377,378,379,381,382,384,385,386,387,388,389,390,391,393,394,395,396
