Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD
LOC100576162	4	0	0
LOC100576165	96	0	0
LOC100576640	7	0	0
LOC100576915	2	1	0
LOC100577958	8	0	0
LOC100577972	77	0	0
LOC100578363	4	0	0
LOC100578382	39	0	0
LOC100578587	8	0	0
LOC100578947	3	0	0
LOC408551	5	0	0
LOC408552	5	0	0
LOC408565	6	0	0
LOC408878	8	0	0
LOC408889	9	0	0
LOC408959	9	1	0
LOC409111	12	2	0
LOC409749	54	0	0
LOC409928	7	1	0
LOC410057	9	0	0
LOC410070	14	1	0
LOC410289	6	0	0
LOC410485	8	0	0
LOC410571	6	0	0
LOC410755	7	0	0
LOC410925	31	4	5
LOC411053	2	0	0
LOC411104	6	0	0
LOC411526	29	0	0
LOC411809	20	0	0
LOC411882	14	0	0
LOC412000	29	0	0
LOC412018	6	2	0
LOC412296	50	0	0
LOC412508	50	0	0
LOC413467	10	0	1
LOC413782	32	0	0
LOC551012	6	0	0
LOC551308	10	0	0
LOC551779	18	0	0
LOC552245	53	0	0
LOC552414	46	1	0
LOC724237	4	0	0
LOC724290	14	0	0
LOC724356	5	0	0
LOC724399	288	1	0
LOC724483	4	0	0
LOC724569	19	0	0
LOC725105	5	1	0
LOC725618	6	0	0
LOC725732	29	1	0
LOC726407	5	0	0
LOC726416	9	0	0
LOC727079	9	0	0
LOC727634	19	0	0
Rpn1	347	1	0
Tg	53	1	0
Vg	4	0	0
