Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD	BranchTest	Prop2H	Prop3H	BranchType
apd-3	5	5	2	AllComplex	1	0.4	Elaboration of Sociality
Cac	18	16	5	AllComplex	0.888888888888889	0.277777777777778	Elaboration of Sociality
For	43	16	9	AllComplex	0.372093023255814	0.209302325581395	Elaboration of Sociality
LOC102654959	8	4	4	AllComplex	0.5	0.5	Elaboration of Sociality
LOC102655263	6	1	3	AllComplex	0.166666666666667	0.5	Elaboration of Sociality
LOC408343	41	0	2	AllComplex	0	0.0487804878048781	Elaboration of Sociality
LOC408528	22	6	9	AllComplex	0.272727272727273	0.409090909090909	Elaboration of Sociality
LOC408619	19	11	8	AllComplex	0.578947368421053	0.421052631578947	Elaboration of Sociality
LOC408660	21	6	0	AllComplex	0.285714285714286	0	Elaboration of Sociality
LOC408862	8	6	3	AllComplex	0.75	0.375	Elaboration of Sociality
LOC408915	13	0	0	AllComplex	0	0	Elaboration of Sociality
LOC409000	9	3	3	AllComplex	0.333333333333333	0.333333333333333	Elaboration of Sociality
LOC409007	31	0	0	AllComplex	0	0	Elaboration of Sociality
LOC409039	1	0	0	AllComplex	0	0	Elaboration of Sociality
LOC409335	3	3	0	AllComplex	1	0	Elaboration of Sociality
LOC409377	20	2	6	AllComplex	0.1	0.3	Elaboration of Sociality
LOC409508	3	1	0	AllComplex	0.333333333333333	0	Elaboration of Sociality
LOC410567	63	1	1	AllComplex	0.0158730158730159	0.0158730158730159	Elaboration of Sociality
LOC410860	15	1	1	AllComplex	0.0666666666666667	0.0666666666666667	Elaboration of Sociality
LOC410865	105	0	0	AllComplex	0	0	Elaboration of Sociality
LOC410997	18	7	0	AllComplex	0.388888888888889	0	Elaboration of Sociality
LOC411494	48	2	3	AllComplex	0.0416666666666667	0.0625	Elaboration of Sociality
LOC411723	7	2	4	AllComplex	0.285714285714286	0.571428571428571	Elaboration of Sociality
LOC411836	3	2	1	AllComplex	0.666666666666667	0.333333333333333	Elaboration of Sociality
LOC411850	5	2	1	AllComplex	0.4	0.2	Elaboration of Sociality
LOC412694	11	2	0	AllComplex	0.181818181818182	0	Elaboration of Sociality
LOC412859	8	7	1	AllComplex	0.875	0.125	Elaboration of Sociality
LOC413246	20	1	1	AllComplex	0.05	0.05	Elaboration of Sociality
LOC413341	20	1	1	AllComplex	0.05	0.05	Elaboration of Sociality
LOC551080	11	5	3	AllComplex	0.454545454545455	0.272727272727273	Elaboration of Sociality
LOC551123	2	0	0	AllComplex	0	0	Elaboration of Sociality
LOC551173	5	4	3	AllComplex	0.8	0.6	Elaboration of Sociality
LOC551551	6	3	2	AllComplex	0.5	0.333333333333333	Elaboration of Sociality
LOC551666	3	0	0	AllComplex	0	0	Elaboration of Sociality
LOC551754	15	0	6	AllComplex	0	0.4	Elaboration of Sociality
LOC551892	2	1	1	AllComplex	0.5	0.5	Elaboration of Sociality
LOC552315	13	3	1	AllComplex	0.230769230769231	0.0769230769230769	Elaboration of Sociality
LOC552505	8	4	0	AllComplex	0.5	0	Elaboration of Sociality
LOC724150	10	1	1	AllComplex	0.1	0.1	Elaboration of Sociality
LOC724195	2	2	0	AllComplex	1	0	Elaboration of Sociality
LOC724292	14	6	8	AllComplex	0.428571428571429	0.571428571428571	Elaboration of Sociality
LOC724310	7	1	3	AllComplex	0.142857142857143	0.428571428571429	Elaboration of Sociality
LOC724607	6	1	0	AllComplex	0.166666666666667	0	Elaboration of Sociality
LOC724936	4	3	1	AllComplex	0.75	0.25	Elaboration of Sociality
LOC724979	0	0	0	AllComplex	NA	NA	Elaboration of Sociality
LOC725336	9	0	0	AllComplex	0	0	Elaboration of Sociality
LOC725960	7	4	1	AllComplex	0.571428571428571	0.142857142857143	Elaboration of Sociality
Nedd9	6	4	3	AllComplex	0.666666666666667	0.5	Elaboration of Sociality
apd-3	3	3	1	AllOrigin	1	0.333333333333333	Origin of Sociality
LOC100578119	5	2	2	AllOrigin	0.4	0.4	Origin of Sociality
LOC408752	5	5	3	AllOrigin	1	0.6	Origin of Sociality
LOC409318	5	1	1	AllOrigin	0.2	0.2	Origin of Sociality
LOC409486	7	2	2	AllOrigin	0.285714285714286	0.285714285714286	Origin of Sociality
LOC409933	17	4	10	AllOrigin	0.235294117647059	0.588235294117647	Origin of Sociality
LOC410398	7	0	0	AllOrigin	0	0	Origin of Sociality
LOC410694	5	0	0	AllOrigin	0	0	Origin of Sociality
LOC413189	3	0	0	AllOrigin	0	0	Origin of Sociality
LOC413280	10	4	4	AllOrigin	0.4	0.4	Origin of Sociality
LOC414021	2	2	2	AllOrigin	1	1	Origin of Sociality
LOC551005	7	7	3	AllOrigin	1	0.428571428571429	Origin of Sociality
LOC551497	52	0	0	AllOrigin	0	0	Origin of Sociality
LOC552017	14	10	6	AllOrigin	0.714285714285714	0.428571428571429	Origin of Sociality
LOC552074	9	0	4	AllOrigin	0	0.444444444444444	Origin of Sociality
LOC724195	4	3	0	AllOrigin	0.75	0	Origin of Sociality
LOC724292	14	8	6	AllOrigin	0.571428571428571	0.428571428571429	Origin of Sociality
LOC725336	29	1	0	AllOrigin	0.0344827586206897	0	Origin of Sociality
LOC727249	19	2	0	AllOrigin	0.105263157894737	0	Origin of Sociality
Dl	190	1	0	AllSol	0.00526315789473684	0	Solitary
LOC107964404	11	2	1	AllSol	0.181818181818182	0.0909090909090909	Solitary
LOC113218774	2	0	0	AllSol	0	0	Solitary
LOC408586	37	2	6	AllSol	0.0540540540540541	0.162162162162162	Solitary
LOC409351	144	0	0	AllSol	0	0	Solitary
LOC411088	12	0	1	AllSol	0	0.0833333333333333	Solitary
LOC411693	10	0	1	AllSol	0	0.1	Solitary
LOC412598	5	1	4	AllSol	0.2	0.8	Solitary
LOC552599	5	5	2	AllSol	1	0.4	Solitary
LOC727634	88	1	0	AllSol	0.0113636363636364	0	Solitary
Dop1	4	4	3	Apis	1	0.75	Elaboration of Sociality
LOC100576369	5	4	3	Apis	0.8	0.6	Elaboration of Sociality
LOC100576640	4	1	0	Apis	0.25	0	Elaboration of Sociality
LOC100576818	5	0	1	Apis	0	0.2	Elaboration of Sociality
LOC100577194	6	0	1	Apis	0	0.166666666666667	Elaboration of Sociality
LOC100577409	16	1	2	Apis	0.0625	0.125	Elaboration of Sociality
LOC100577527	20	1	0	Apis	0.05	0	Elaboration of Sociality
LOC100577656	7	3	1	Apis	0.428571428571429	0.142857142857143	Elaboration of Sociality
LOC100578247	14	0	3	Apis	0	0.214285714285714	Elaboration of Sociality
LOC100578600	11	3	2	Apis	0.272727272727273	0.181818181818182	Elaboration of Sociality
LOC100578927	3	3	2	Apis	1	0.666666666666667	Elaboration of Sociality
LOC100578999	9	3	5	Apis	0.333333333333333	0.555555555555556	Elaboration of Sociality
LOC100579026	5	1	0	Apis	0.2	0	Elaboration of Sociality
LOC102654959	6	3	3	Apis	0.5	0.5	Elaboration of Sociality
LOC102655819	19	1	1	Apis	0.0526315789473684	0.0526315789473684	Elaboration of Sociality
LOC102656656	4	0	0	Apis	0	0	Elaboration of Sociality
LOC408293	17	0	8	Apis	0	0.470588235294118	Elaboration of Sociality
LOC408333	33	9	12	Apis	0.272727272727273	0.363636363636364	Elaboration of Sociality
LOC408354	14	13	3	Apis	0.928571428571429	0.214285714285714	Elaboration of Sociality
