Gene	Resolved_Isoform
18-w	NP_001013379.1
5-HT1	NP_001164579.1
5-HT2alpha	NP_001189389.1
5-HT2beta	NP_001191178.1
5-ht7	NP_001071289.1
A4	NP_001107670.1
Abscam	NP_001035325.2
Ac3	NP_001071276.1
AChE-2	NP_001035320.1
Acph-1	NP_001013377.2
ACSF2	NP_001193902.1
Adar	NP_001091684.1
Adk1	NP_001164443.1
AGLU2	NP_001035326.1
Akhr	NP_001035354.1
Amel_8916	NP_001071290.1
Amih	NP_001011568.1
Ant	NP_001010975.1
Antp	NP_001011571.1
Apamin	NP_001011612.1
Apd-1	NP_001078814.1
Apd-2	NP_001078815.1
apd-3	NP_001167616.1
Apd-3	NP_001078813.1
Apid1	NP_001011613.1
Apime-ASTA	NP_001161181.1
Argk	NP_001011603.1
arm	NP_001172034.1
Arp1	NP_001172075.1
ATP5G2	NP_001229586.1
aub	NP_001159378.1
BBIP1	NP_001172015.1
B-gluc1	NP_001157186.1
Blop	NP_001011606.1
Br-c	NP_001035356.1
Brd7	NP_001229444.1
brp	NP_001242968.1
Burs	NP_001091704.1
C1q-VP	NP_001138311.1
Cac	NP_001159376.1
cact1	NP_001157184.1
cad	NP_001239359.1
Calpb	NP_001153877.1
Camkii	NP_001128422.1
Cat	NP_001171540.1
Cbs	NP_001035353.1
Cdc37	NP_001229443.1
Cdk5	NP_001161897.1
Chmp1	NP_001229396.1
c-mos	NP_001011644.1
Coq7	NP_001171538.1
Cox6b1	NP_001165874.1
Cox6c	NP_001165876.1
Cpap3-b	NP_001165849.1
Cpap3-c	NP_001165860.1
Cpap3-d	NP_001165850.1
CPF1	NP_001257760.1
CPF2	NP_001257761.1
CPR11	NP_001257752.1
CPR12	NP_001257753.1
CPR13	NP_001257754.1
CPR14	NP_001257742.1
CPR16	NP_001257755.1
CPR17	NP_001257756.1
CPR18	NP_001257757.1
CPR19	NP_001161365.1
CPR1	NP_001257746.1
CPR21	NP_001257744.1
CPR22	NP_001257743.1
CPR27	NP_001257758.1
CPR28	NP_001257759.1
CPR2	NP_001257747.1
CPR3	NP_001257748.1
CPR4	NP_001257749.1
CPR5	NP_001257750.1
CPR6	NP_001257751.1
crh-BP	NP_001012633.1
Cry2	NP_001077099.1
Cryl1	NP_001129207.1
Crz	NP_001012981.1
Crzr	NP_001137393.1
