Gene	lnL_Null	lnL_Alt	LRT
Akhr	-4946.785424	-4946.785424	0
ATP5G2	-1750.792898	-1750.792898	0
Blop	-5924.686986	-5921.978245	5.41748
Br-c	-4471.531363	-4471.531363	0
Chmp1	-1600.825943	-1600.825943	0
Coq7	-2698.288290	-2698.242022	0.092536
Cpap3-c	-3091.007330	-3091.007330	0
CPF1	-1775.884714	-1775.884714	0
Cry2	-6687.409172	-6687.409172	0
CSP4	-2553.627248	-2553.627248	0
DopR2	-6696.655784	-6696.655784	0
E74	-4803.535632	-4803.535632	0
E75	-5774.548506	-5773.112126	2.87276
Ef-1a-f1	-5458.858475	-5458.858475	0
Emc	-1712.901309	-1712.901309	0
Ets97D-like	-5879.816669	-5879.816669	0
Grd	-6547.029420	-6547.029420	0
Gycbeta1	-5454.890432	-5454.890432	0
Hsc70-4	-7547.222826	-7547.222826	0
Hsc70-5	-3948.876777	-3948.876777	0
Hsp90	-8620.577082	-8620.577082	0
Ing3	-3531.779508	-3531.774713	0.00959
LOC100576110	-8745.450512	-8745.450512	0
LOC100576152	-4008.653846	-4007.945739	1.41621
LOC100576194	-3996.974476	-3996.974476	0
LOC100576220	-3244.273089	-3244.273089	0
LOC100576227	-15152.081837	-15152.081837	0
LOC100576249	-8002.725815	-8002.725815	0
LOC100576261	-6572.580178	-6572.555566	0.049224
LOC100576266	-7383.852766	-7383.852765	2e-06
LOC100576277	-9070.107253	-9070.107253	0
LOC100576298	-5690.277727	-5690.277727	0
LOC100576307	-4655.307456	-4654.707074	1.20076
LOC100576321	-26881.181131	-26881.008721	0.34482
LOC100576433	-5823.129458	-5823.129457	2e-06
LOC100576461	-7539.456521	-7539.456493	5.6e-05
LOC100576492	-751.931281	-751.892959	0.076644
LOC100576531	-2407.418448	-2404.244749	6.3474
LOC100576532	-2940.093865	-2940.093865	0
LOC100576586	-7615.778413	-7615.778413	0
LOC100576608	-4963.330512	-4962.946772	0.76748
LOC100576615	-8938.090182	-8938.090182	0
LOC100576647	-8852.603001	-8852.603001	0
LOC100576663	-1476.181804	-1476.181804	0
LOC100576666	-9449.138197	-9449.099576	0.077242
LOC100576667	-6244.573964	-6242.411354	4.32522
LOC100576730	-1327.949661	-1327.949661	0
LOC100576733	-3161.031608	-3161.031608	0
LOC100576744	-6725.564501	-6724.902307	1.32439
LOC100576796	-1467.068604	-1467.068604	0
LOC100576805	-3283.876212	-3281.203159	5.34611
LOC100576866	-7014.187048	-7014.187048	0
LOC100576879	-17638.410581	-17638.409639	0.001884
LOC100576915	-10378.947892	-10378.940033	0.015718
LOC100576919	-19966.626504	-19966.626504	0
LOC100576934	-4337.334822	-4337.334822	0
LOC100576975	-3214.201040	-3214.201040	0
LOC100576982	-2607.709622	-2607.709622	0
LOC100576990	-11887.915676	-11887.915675	2e-06
LOC100577000	-2331.462863	-2331.097780	0.730166
LOC100577003	-1745.015387	-1742.710163	4.61045
LOC100577028	-1548.956388	-1548.956388	0
LOC100577069	-3855.069343	-3855.069343	0
LOC100577180	-6394.648829	-6394.648829	0
LOC100577192	-3911.614136	-3911.614136	0
LOC100577237	-6384.647843	-6384.377153	0.54138
LOC100577268	-1173.581951	-1173.581951	0
LOC100577293	-2251.552873	-2251.552873	0
LOC100577376	-17831.928947	-17831.928947	0
LOC100577377	-7880.382119	-7870.656775	19.4507
LOC100577385	-7769.733335	-7767.091233	5.2842
LOC100577515	-8953.586806	-8953.312303	0.549006
LOC100577516	-6600.608174	-6600.608174	0
LOC100577635	-6870.061530	-6869.340246	1.44257
LOC100577669	-16755.548177	-16755.548177	0
LOC100577694	-7454.290736	-7454.290736	0
LOC100577739	-35693.675601	-35692.541957	2.26729
LOC100577801	-8704.365198	-8704.365198	0
LOC100577885	-7789.849126	-7786.633376	6.4315
LOC100577920	-1788.053283	-1787.879619	0.347328
LOC100577966	-3582.948972	-3582.948768	0.000408
LOC100577981	-15124.235427	-15124.222330	0.026194
LOC100577998	-11206.118414	-11205.644826	0.947176
LOC100578001	-4051.847580	-4049.621363	4.45243
LOC100578002	-1051.442511	-1051.442511	0
LOC100578066	-9147.595991	-9147.139906	0.91217
LOC100578085	-4244.134962	-4244.134962	0
LOC100578091	-1954.187394	-1954.187394	0
LOC100578105	-12240.491156	-12240.491156	0
LOC100578106	-7298.478317	-7298.478317	0
LOC100578109	-7224.682012	-7224.682012	0
