Gene	All_Post_Elaboration_Sociality	All_Post_Origin_Sociality	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
5-HT1	1	1	1	1	1	1	1	1	1	1	2.924831e-32
5-ht7	1	1	1	1	1	1	1.460161e-08	1	1	1	5.185443e-05
ACSF2	1	1	1	1	1	1	1	1	1	1	1
ATP5G2	1	1	1	1	1	1	1	1	1	1	1
Acph-1	1	1	1	1	1	1	1	1	1	1	1
Adar	1	1	1	1	1	1	1	1	1	1	1
Adk1	1	1	1	1	1	1	1	1	1	1	1
Akhr	1	1	1	1	1	1	1	1	1	1	1
Amel_8916	1	1	1	0.1249736	1	1	1	0.00712335	1	1	7.008442e-07
Ant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antp	1	1	1	1	1	1	1	1	1	1.386076e-20	3.90402e-21
Argk	1	1	1	1	1	1	1	1	1	1	1
BBIP1	1	1	1	1	1	1	1	1	1	1	0.01688649
Blop	1	1	1	1	1	1	1	1	1	1	1.751572e-07
Br-c	1	1	1	1	1	1	1	1	1	1	1
Brd7	1	1	1	1	1	1	1	0.002565966	1	1	1
CPF1	1	1	1	1	1	1	1	1	1	1	1
CPR13	1	1	1	1	1	1	1	1	1	1	1
CPR16	1	1	1	1	1	1	1	1	1	1	1
CPR17	1	1	1	1	1	1	1	1	1	1	1
CPR21	1	1	1	1	1	1	1	1	1	1	1
CPR22	1	1	1	1	1	1	1	1	1	1	1
CPR3	1	1	1	1	1	1	1	1	1	1	1
CPR5	1	1	1	1	1	1	1	1	1	1	1
CSP2	1	1	1	1	1	1	1	1	1	1	1
CSP3	1	1	1	1	1	1	1	1	1	1	1
CSP4	1	1	1	1	1	NA	1	1	1	1	0.2437565
CUTA	1	1	1	1	1	1	1	1	1	1	1
Cac	5.56680282007053e-09	1	1	0.1448425	1	1	1	1	1	1	1.085844e-12
Calpb	1	1	1	1	1	1	1	1	1	1	0.001624971
Cat	1	1	1	1	1	1	1	1	1	1	1
Cbs	1	1	1	1	1	1	1	1	1	1	1
Cdc37	1	1	1	1	1	1	1	1	1	1	1
Cdk5	1	1	1	1	1	1	1	1	1	0.1109755	1.622255e-17
Chmp1	1	1	1	1	1	1	1	1	1	1	1
Coq7	1	1	1	1	1	1	1	1	1	1	1
Cox6c	1	1	1	1	1	1	1	1	1	1	1
Cpap3-c	1	1	1	1	1	1	1	1	1	1	0.04904466
Cry2	1	1	1	1	1	1	1	1	1	1	1
Cyp4g11	1	1	1	1	1	1	1	1	1	1	1
Dat	1	1	1	1	1	1	1	1	1	1	1
Dnmt3	1	1	1	1	1	1	1	1	1	1	1
Dop1	1	1	1	0.003571959	1	1	1	1	1	1	3.695408e-10
DopR2	1	1	1	1	1	1	1	1	1	1	0.0001579351
E74	1	1	1	1	1	1	1	1	1	1	9.06865e-06
EF1a-F2	1	1	1	1	1	1	1	1	1	1	1
Eaat-2	1	1	1	1	1	1	1	1	1	1	1
Ecr	1	1	1	1	1	1	1	1	1	1	1
Ef-1a-f1	1	1	1	1	1	1	1	1	0.005032015	1	0.2369672
Eif3h	1	1	1	1	1	1	1	1	1	1	1
Eif4g	1	1	1	1	1	1	1	0.1619235	1	1	1.918147e-10
Emc	1	1	1	1	1	1	1	1	1	1	1
Err	1	1	1	1	1	1	1	1	1	1	1
Ets97D-like	1	1	1	1	1	1	1	1	1	1	0.0382072
Fem	1	1	1	1	1	1	1	1	1	1	1
For	1.29759643045816e-13	1	1	0.4399833	1	1	1	1	1	1	1
Foxp	1	1	1	1	1	1	1	1	1	1	9.561572e-10
Fstl5	1	1	1	1	1	1	5.037034e-09	1	1	1	1
Gat-1B	1	1	1	1	1	1	1	1	1	1	1.521136e-19
Gat-a	1	1	1	1	1	1	1	1	1	1	1
Gfat2	1	1	1	1	1	1	1	1	2.082693e-10	1	1
GlnS	1	1	1	1	1	1	1	1	1	1	1
Glob1	1	1	1	1	1	1	1	1	1	1	3.211177e-05
Grd	1	1	1	1	1	1	1	1	0.001846909	1	1
GstD1	1	1	1	1	1	1	1	1	1	1	1
GstS4	1	1	1	1	1	1	1	1	1	1	1
Gstcd	1	1	1	1	1	1	1	1	1	1	1
Gtpx1	1	1	1	1	1	1	1	1	1	1	1
Gycbeta1	1	1	1	1	1	1	0.1235441	1	1	1	1
Ho	1	1	1	1	1	1	1	1	1	1	1
Hsc70-3	1	1	1	1	1	1	1	1	1	1	1
Hsc70-5	1	1	1	1	1	1	1	1	1	1	1
