#Each branch site analysis results in a LRT score that is compared to a chi-square distrubtion with 1 degree of freedom to give a pvalue
#This table shows the adjusted pvalues for each lineage per tested gene. NA means the test resulted in convergence failure

Gene	All_Advanced_Eusocial	All_Social	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
Arp1	1	1	1	1	1	1	1	1	1	1	1	
B-gluc1	1	1	1	1	1	1	1	1	1	1	1	
CytC	1	1	1	1	1	1	0.00266498984537246	1	1	1	1	
Dcr-1	1	1	1	1	1	2.65965834380691e-09	1	1	2.71056922147057e-21	1	1	
Dl	1	1	1.2863820043949e-39	0.782157499974731	1	1.11630827792488e-17	1	1	1	1.85898486115304e-14	1	
Imd	1	1	1	1	1	1	1	1	1	1	1	
LOC100576527	1	1	1	1	1	0.0184035981460449	1	1	1	1	1	
LOC100576742	1	1	1	1	1	1	0.274507430360968	1	1	1	1	
LOC100576819	1	1	1	1	1	1	1	1	1	1	1	
LOC100577690	1	1	1	1	1	1	1	1	1	1	1	
LOC100577764	1	1	1	1	1	1	1	1	1	1	1	
LOC100578030	1	1	1	1	1	1	1	1	1	1	1	
LOC100578156	1	1	1	1	1	1	1	1	1	1	1	
LOC100578356	1	1	1	1	1	0.688408301324523	1	1	1	1	1	
LOC100578537	1	1	1	1	1	1	5.93872658428287e-17	1	1	1	1	
LOC406097	1	1	1	1	1	1	1	0.182730273232355	1	1	1	
LOC408358	1	1	1	1	1	1	1	1	1	1	1	
LOC408391	1	1	1	1	1	1	1	1	1	1	1	
LOC408426	1	1	NA	1	1	NA	1	NA	1	NA	1	
LOC408438	1	1	1	1	1	1	1	1	1	1	1	
LOC408501	1	1	1	1	1	1	1	1	1	1	1	
LOC408533	1	1	1	1	1	1	1	1	1	1	1	
LOC408717	1	1	1	1	1	1	0.00924364521268393	1	1	1	1	
LOC408808	1	1	NA	1	1	NA	0.0718902711038343	NA	1	NA	1	
LOC408834	1	1	1	1	1	1	1	1	1	1	1	
LOC408851	1	1	1	1	1	1	1	1	1	1	1	
LOC408924	1	1	1	1	1	1	1	1	1	1	1	
LOC409036	1	1	NA	1	1	NA	0.142458530686474	NA	1	NA	1	
LOC409055	1	1	1	1	1	1	1	1	1	1	1	
LOC409125	1	1	1	1	1	1	0.031379684208613	1	1	1	1	
LOC409165	1	1	1	1	1	1	1	1	1	1	1	
LOC409226	1	1	1	1	1	1	0.735051305490261	1	1	1	1	
LOC409286	1	1	1	1	1	1	1	1	6.33486654563776e-09	1	1	
LOC409334	1	1	1	1	1	1	1	1	1	1	1	
LOC409336	1	1	1	1	1	1	1	1	2.57929116481758e-06	0.00105757446220044	1	
LOC409341	1	1	1	1	1	1	1	1	1	1	1	
LOC409365	1	1	1	1	1	1	0.525648872127442	1	1	1	1	
LOC409386	1	1	1	1	1	1	1	1	1	1	1	
LOC409393	1	1	1	1	1	1	1	1	1	1	1	
LOC409495	1	1	1	1	1	1	1	1	1	1	1	
LOC409523	1	1	1	1	1	1	1	1	1	1	1	
LOC409529	1	1	NA	1	1	NA	1	NA	8.57894809886689e-08	NA	1	
LOC409667	1	1	1	1	1	1	1	1	1	1	1	
LOC409724	1	1	1	1	1	1	1	1	1	1	1	
LOC409791	1	1	1	1	1	1	1	1	0.023781373686874	1	1	
LOC409814	1	1	1	1	1	1	1	1	1	1	1	
LOC409920	1	1	1	1	1	1	1	1	3.28022824694643e-05	1	1	
LOC409925	1	1	1	1	1	1	1	1	1	1	1	
LOC409941	1	1	1	1	1	1	1	1	1	1	1	
LOC410183	1	1	1	0.0464745416539225	1	1	1	1	1	1	1	
LOC410257	1	1	1	1	1	1	1	1	1	1	1	
