Gene	AlnLength	Amel	Aflo	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
5-HT1	1152	55.47	55.73	53.91	52.43	52.69	55.47	56.34	54.95	57.38	54.25	54.25
5-ht7	666	48.65	50.15	51.95	47.15	56.61	51.65	54.65	52.40	55.41	51.95	50.30
A4	510	37.45	36.86	41.76	41.57	48.82	47.65	41.76	46.08	49.61	45.88	44.12
Acph-1	1185	40.59	40.42	39.75	40.00	43.38	43.12	38.73	39.41	43.80	41.27	40.84
ACSF2	888	47.75	47.64	46.17	45.16	50.00	55.74	50.45	51.58	57.21	44.03	51.91
Adar	1671	40.16	40.10	41.53	41.41	49.43	49.97	42.43	46.02	52.54	43.33	45.48
Adk1	567	32.10	33.33	41.27	41.45	47.09	44.44	42.33	42.68	44.97	38.62	45.68
Akhr	1020	35.88	34.71	38.14	37.75	43.92	38.14	35.98	40.78	37.55	41.57	35.49
Amel_8916	642	38.01	37.85	46.26	46.73	49.84	46.11	43.46	43.77	47.35	37.38	39.88
Ant	837	44.44	44.68	46.48	46.59	52.69	50.90	45.52	46.83	49.82	46.12	46.00
Antp	648	63.27	62.96	57.87	58.02	59.72	59.10	58.95	57.87	61.57	57.25	57.41
apd-3	744	64.78	65.32	61.29	62.10	62.37	63.58	63.17	59.54	63.44	63.44	62.77
Argk	999	45.45	44.94	50.85	50.25	56.36	53.05	48.25	52.45	56.26	50.25	49.75
arm	2307	48.85	46.64	46.03	45.51	48.07	49.33	46.51	49.98	54.66	45.86	47.85
Arp1	1128	44.95	44.41	47.78	47.96	56.38	50.62	47.16	49.56	54.08	47.52	48.76
ATP5G2	396	41.92	42.93	50.76	50.25	55.81	51.26	43.69	50.00	51.77	49.24	48.48
BBIP1	1890	31.48	31.38	33.12	33.17	40.90	38.62	33.39	33.86	40.42	33.07	34.44
B-gluc1	1149	34.81	34.73	42.21	42.04	51.61	46.21	41.08	46.56	46.48	39.34	45.95
Blop	1131	45.00	45.27	47.13	46.86	48.81	52.96	45.45	48.63	55.00	52.08	48.54
Br-c	807	60.47	59.85	56.63	56.88	57.50	58.49	56.26	59.85	62.58	62.95	57.99
Brd7	2160	36.81	36.53	40.32	40.19	48.56	44.07	40.69	45.09	48.33	42.04	41.71
Cac	4506	52.40	52.77	51.18	51.11	52.22	53.04	52.49	52.22	54.48	49.58	51.80
Calpb	1368	37.57	38.16	45.25	44.08	45.69	48.39	41.30	44.37	47.00	46.64	43.06
Cat	564	39.01	40.07	48.40	48.58	47.16	53.72	45.57	48.23	50.00	48.23	48.40
Cbs	1368	29.90	29.90	35.38	34.65	44.52	34.36	33.26	33.63	38.01	32.31	34.87
Cdc37	951	31.44	32.18	34.81	35.02	38.28	37.33	32.60	34.70	40.48	33.02	34.28
Cdk5	894	39.93	41.50	45.86	44.97	47.99	48.99	40.83	44.07	48.10	49.89	44.74
Chmp1	459	34.64	34.86	38.78	38.13	46.62	40.96	37.04	37.91	40.52	38.34	36.60
c-mos	819	29.30	30.65	33.82	32.84	41.76	39.68	32.72	33.09	43.71	37.00	33.58
Coq7	585	33.68	34.36	37.61	37.09	49.23	42.74	37.09	38.46	51.79	37.44	39.15
Cox6c	186	31.18	32.26	32.80	33.33	37.63	38.71	31.72	32.80	36.56	35.48	34.95
Cpap3-c	786	55.60	55.22	53.94	54.07	53.56	58.02	52.42	51.91	58.78	56.23	55.85
CPF1	321	47.66	44.86	55.45	56.39	61.06	54.21	47.35	57.01	54.83	52.34	56.39
CPR13	303	41.25	41.58	45.21	47.19	48.84	53.14	48.18	49.17	51.49	47.85	45.87
CPR14	426	53.05	57.28	52.82	53.05	59.39	58.45	57.04	53.99	54.46	53.29	54.23
CPR16	885	52.43	50.28	50.40	49.15	51.41	53.22	53.33	51.53	52.32	52.88	51.07
CPR17	468	54.49	56.20	51.07	51.50	58.12	57.26	57.91	54.06	58.12	50.43	56.41
CPR19	606	51.65	52.48	49.01	49.50	53.63	52.64	51.98	51.82	55.61	53.63	51.16
CPR21	390	54.10	58.21	54.36	54.62	58.46	61.79	59.23	50.77	56.67	52.31	51.54
CPR22	318	56.92	58.18	54.40	53.46	58.49	57.23	59.12	55.35	58.49	50.94	55.66
CPR3	600	50.00	52.00	58.50	59.00	57.67	62.17	54.67	56.50	62.00	62.50	53.33
CPR5	489	49.08	49.90	50.92	50.51	53.37	54.40	50.51	53.78	59.10	51.74	55.01
Cry2	1569	42.13	41.05	49.08	48.69	54.24	53.22	45.06	50.48	54.49	51.88	47.86
CSP2	342	53.22	53.80	51.75	51.75	53.22	55.56	51.75	53.22	57.60	54.68	51.46
CSP3	387	42.12	41.60	43.67	40.83	47.29	51.16	44.96	46.51	49.35	41.86	48.58
CSP4	378	44.71	46.56	47.62	47.62	47.35	44.97	48.94	46.03	46.56	52.12	39.68
CSP6	357	31.09	29.97	36.97	35.85	39.22	45.94	31.65	35.85	42.30	33.33	38.38
CUTA	342	30.70	31.29	35.38	35.96	38.30	36.84	30.99	33.92	36.26	38.60	34.80
Cyp4g11	1623	40.73	40.23	44.86	44.36	50.83	54.59	45.29	47.57	55.82	45.41	50.71
CytC	312	35.58	35.90	38.78	39.42	46.79	41.03	39.10	39.10	44.23	41.35	41.99
Dat	951	44.48	43.64	43.22	43.22	50.47	48.90	47.21	43.74	48.58	45.53	48.26
Dcr-1	3675	29.71	29.88	32.63	32.54	53.99	34.80	31.76	32.22	36.49	33.20	34.53
Dl	1767	33.67	33.90	36.73	36.50	46.63	40.29	36.62	40.35	46.97	35.26	38.82
Dnmt3	1563	49.97	48.56	43.95	42.74	44.85	52.02	47.28	50.86	52.08	40.63	48.43
Dop1	663	49.02	48.72	46.91	47.06	51.89	53.09	46.91	49.17	53.39	48.72	52.94
DopR2	1296	58.56	57.25	53.63	52.62	55.86	54.17	55.71	54.17	56.33	55.86	55.79
E74	1248	54.65	54.33	56.17	55.69	59.78	60.26	57.69	57.69	60.02	54.81	56.33
E75	1374	63.10	62.74	54.15	54.44	57.21	57.06	60.70	57.28	59.39	58.01	60.19
Eaat-2	1602	43.63	43.07	45.07	45.44	48.13	48.88	45.57	46.94	48.75	46.07	49.50
ecd	1740	30.86	30.75	31.49	31.84	33.85	34.08	31.21	31.44	37.93	33.16	34.02
Ecr	1290	57.36	57.98	53.18	53.41	56.90	55.89	54.88	56.28	56.51	56.20	54.88
Ef-1a-f1	1383	53.29	51.63	53.29	53.00	56.54	53.94	54.37	54.09	57.12	61.17	55.75
EF1a-F2	1383	41.14	41.65	44.11	44.25	49.60	44.03	42.73	43.38	49.31	43.67	42.23
egh	1356	29.35	29.79	32.96	32.89	43.81	33.26	31.56	31.71	36.36	33.41	32.89
Eif3h	1008	32.64	33.13	38.19	38.59	42.16	40.28	34.03	37.40	41.47	40.28	34.92
Eif4g	3396	33.54	33.78	37.16	36.78	44.79	39.43	36.43	36.54	40.22	37.10	37.87
Emc	363	51.52	51.24	56.20	55.65	56.75	59.78	61.43	52.89	62.81	57.85	55.92
Err	1200	45.75	42.17	44.50	44.58	49.67	48.25	44.92	46.75	53.67	44.50	47.75
Ets97D-like	1299	35.64	36.10	40.88	40.26	49.73	44.42	41.03	43.49	47.81	40.88	39.34
eve	675	59.56	62.22	52.15	51.41	58.96	61.19	58.37	58.22	58.22	58.52	59.11
FAR1	1320	41.67	41.21	44.39	44.55	51.59	51.74	44.02	49.77	51.74	40.76	43.86
Fem	717	34.31	34.45	37.24	37.80	43.65	39.47	35.98	39.33	43.51	37.24	38.91
For	1782	46.75	46.97	46.91	46.69	50.11	50.34	46.24	48.15	49.44	46.07	50.51
Foxp	1323	53.14	54.04	51.93	52.38	52.76	55.10	53.97	54.20	56.46	54.65	53.44
Fstl5	2403	43.15	42.16	44.40	43.90	52.73	51.02	46.44	48.65	52.27	47.44	46.11
Gat-1B	1734	35.87	35.93	38.58	38.75	40.08	44.12	38.47	40.95	45.96	39.04	41.98
Gat-a	1821	39.54	37.95	43.22	42.45	48.49	51.07	42.01	44.81	49.42	45.80	46.40
Gfat2	1998	39.74	40.09	44.34	44.24	48.95	51.90	43.69	48.40	56.26	46.65	47.75
