Gene	AlnLength	Codon	Function	dN.dS	GCProp	All_Advanced_Eusocial	All_Social	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
5-HT1	1152	384	NA	0.08365	0.548063636363636	1	1	1	1	1	1	1	1	2.41892458793626e-32	1	1
5-ht7	666	222	NA	0.12095	0.518972727272727	1	1	1	1	1	1	1	1	4.2847159261373e-05	1.20778760768869e-08	1
A4	510	170	NA	0.19851	0.437781818181818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acph-1	1185	395	NA	0.2093	0.410281818181818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACSF2	888	296	NA	0.15856	0.497854545454545	1	1	1	1	1	1	1	1	1	1	1
Adar	1671	557	NA	0.03833	0.447636363636364	1	1	1	1	1	1	1	1	1	1	1
Adk1	567	189	NA	0.0963	0.412690909090909	1	1	1	1	1	1	1	1	1	1	1
Akhr	1020	340	NA	0.08289	0.381736363636364	1	1	1	1	1	1	1	1	1	1	1
Amel_8916	642	214	NA	0.06404	0.433309090909091	1	1	1	0.103259931605729	1	0.00589473099065288	1	1	5.79272918072392e-07	1	1
Ant	837	279	NA	0.07417	0.472790909090909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antp	648	216	NA	0.07545	0.594536363636364	1	1	1	1	1	1	1	1.14611684286453e-20	3.22986525973831e-21	1	1
apd-3	744	248	NA	0.3038	0.628909090909091	8.98369326913459e-05	1.52695265050534e-05	1	1	0.453221810461334	0.297944384409564	3.99972212543677e-05	1.76465001282925e-08	0.0221907985867813	1	1
Argk	999	333	NA	0.0363	0.507145454545455	1	1	1	1	1	1	1	1	1	1	1
arm	2307	769	NA	0.01817	0.481172727272727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arp1	1128	376	Signalling	0.00183	0.490163636363636	1	1	1	1	1	1	1	1	1	1	1
ATP5G2	396	132	NA	0.07096	0.487372727272727	1	1	1	1	1	1	1	1	1	1	1
B-gluc1	1149	383	Receptor	0.23234	0.4282	1	1	1	1	1	1	1	1	1	1	1
BBIP1	1890	630	NA	0.04206	0.348954545454545	1	1	1	1	1	1	1	1	0.0139381044045364	1	1
Blop	1131	377	NA	0.11245	0.487027272727273	1	1	1	1	1	1	1	1	1.44745441685154e-07	1	1
Br-c	807	269	NA	0.13817	0.590409090909091	1	1	1	1	1	1	1	1	1	1	1
Brd7	2160	720	NA	0.03524	0.422127272727273	1	1	1	1	1	0.00212308279493278	1	1	1	1	1
c-mos	819	273	NA	0.12567	0.352863636363636	1	1	1	1	1	1	1	1	1	1	1
Cac	4506	1502	NA	0.07136	0.521172727272727	4.60212197657933e-09	1	1	0.11966405163835	1	1	1	1	8.97320324907887e-13	1	1
Calpb	1368	456	NA	0.05144	0.437736363636364	1	1	1	1	1	1	1	1	0.00134190163250854	1	1
Cat	564	188	NA	0.12938	0.470336363636364	1	1	1	1	1	1	1	1	1	1	1
Cbs	1368	456	NA	0.11192	0.346172727272727	1	1	1	1	1	1	1	1	1	1	1
Cdc37	951	317	NA	0.07859	0.349218181818182	1	1	1	1	1	1	1	1	1	1	1
Cdk5	894	298	NA	0.0407	0.4517	1	1	1	1	1	1	1	0.091704214411514	1.34274235457632e-17	1	1
Chmp1	459	153	NA	0.02216	0.385818181818182	1	1	1	1	1	1	1	1	1	1	1
Coq7	585	195	NA	0.06316	0.398763636363636	1	1	1	1	1	1	1	1	1	1	1
Cox6c	186	62	NA	0.28927	0.343109090909091	1	1	1	1	1	1	1	1	1	1	1
Cpap3-c	786	262	NA	0.03993	0.550545454545455	1	1	1	1	1	1	1	1	0.0404434057123997	1	1
CPF1	321	107	NA	0.11786	0.534136363636364	1	1	1	1	1	1	1	1	1	1	1
CPR13	303	101	NA	0.16086	0.472518181818182	1	1	1	1	1	1	1	1	1	1	1
CPR14	426	142	NA	0.07429	0.551863636363636	1	1	1	1	1	1	1	1	1	1	1
CPR16	885	295	NA	0.11844	0.516381818181818	1	1	1	1	1	1	1	1	1	1	1
CPR17	468	156	NA	0.08294	0.550518181818182	1	1	1	1	1	1	1	1	1	1	1
CPR19	606	202	NA	0.10317	0.521009090909091	1	1	1	1	1	1	1	1	0.00613194252397275	1	1
CPR21	390	130	NA	0.14535	0.556418181818182	1	1	1	1	1	1	0.989220015157896	1	1	1	1
CPR22	318	106	NA	0.02762	0.562036363636364	1	1	1	1	1	1	1	1	1	1	1
CPR3	600	200	NA	0.10236	0.571218181818182	1	1	1	1	1	1	1	1	1	1	1
CPR5	489	163	NA	0.1348	0.525745454545455	1	1	1	1	1	1	1	1	1	1	1
Cry2	1569	523	NA	0.0217	0.489254545454545	1	1	1	1	1	1	1	1	1	1	1
CSP2	342	114	NA	0.11073	0.534554545454545	1	1	1	1	1	1	1	1	1	1	1
CSP3	387	129	NA	0.20933	0.452663636363636	1	1	1	1	1	1	1	1	1	1	1
CSP4	378	126	NA	0.14798	0.4656	1	1	1	1	NA	1	1	1	0.200672233763889	1	1
CSP6	357	119	NA	0.08645	0.364136363636364	1	1	1	1	1	1	1	1	1	1	1
CUTA	342	114	NA	0.05546	0.348218181818182	1	1	1	1	1	1	1	1	1	1	1
Cyp4g11	1623	541	NA	0.07521	0.473090909090909	1	1	1	1	1	1	1	1	1	1	1
CytC	312	104	Signalling	0.05385	0.402972727272727	1	1	1	1	1	1	0.00266498984537246	1	1	1	1
Dat	951	317	NA	0.05007	0.461136363636364	1	1	1	1	1	1	1	1	1	1	1
Dcr-1	3675	1225	Receptor	0.05172	0.347045454545455	1	1	1	1	1	2.65965834380691e-09	1	1	2.71056922147057e-21	1	1
Dl	1767	589	Signalling	0.12703	0.387036363636364	1	1	1.2863820043949e-39	0.782157499974731	1	1.11630827792488e-17	1	1	1	1.85898486115304e-14	1
Dnmt3	1563	521	NA	0.13534	0.473972727272727	1	1	1	0.482527988783531	1	1	1	1	1	1	1
Dop1	663	221	NA	0.08089	0.498018181818182	1	1	1	0.00295154709336933	1	1	1	1	3.05242579191529e-10	1	1
DopR2	1296	432	NA	0.04429	0.5545	1	1	1	1	1	1	1	1	0.000130492874911648	1	1
E74	1248	416	NA	0.04717	0.570381818181818	1	1	1	1	1	1	1	1	7.49295978257975e-06	1	1
E75	1374	458	NA	0.01393	0.5857	1	1	1	1	1	1	1	1	1	1	1
Eaat-2	1602	534	NA	0.14571	0.464590909090909	1	1	1	1	1	1	1	1	1	1	1
ecd	1740	580	NA	0.08843	0.327845454545454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecr	1290	430	NA	0.01934	0.5577	1	1	1	1	1	1	1	1	1	1	1
Ef-1a-f1	1383	461	NA	0.01928	0.549263636363636	1	1	1	1	1	1	0.00415080473346348	1	0.19509895120694	1	1
EF1a-F2	1383	461	NA	0.02662	0.441909090909091	1	1	1	1	1	1	1	1	1	1	1
egh	1356	452	NA	0.06399	0.334536363636364	1	1	1	1	1	1	1	1	1	1	1
Eif3h	1008	336	NA	0.00982	0.375536363636364	1	1	1	1	1	1	1	1	1	1	1
Eif4g	3396	1132	NA	0.13809	0.376036363636364	1	1	1	1	1	0.133884996823032	1	1	1.58496935298411e-10	1	1
Emc	363	121	NA	0.03062	0.565490909090909	1	1	1	1	1	1	1	1	1	1	1
Err	1200	400	NA	0.02865	0.465918181818182	1	1	1	1	1	1	1	1	1	1	1
Ets97D-like	1299	433	NA	0.03257	0.4178	1	1	1	1	1	1	1	1	0.0315073275494984	1	1
eve	675	225	NA	0.08058	0.579936363636364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAR1	1320	440	NA	0.12789	0.459363636363636	1	1	1	1	1	1	1	1	1	1	1
Fem	717	239	NA	0.17983	0.383536363636364	1	1	1	1	1	1	1	1	1	1	1
For	1782	594	NA	0.05492	0.480163636363636	1.07295510552653e-13	1	1	0.363535208083813	1	1	1	1	1	1	1
Foxp	1323	441	NA	0.07309	0.538245454545455	1	1	1	1	1	1	1	1	7.90189570057241e-10	1	1
Fstl5	2403	801	NA	0.0595	0.471154545454545	1	1	1	1	1	1	1	1	1	4.16700824790574e-09	1
Gat-1B	1734	578	NA	0.07112	0.399754545454545	1	1	1	1	1	1	1	1	2.62534864525773e-20	1	1
Gat-a	1821	607	NA	0.03356	0.446509090909091	1	1	1	1	1	1	1	1	1	1	1
Gfat2	1998	666	NA	0.03908	0.465463636363636	1	1	1	1	1	1	3.62537672851282e-11	1	1	1	1
GlnS	1104	368	NA	0.04538	0.506490909090909	1	1	1	1	1	1	1	1	1	1	1
Glob1	456	152	NA	0.20904	0.466309090909091	1	1	1	1	1	1	1	1	2.65363309938342e-05	1	1
Grd	1452	484	NA	0.07877	0.4866	1	1	1	1	1	1	0.00152355741791914	1	1	1	1
Gstcd	1440	480	NA	0.10929	0.397163636363636	1	1	1	1	1	1	1	1	1	1	1
GstD1	603	201	NA	0.19791	0.446863636363636	1	1	1	1	1	1	1	1	1	1	1
GstS4	582	194	NA	0.13918	0.451109090909091	1	1	1	1	1	1	1	1	1	1	1
Gtpx1	504	168	NA	0.07412	0.399009090909091	1	1	1	1	1	1	1	1	1	1	1
Gycbeta1	1473	491	NA	0.02238	0.513127272727273	1	1	1	1	1	1	1	1	1	0.102225537290813	1
Hex70a	1821	607	NA	0.14754	0.404809090909091	1	1	1	1	1	1	1	1	1	1	1
Ho	723	241	NA	0.13995	0.322518181818182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hsc70-3	1947	649	NA	0.02172	0.401909090909091	1	1	1	1	1	1	1	1	1	1	1
Hsc70-4	1935	645	NA	0.02944	0.4477	1	1	1	1	1	1	1	1	1	1	1
Hsc70-5	1023	341	NA	0.02172	0.392609090909091	1	1	1	1	1	1	1	1	1	1	1
Hsp90	2088	696	NA	0.03069	0.381236363636364	1	1	1	1	1	1	1	1	1	1	1
IF-2mt	1926	642	NA	0.21497	0.339890909090909	1	1	1	1	1	1	1	1	1	1	1
Imd	714	238	Signalling	0.16822	0.345163636363636	1	1	1	1	1	1	1	1	1	1	1
Ing3	1182	394	NA	0.01578	0.401163636363636	1	1	1	1	1	1	1	1	1	1	1
InR-2	2244	748	NA	0.06177	0.5463	1	1	1	1	1	1	1	1	1	1	1
Jtb	1440	480	NA	0.10929	0.397163636363636	1	1	1	1	1	1	1	1	1	1	1
KAT2A	2325	775	NA	0.02277	0.358218181818182	1	1	1	1	1	1	1	1	1.93542723655609e-12	1	1
Kr	1092	364	NA	0.07393	0.5671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kr-h1	1371	457	NA	0.06362	0.456154545454545	1	1	1	1	1	1	1	1	1	1	1
LCCH3	1371	457	NA	0.04899	0.450563636363636	1	1	1	0.121159369974535	1	1	1	1	1.1751790963237e-24	1	1
Lin-52	330	110	NA	0.02638	0.388154545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100217360	714	238	NA	0.09021	0.459018181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100379261	1290	430	NA	0.0905	0.455527272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576097	1812	604	NA	0.18319	0.515963636363636	1	1	1	1	1	1	1	1	1	1	1
LOC100576099	354	118	NA	0.09751	0.3454	1	1	1	1	1	1	1	1	1	1	1
LOC100576100	807	269	NA	0.14501	0.306636363636364	1	1	1	1	1	1	1	1	1	1	1
LOC100576104	840	280	NA	0.0339	0.349772727272727	1	1	1	1	1	1	1	1	1	1	1
LOC100576110	1638	546	NA	0.07242	0.499281818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576116	2154	718	NA	0.12671	0.452345454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576128	867	289	NA	0.17903	0.497009090909091	1	1	1	1	1	1	1	1	1	1	1
LOC100576130	336	112	NA	0.12281	0.478081818181818	1	1	1	1	1	1	1	1	0.132062111890813	1	1
LOC100576131	1761	587	NA	0.06587	0.359354545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576132	513	171	NA	0.16438	0.441427272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576134	477	159	NA	0.05196	0.585481818181818	1	1	1	1	1	1	0.269656630963159	1	1	1	1
LOC100576147	1059	353	NA	0.02976	0.576036363636364	1	1	1	1	1	1	1	1	1	1	1
LOC100576152	609	203	NA	0.16351	0.517245454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576162	1839	613	NA	0.18067	0.360918181818182	1	1	1	1	1	1	1	1	0.041386912248123	1	0.0341155408571186
LOC100576163	276	92	NA	0.22532	0.401845454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576165	483	161	NA	0.22257	0.358745454545455	1	1	1	1	1	1	1	1	1	1	7.58202894318654e-06
LOC100576167	867	289	NA	0.3939	0.425090909090909	1	1	1	1	1	1	1	1	1	1	1
LOC100576169	4161	1387	NA	0.12151	0.382318181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576174	375	125	NA	0.0927	0.338172727272727	1	1	1	1	1	1	1	1	1	1	1
LOC100576176	1521	507	NA	0.07183	0.351254545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576182	570	190	NA	0.15537	0.577209090909091	1	1	1	1	1	1	1	1	1	1	1
LOC100576186	1329	443	NA	0.10151	0.391954545454545	1	1	1	0.665325693210849	1	1	1	1	1	1	1
LOC100576194	825	275	NA	0.06683	0.465454545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576195	198	66	NA	0.20464	0.333772727272727	1	1	1	1	1	1	1	1	1	1	1
LOC100576198	1920	640	NA	0.2192	0.386745454545455	1	1	1	1	1	1	0.429649725971751	0.00532655393577661	1	1	0.162565287816138
LOC100576215	378	126	NA	0.01809	0.485809090909091	1	1	1	1	1	1	1	1	1	1	1
LOC100576220	486	162	NA	0.21848	0.417127272727273	1	1	1	1	1	1	0.0623281363982379	1	1	1	1
LOC100576221	1287	429	NA	0.12619	0.348545454545454	1	1	1	1	1	1	1	1	1	1	1
LOC100576222	732	244	NA	0.05806	0.508827272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576226	549	183	NA	0.12552	0.323081818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576227	2436	812	NA	0.1841	0.303490909090909	1	1	1	1	1	1	1	1	1	1	1
LOC100576247	1734	578	NA	0.03663	0.599509090909091	1	1	1	1	1	1	1	1	1	1	1
LOC100576249	1470	490	NA	0.11437	0.512	1	1	1	1	1	1	1	1	1	1	1
LOC100576261	1275	425	NA	0.06875	0.304381818181818	1	1	1	1	1	1	1	1	1	1	0.704134881746895
LOC100576266	1875	625	NA	0.04129	0.424245454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576270	369	123	NA	0.12165	0.345645454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576272	888	296	NA	0.07471	0.324327272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576273	1941	647	NA	0.11995	0.344145454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576274	927	309	NA	0.10825	0.3097	1	1	1	1	1	1	1	1	1	1	1
LOC100576284	945	315	NA	0.26749	0.482627272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576293	1368	456	NA	0.06078	0.479672727272727	1	1	1	1	1	1	1	1	1	1	1
LOC100576298	939	313	NA	0.15754	0.301781818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576300	1533	511	NA	0.09753	0.462127272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576304	1320	440	NA	0.1072	0.485954545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576307	900	300	NA	0.07232	0.521227272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576320	561	187	NA	0.13783	0.4445	1	1	1	1	1	1	1	1	0.229055888447323	1	1
LOC100576321	5004	1668	NA	0.13011	0.400554545454545	1	1	1	1	1	1	0.0471386623388668	1	4.06801172197183e-15	1	1
LOC100576333	1041	347	NA	0.06871	0.439263636363636	1	1	1	1	1	1	1	1	1	0.198316846020618	1
LOC100576336	543	181	NA	0.08849	0.432118181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576337	531	177	NA	0.18075	0.294481818181818	1	1	1	1	1	1	1	1	0.0660602255411152	1	1
LOC100576346	3270	1090	NA	0.3136	0.312490909090909	1	1	1	1	1	2.05243163631614e-05	5.4105000280908e-06	0.332725501630387	9.6673521145924e-06	0.0035704132360375	0.105245346000467
LOC100576348	696	232	NA	0.19877	0.3174	1	1	1	1	1	1	1	1	1	1	1
LOC100576349	672	224	NA	0.05738	0.390145454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576355	588	196	NA	0.09481	0.553318181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576359	1785	595	NA	0.00877	0.357936363636364	1	1	1	1	1	1	1	1	0.000114107727306849	1	1
LOC100576361	525	175	NA	0.17541	0.462681818181818	1	1	1	1	1	1	1	1	0.0367089701971186	1	1
LOC100576366	1230	410	NA	0.13343	0.310045454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576369	666	222	NA	0.02549	0.576172727272727	1	1	1	0.00481590704558611	1	1	1	1	1	0.331143860628901	1
LOC100576374	3294	1098	NA	0.12583	0.295436363636364	1	1	1	1	1	0.00592701161162895	1	1	0.000483481770903162	1	1
LOC100576381	477	159	NA	0.15901	0.390872727272727	1	1	1	1	1	1	1	1	1	1	1
