#CREATED Q4 2019, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#TABLE CONSISTING OF GENES WITH CORRESPONDING TRANSCRIPT AND PROTEIN IDS (NCBI) FROM APIS MELLIFERA (Amel_HAv3.1, GCF_003254395.2)
GeneID	TranscriptID	ProteinID
18-w	NM_001013361.1	NP_001013379.1
5-HT1	NM_001171108.1	NP_001164579.1
5-HT1	XM_006560049.3	XP_006560112.1
5-HT1	XM_006560051.3	XP_006560114.1
5-HT1	XM_006560052.3	XP_006560115.1
5-HT1	XM_006560054.3	XP_006560117.1
5-HT1	XM_016915677.2	XP_016771166.1
5-HT2alpha	NM_001202460.1	NP_001189389.1
5-HT2alpha	XM_006561559.2	XP_006561622.1
5-HT2alpha	XM_006561560.3	XP_006561623.1
5-HT2alpha	XM_006561561.2	XP_006561624.1
5-HT2alpha	XM_006561562.2	XP_006561625.1
5-HT2alpha	XM_026442611.1	XP_026298396.1
5-HT2beta	NM_001204249.1	NP_001191178.1
5-HT2beta	XM_026443084.1	XP_026298869.1
5-HT2beta	XM_026443085.1	XP_026298870.1
5-ht7	NM_001077821.1	NP_001071289.1
5-ht7	XM_026441115.1	XP_026296900.1
5-ht7	XM_026441116.1	XP_026296901.1
5-ht7	XM_026441117.1	XP_026296902.1
5-ht7	XM_026441118.1	XP_026296903.1
5-ht7	XM_026441119.1	XP_026296904.1
A4	NM_001114198.1	NP_001107670.1
Abscam	NM_001040235.2	NP_001035325.2
Abscam	XM_006558108.3	XP_006558171.1
Abscam	XM_006558109.3	XP_006558172.1
Abscam	XM_006558110.3	XP_006558173.1
Abscam	XM_006558111.3	XP_006558174.1
Abscam	XM_006558113.3	XP_006558176.1
Abscam	XM_006558114.3	XP_006558177.1
Abscam	XM_006558115.3	XP_006558178.1
Abscam	XM_006558116.3	XP_006558179.1
Abscam	XM_016912485.2	XP_016767974.1
Abscam	XM_026441099.1	XP_026296884.1
Abscam	XM_026441100.1	XP_026296885.1
Abscam	XM_026441101.1	XP_026296886.1
Ac3	NM_001077808.1	NP_001071276.1
Ac3	XM_006566247.3	XP_006566310.1
Ac3	XM_016914661.2	XP_016770150.1
AChE-2	NM_001040230.1	NP_001035320.1
Acph-1	NM_001013359.2	NP_001013377.2
Acph-1	XM_006569889.2	XP_006569952.1
Acph-1	XM_016912046.2	XP_016767535.1
Acph-1	XM_016912047.2	XP_016767536.1
Acph-1	XM_016912048.2	XP_016767537.1
Acph-1	XM_016912049.2	XP_016767538.1
ACSF2	NM_001206973.1	NP_001193902.1
ACSF2	XM_006567106.3	XP_006567169.2
Adar	NM_001098214.1	NP_001091684.1
Adar	XM_006563327.3	XP_006563390.1
Adar	XM_026445265.1	XP_026301050.1
Adar	XR_001705633.2	
Adar	XR_001705634.2	
Adar	XR_001705635.2	
Adar	XR_001705636.2	
Adar	XR_001705637.2	
Adar	XR_003306104.1	
Adar	XR_409682.3	
Adk1	NM_001170972.1	NP_001164443.1
AGLU2	NM_001040236.1	NP_001035326.1
Akhr	NM_001040264.1	NP_001035354.1
Amel_8916	NM_001077822.1	NP_001071290.1
Amel_8916	XM_026442635.1	XP_026298420.1
Amel_8916	XM_026442636.1	XP_026298421.1
Amih	NM_001011568.1	NP_001011568.1
Amih	XM_016913286.2	XP_016768775.2
Amih	XM_016913293.2	XP_016768782.2
Amih	XM_016913294.2	XP_016768783.1
Amih	XM_016913295.2	XP_016768784.1
Amih	XM_026442011.1	XP_026297796.1
Amih	XM_026442012.1	XP_026297797.1
Amih	XM_026442013.1	XP_026297798.1
Amih	XM_026442014.1	XP_026297799.1
Amih	XM_026442015.1	XP_026297800.1
Amih	XM_026442016.1	XP_026297801.1
Amih	XM_026442017.1	XP_026297802.1
Amih	XM_026442018.1	XP_026297803.1
Amih	XM_026442019.1	XP_026297804.1
Ancr-1	NR_003566.1	
Ant	NM_001010975.1	NP_001010975.1
Antp	NM_001011571.1	NP_001011571.1
Antp	XM_016916893.2	XP_016772382.1
Antp	XM_016916895.2	XP_016772384.1
Antp	XM_016916896.2	XP_016772385.1
Antp	XM_016916898.2	XP_016772387.1
Antp	XM_016916899.2	XP_016772388.1
Antp	XM_016916900.2	XP_016772389.1
Antp	XM_016916901.2	XP_016772390.1
Antp	XM_026445698.1	XP_026301483.1
Apamin	NM_001011612.1	NP_001011612.1
Apd-1	NM_001085345.1	NP_001078814.1
Apd-2	NM_001085346.1	NP_001078815.1
Apd-2	XM_006558657.3	XP_006558720.1
apd-3	NM_001174145.1	NP_001167616.1
Apd-3	NM_001085344.1	NP_001078813.1
Apid1	NM_001011613.1	NP_001011613.1
Apime-ASTA	NM_001167709.1	NP_001161181.1
Argk	NM_001011603.1	NP_001011603.1
Argk	XM_006559180.3	XP_006559243.1
Argk	XM_006559182.3	XP_006559245.1
Argk	XM_006559183.3	XP_006559246.1
arm	NM_001185105.1	NP_001172034.1
arm	XM_006557800.3	XP_006557863.1
arm	XM_006557801.1	XP_006557864.1
arm	XM_016915645.1	XP_016771134.1
arm	XR_001705302.2	
arm	XR_001705303.2	
Arp1	NM_001185145.1	NP_001172074.1
Arp1	NM_001185146.1	NP_001172075.1
ATP5G2	NM_001242656.1	NP_001229585.1
ATP5G2	NM_001242657.1	NP_001229586.1
aub	NM_001165906.1	NP_001159378.1
aub	XM_026444876.1	XP_026300661.1
aub	XM_026444877.1	XP_026300662.1
aub	XM_026444878.1	XP_026300663.1
aub	XM_026444879.1	XP_026300664.1
bantam	NR_031508.1	
BBIP1	NM_001185086.1	NP_001172015.1
