Gene	lnL_Null	lnL_Alt	LRT
LOC102654146	-4546.481947	-4546.481947	0
LOC411083	-11682.276362	-11682.276362	0
LOC411457	-5566.113361	-5566.113361	0
LOC411796	-5312.257648	-5312.257648	0
LOC551837	-12233.054334	-12233.054334	0
LOC551931	-3235.932102	-3235.932102	0
LOC726476	-4806.503711	-4806.503711	0
Arp1	-3664.883963	-3664.883963	0
B-gluc1	-8567.575247	-8567.575247	0
Cox6c	-1486.815979	-1486.815979	0
CPR14	-1853.747007	-1853.747007	0
CPR19	-3269.799929	-3269.799921	1.6e-05
CSP6	-1979.148099	-1979.148099	0
CytC	-1423.408358	-1423.408358	0
Dcr-1	-17109.622477	-17109.622476	2e-06
Dl	-10280.543134	-10186.875768	187.335
Dnmt3	-9957.608977	-9957.149125	0.919704
Ecr	-4681.132482	-4681.132482	0
egh	-5749.304290	-5749.060895	0.48679
FAR1	-7145.907347	-7143.744957	4.32478
Gat-1B	-7488.506323	-7488.506323	0
Gat-a	-7588.562010	-7588.488741	0.146538
Gfat2	-9214.333030	-9214.333030	0
GlnS	-5418.225079	-5418.225079	0
GstD1	-4387.986591	-4387.964163	0.044856
GstS4	-3257.954514	-3257.954489	5e-05
Imd	-4521.967297	-4521.967297	0
Jtb	-8378.597844	-8378.597844	0
KAT2A	-9558.712554	-9558.712554	0
LOC100379261	-6102.173007	-6102.173007	0
LOC100576099	-2090.873119	-2090.873119	0
LOC100576186	-7579.085033	-7579.085033	0
LOC100576195	-1540.881953	-1540.881953	0
LOC100576337	-3442.253695	-3440.870007	2.76738
LOC100576383	-6944.289830	-6944.289830	0
LOC100576411	-9064.959716	-9064.959716	0
LOC100576527	-8827.151478	-8827.151478	0
LOC100576646	-3356.359490	-3356.359490	0
LOC100576649	-8763.014535	-8763.014535	0
LOC100576660	-9028.014312	-9027.652484	0.723656
LOC100576742	-15609.191306	-15609.191306	0
LOC100576795	-3884.603647	-3884.603647	0
LOC100576801	-3752.512385	-3752.512385	0
LOC100576818	-4880.741699	-4880.741699	0
LOC100576819	-7687.255626	-7687.255626	0
LOC100576826	-3582.332840	-3582.061125	0.54343
LOC100576862	-6282.085338	-6282.085338	0
LOC100577002	-8142.002161	-8141.940752	0.122818
LOC100577019	-487.818240	-487.818240	0
LOC100577050	-8145.756327	-8145.756327	0
LOC100577053	-9031.960296	-9031.960296	0
LOC100577136	-5988.333968	-5988.333968	0
LOC100577140	-8781.146062	-8781.140866	0.010392
LOC100577174	-18804.835690	-18804.835690	0
LOC100577196	-9774.375122	-9774.375122	0
LOC100577401	-16684.969473	-16684.969473	0
LOC100577423	-5051.325474	-5051.320652	0.009644
LOC100577481	-7677.860960	-7677.860960	0
LOC100577493	-9550.280665	-9550.280665	0
LOC100577519			0
LOC100577687	-7341.618354	-7341.618354	0
LOC100577690	-2326.626272	-2326.626272	0
LOC100577763	-37578.831329	-37578.831329	0
LOC100577764	-1764.959430	-1764.959430	0
LOC100577841	-4295.855112	-4295.855112	0
LOC100577870	-1454.969544	-1453.470950	2.99719
LOC100577972	-67374.509015	-67374.509015	0
LOC100578030	-5501.330355	-5501.015428	0.629854
LOC100578035	-3695.789084	-3695.789084	0
LOC100578071	-27453.685154	-27452.923739	1.52283
LOC100578156	-4114.287888	-4114.287888	0
LOC100578168	-2216.565150	-2216.565150	0
LOC100578209	-4742.190400	-4743.268746	-2.15669
