Gene	lnL_Null	lnL_Alt	LRT
Arp1	-3666.895151	-3666.895150	2e-06
B-gluc1	-8574.636901	-8574.636901	0
Cox6c	-1488.901464	-1488.901464	0
CPR14	-1855.609785	-1855.609785	0
CPR19	-3269.799921	-3269.799921	0
CSP6	-1979.453282	-1979.439381	0.027802
CytC	-1423.408358	-1423.408358	0
Dcr-1	-17140.612445	-17140.612445	0
Dl	-10531.140717	-10531.140717	0
Dnmt3	-9956.379576	-9956.379576	0
Ecr	-4687.473094	-4687.473094	0
egh	-5751.012843	-5751.012843	0
FAR1	-7148.073933	-7148.073933	0
Gat-1B	-7489.329107	-7489.329107	0
Gat-a	-7591.100997	-7591.100997	0
Gfat2	-9215.081440	-9215.081440	0
GlnS	-5422.376661	-5422.376661	0
GstD1	-4396.694065	-4396.694065	0
GstS4	-3263.850785	-3263.850785	0
Imd	-4527.773670	-4527.773670	0
Jtb	-8379.713274	-8379.713274	0
KAT2A	-9558.712554	-9558.712554	0
LOC100379261	-6102.187588	-6102.187588	0
LOC100576099	-2096.776029	-2096.776029	0
LOC100576186	-7579.085033	-7579.085033	0
LOC100576195	-1541.257745	-1533.701825	15.1118
LOC100576337	-3442.616514	-3442.616514	0
LOC100576383	-6944.530825	-6944.530825	0
LOC100576411	-9064.980305	-9064.980305	0
LOC100576527	-8834.824689	-8832.459691	4.73
LOC100576646	-3361.554338	-3361.554338	0
LOC100576649	-8765.084493	-8764.850061	0.468864
LOC100576660	-9031.583100	-9031.583100	0
LOC100576742	-15610.428593	-15610.428593	0
LOC100576795	-3885.548313	-3885.502816	0.090994
LOC100576801	-3753.661082	-3753.661082	0
LOC100576818	-4880.620258	-4880.620258	0
LOC100576819	-7688.369443	-7688.369443	0
LOC100576826	-3583.492090	-3583.492090	0
LOC100576862	-6294.254304	-6294.254304	0
LOC100577002	-8142.900256	-8142.900256	0
LOC100577019			0
LOC100577050	-8149.907725	-8149.907725	0
LOC100577053	-9032.025926	-9032.025926	0
LOC100577136	-5989.882363	-5989.882363	0
LOC100577140	-8782.047085	-8782.047085	0
LOC100577174	-18805.352855	-18805.352855	0
LOC100577196	-9775.749820	-9775.749820	0
LOC100577401	-16692.906840	-16692.906840	0
LOC100577423	-5058.934534	-5058.934534	0
LOC100577481	-7678.504551	-7678.504551	0
LOC100577493	-9552.689177	-9552.689177	0
LOC100577519			0
LOC100577687	-7342.107846	-7342.107846	0
LOC100577690	-2328.074265	-2328.074265	0
LOC100577763	-37597.451081	-37597.451081	0
LOC100577764	-1764.959430	-1764.959431	-2e-06
LOC100577841	-4300.372650	-4300.372650	0
LOC100577870	-1455.706144	-1455.706144	0
LOC100577972	-67394.396140	-67394.396139	1.99999e-06
LOC100578030	-5503.558002	-5503.558002	0
LOC100578035	-3697.346076	-3697.346076	0
LOC100578071	-27467.118086	-27467.118086	0
LOC100578156	-4120.586474	-4120.586474	0
LOC100578168	-2228.421622	-2228.421622	0
LOC100578209	-4743.144605	-4743.144605	0
LOC100578215	-6356.152001	-6356.152001	0
LOC100578235	-1919.028768	-1919.028768	0
LOC100578255	-23337.019483	-23337.019483	0
LOC100578277	-1115.865452	-1115.865452	0
LOC100578329	-9299.773684	-9299.773684	0
LOC100578356	-19595.270899	-19595.270899	0
LOC100578380	-2966.578298	-2966.578250	9.6e-05
LOC100578433	-22943.871008	-22943.871008	0
LOC100578450	-11515.890750	-11515.890749	2e-06
LOC100578537	-11222.043841	-11222.043841	0
LOC100578560	-1648.056345	-1647.851621	0.409448
LOC100578586	-10979.773242	-10978.193702	3.15908
LOC100578697	-2796.427858	-2795.673566	1.50858
LOC100578725	-1133.919051	-1133.919051	0
LOC100578875	-4993.657169	-4993.657169	0
LOC100578893	-11053.266450	-11053.266450	0
LOC102653793	-5578.406145	-5578.406145	0
LOC102653879	-4449.539106	-4449.539106	0
LOC102653930	-1477.985645	-1477.985645	0
LOC102653951			0
LOC102654014	-3590.849860	-3590.849860	0
LOC102654165	-4722.677037	-4722.677037	0
LOC102654312	-5273.731885	-5272.923533	1.6167
LOC102654349	-959.008669	-959.008669	0
LOC102654365	-8188.846620	-8188.846620	0
LOC102654610	-3855.882052	-3855.882052	0
LOC102654621	-6702.224330	-6702.224326	8e-06
LOC102654987	-2046.651601	-2046.651601	0
LOC102655219	-4878.798431	-4878.798431	0
LOC102655244	-9660.934883	-9660.677612	0.514542
LOC102655259	-9880.112744	-9880.112744	0
LOC102655470			0
LOC102655679	-3353.133872	-3353.133872	0
LOC102655688	-7853.554312	-7853.554312	0
LOC102655836	-6361.780634	-6361.780634	0
LOC102655877	-4944.481257	-4944.481257	0
LOC102655904			0
LOC102655948	-4157.248048	-4157.248048	0
LOC102656183	-1840.656511	-1836.534547	8.24393
LOC102656263	-2862.010085	-2862.010085	0
LOC102656287	-1672.350504	-1672.350469	7e-05
LOC107963993	-5522.700037	-5522.700034	6e-06
LOC107964089	-2767.731901	-2767.731901	0
LOC107964507	-1443.433677	-1443.433677	0
LOC107965021	-1491.637550	-1491.637550	0
LOC107965199	-9226.334030	-9226.334030	0
LOC107965225	-2528.529653	-2528.529653	0
LOC107965250	-5535.562172	-5535.562172	0
LOC107965266	-6707.406378	-6707.406378	0
LOC107965508	-3967.835778	-3967.835778	0
LOC107965749	-5552.023339	-5552.023337	4e-06
LOC107965828	-3755.987479	-3755.987479	0
LOC113218526	-11246.567405	-11246.567405	0
LOC113218534	-4989.843772	-4989.843772	0
LOC113218670	-2779.490574	-2778.716696	1.54776
LOC406097	-8167.501596	-8167.501596	0
LOC406114	-9792.152298	-9790.926635	2.45133
LOC408271	-6691.074088	-6691.074071	3.4e-05
LOC408286	-12232.238344	-12232.238340	8e-06
LOC408303	-5194.067792	-5194.067792	0
LOC408312	-7852.844537	-7852.844537	0
LOC408355	-5887.085703	-5887.085703	0
LOC408358	-19065.335622	-19064.243069	2.18511
LOC408369	-3172.535445	-3172.535445	0
LOC408391	-4454.575432	-4454.575727	-0.00059
LOC408402	-7159.048748	-7159.048748	0
LOC408421	-9021.992413	-9014.866270	14.2523
LOC408426	-3245.637329	-3245.637329	0
LOC408434	-5856.884851	-5856.884851	0
LOC408438	-14424.938326	-14424.938326	0
LOC408458	-13000.836896	-13000.836895	2e-06
LOC408461	-3730.637958	-3730.594518	0.08688
LOC408474	-9904.118529	-9904.118529	0
LOC408501	-15066.180398	-15066.180398	0
LOC408511	-3733.282778	-3733.282778	0
LOC408520	-3360.124023	-3358.754530	2.73899
LOC408533	-16632.554110	-16632.554110	0
LOC408573	-2867.658109	-2867.658109	0
LOC408575	-4881.542644	-4881.542644	0
LOC408592	-6449.645667	-6449.645667	0
LOC408597	-4363.704712	-4363.704712	0
LOC408649	-7009.851912	-7009.851912	0
LOC408661	-9178.217429	-9178.217429	0
LOC408668	-11328.530079	-11328.530079	0
LOC408687	-3725.153003	-3725.153003	0
LOC408717	-3369.198180	-3369.198180	0
LOC408741	-4276.771064	-4276.771064	0
LOC408742	-8631.943344	-8631.943344	0
LOC408748	-2007.502577	-2007.317771	0.369612
LOC408766	-2711.239593	-2711.239593	0
LOC408774	-41884.236611	-41884.236610	2e-06
LOC408785	-3382.011639	-3382.011639	0
LOC408791	-15396.618502	-15396.618398	0.000208
LOC408793	-11757.993996	-11757.993996	0
LOC408804	-12019.666968	-12014.038613	11.2567
LOC408808	-14417.253485	-14416.459093	1.58878
LOC408815	-18478.003124	-18478.003124	0
LOC408819	-2244.097422	-2244.097422	0
LOC408827	-3216.265689	-3216.265688	2e-06
LOC408833	-3062.368225	-3062.368225	0
LOC408834	-4232.171697	-4232.171697	0
LOC408851	-1543.492701	-1543.492701	0
LOC408871	-5894.250722	-5891.736641	5.02816
LOC408892	-5274.232943	-5274.232943	0
LOC408906	-7500.557315	-7500.557315	0
LOC408924	-6091.417139	-6091.417139	0
LOC408925	-9687.336579	-9687.336567	2.4e-05
LOC408955	-6712.312028	-6712.312028	0
LOC408971	-2077.631730	-2077.631730	0
LOC408979	-5551.714622	-5551.714622	0
LOC408989	-9923.140842	-9923.140841	2e-06
LOC409004	-1719.289538	-1719.289538	0
LOC409023	-5134.326837	-5134.326043	0.001588
LOC409026	-3227.021027	-3227.021027	0
LOC409032	-11854.565392	-11854.565392	0
LOC409036	-1422.459911	-1422.459910	2e-06
LOC409041	-3908.980493	-3908.980493	0
LOC409055	-4804.729447	-4804.729447	0
LOC409068	-4634.574404	-4634.574404	0
LOC409098	-13359.480709	-13359.480709	0
LOC409103	-4365.739591	-4365.739591	0
LOC409125	-17263.863740	-17263.863740	0
LOC409157	-7989.873929	-7989.873929	0
LOC409165	-5614.681229	-5614.681229	0
LOC409179	-5796.816843	-5796.816843	0
LOC409180	-6528.065366	-6528.065366	0
LOC409189	-5527.150008	-5526.109092	2.08183
LOC409196	-7741.355932	-7741.355932	0
LOC409201	-1896.510199	-1896.510167	6.4e-05
LOC409203	-8524.988661	-8524.988661	0
LOC409226	-7893.508344	-7893.392858	0.230972
LOC409245	-4574.761553	-4574.761553	0
LOC409249	-13677.059956	-13677.059955	2e-06
LOC409260	-6636.917241	-6636.917241	0
LOC409263	-3953.062591	-3953.062591	0
LOC409265	-7543.134628	-7543.134628	0
LOC409270	-5555.566643	-5555.566643	0
LOC409271	-24425.369465	-24425.369424	8.2e-05
LOC409286	-3555.284784	-3555.284784	0
LOC409292	-4088.809379	-4088.809379	0
LOC409308	-763.917338	-763.917338	0
LOC409320	-3031.763668	-3031.763668	0
LOC409329	-3775.388341	-3775.388341	0
LOC409334	-9977.738090	-9975.239389	4.9974
LOC409336	-3568.257186	-3568.257186	0
LOC409341	-5693.814529	-5693.814529	0
LOC409361	-2637.618142	-2637.618142	0
LOC409365	-14233.188365	-14231.928283	2.52016
LOC409373	-3673.678207	-3673.678207	0
LOC409377	-7366.958655	-7366.958655	0
LOC409386	-1132.587832	-1132.587831	2e-06
LOC409388	-3110.252307	-3110.252307	0
LOC409393	-26690.669362	-26690.669362	0
LOC409410	-5483.691778	-5483.691778	0
LOC409411	-3634.635429	-3634.635429	0
LOC409425	-11361.307368	-11359.125461	4.36381
LOC409427	-4578.029083	-4578.029083	0
LOC409441	-4701.489766	-4701.489766	0
LOC409465			0
LOC409488	-3499.333016	-3498.594206	1.47762
LOC409491	-4485.038911	-4483.041962	3.9939
LOC409495	-4292.422138	-4292.252225	0.339826
LOC409499	-4250.460048	-4250.460048	0
LOC409511	-3877.758592	-3877.758592	0
LOC409520	-2977.509781	-2977.509781	0
LOC409523	-3504.000336	-3504.000336	0
LOC409529	-1982.098259	-1982.098259	0
LOC409538	-1997.107512	-1997.107512	0
LOC409559	-6154.598250	-6154.598250	0
LOC409586	-2958.899688	-2958.787214	0.224948
LOC409607	-3253.800576	-3253.800576	0
LOC409633	-3129.596082	-3129.596082	0
LOC409643	-4873.153216	-4873.153216	0
LOC409662	-3267.073635	-3267.073635	0
LOC409667	-1189.899764	-1189.899764	0
LOC409670	-8493.397814	-8493.326524	0.14258
LOC409673	-31279.358964	-31278.524430	1.66907
LOC409689	-6430.558972	-6430.558972	0
LOC409704	-6899.837860	-6899.837860	0
LOC409724	-7595.207648	-7595.207648	0
LOC409726	-7547.879020	-7547.879019	2e-06
LOC409736	-5981.152386	-5981.152386	0
LOC409740	-3626.298516	-3626.298516	0
LOC409749	-1615.791945	-1615.791943	4e-06
LOC409762	-2220.877690	-2220.877690	0
LOC409769	-5938.610038	-5938.610038	0
LOC409791	-3376.900492	-3376.900493	-2e-06
LOC409795	-13935.890979	-13935.890979	0
LOC409814	-9405.539667	-9405.539667	0
LOC409833	-5599.832329	-5599.832329	0
LOC409838	-8522.598530	-8522.598530	0
LOC409852	-6705.347997	-6705.347997	0
LOC409857	-1348.936328	-1348.936328	0
LOC409860	-7696.703422	-7696.703422	0
LOC409863	-2786.673612	-2786.663740	0.019744
LOC409900	-2511.296806	-2511.296806	0
LOC409905	-7205.084688	-7205.084688	0
LOC409909	-4062.161600	-4062.161600	0
LOC409910	-1749.489935	-1749.489924	2.2e-05
LOC409911	-6223.501677	-6223.501677	0
LOC409920	-1198.586629	-1198.586629	0
LOC409924	-5834.668173	-5834.668173	0
LOC409925	-1963.376955	-1961.403496	3.94692
LOC409928	-9812.572728	-9812.572728	0
LOC409930	-2419.594008	-2412.402215	14.3836
LOC409941	-10078.100072	-10078.100072	0
LOC409945	-6606.534158	-6605.466420	2.13548
LOC409976	-3430.727711	-3430.727711	0
LOC410039	-5382.771767	-5382.771767	0
LOC410055	-3524.498809	-3524.498809	0
LOC410059	-5606.508456	-5606.508456	0
LOC410087	-3984.625169	-3984.625169	0
LOC410091	-4573.569455	-4573.569455	0
LOC410097	-17935.666701	-17934.976931	1.37954
LOC410105	-6457.878340	-6457.878340	0
LOC410107	-8859.367251	-8859.367244	1.4e-05
LOC410118	-6279.730417	-6277.866401	3.72803
LOC410155	-4.813935	-4.813935	0
LOC410157	-1649.285728	-1649.285728	0
LOC410159	-16598.514152	-16598.504230	0.019844
LOC410172	-5754.977053	-5754.977053	0
LOC410183	-19191.068290	-19191.068290	0
LOC410241	-1791.679326	-1791.679326	0
LOC410257	-4613.267434	-4613.267434	0
LOC410270	-7515.480086	-7515.480085	2e-06
LOC410283	-3340.137510	-3340.137510	0
LOC410286	-10663.082527	-10663.082527	0
LOC410289	-10186.659981	-10186.659981	0
LOC410337	-11376.560566	-11376.560566	0
LOC410338	-4591.568242	-4591.568242	0
LOC410371	-12243.597164	-12235.318930	16.5565
LOC410376	-3836.988904	-3836.988904	0
LOC410379	-11933.124175	-11933.124175	0
LOC410383	-7112.355678	-7112.329436	0.052484
LOC410395	-1772.909029	-1772.908703	0.000652
LOC410414	-11960.746015	-11960.384481	0.723068
LOC410420	-3315.362165	-3315.362165	0
LOC410451	-8134.184825	-8134.184825	0
LOC410456	-4976.688570	-4976.688570	0
LOC410470	-5494.340191	-5494.340191	0
LOC410484	-10049.142083	-10049.142083	0
LOC410485	-11483.921292	-11483.921292	0
LOC410510	-11042.918651	-11042.918651	0
LOC410512	-4899.231679	-4899.231679	0
LOC410525	-1721.438280	-1721.438280	0
LOC410538	-10302.302340	-10302.302340	0
LOC410542	-6070.488223	-6070.488223	0
LOC410550	-8437.843520	-8437.843520	0
LOC410561	-2757.336190	-2754.807035	5.05831
LOC410571	-16256.097757	-16256.097757	0
LOC410575	-3907.717005	-3907.717005	0
LOC410577	-2902.548281	-2902.548281	0
LOC410583	-6369.114582	-6369.114582	0
LOC410585	-21869.614910	-21869.614910	0
LOC410618	-5971.239664	-5968.386893	5.70554
LOC410630	-14546.467631	-14546.467626	1e-05
LOC410636	-1938.819407	-1938.819407	0
LOC410663	-1725.769620	-1725.758286	0.022668
LOC410664	-9273.385344	-9271.883947	3.00279
LOC410719	-5100.393223	-5100.393223	0
LOC410732	-5476.792068	-5476.792068	0
LOC410811	-9072.774012	-9057.470425	30.6072
LOC410812	-2066.347228	-2066.347227	2e-06
LOC410821	-3499.101418	-3499.051471	0.099894
LOC410837	-2914.327596	-2914.327596	0
LOC410860	-3839.074204	-3839.074204	0
LOC410879	-6016.284542	-6016.284542	0
LOC410907	-5267.282178	-5266.035904	2.49255
LOC410911	-5911.134387	-5911.134387	0
LOC410938	-6620.374189	-6620.374185	8e-06
LOC410940	-19512.803335	-19511.864969	1.87673
LOC410943	-3823.312985	-3823.312985	0
LOC410952	-4534.482787	-4532.034970	4.89563
LOC410969	-2271.352376	-2271.352376	0
LOC410973	-1734.051655	-1734.051655	0
LOC410985	-3802.884876	-3802.884876	0
LOC411043	-7237.731493	-7237.731494	-2e-06
LOC411048	-2873.923192	-2873.923174	3.6e-05
LOC411054	-6097.485791	-6097.485791	0
LOC411070	-14449.467057	-14449.467057	0
LOC411088	-2119.727751	-2119.727751	0
LOC411100	-4163.051033	-4163.051033	0
LOC411115	-41791.820322	-41791.094156	1.45233
LOC411147	-9623.877938	-9623.877938	0
LOC411148	-6837.284856	-6837.284856	0
LOC411163	-6437.990650	-6437.219426	1.54245
LOC411164	-5705.477151	-5705.477151	0
LOC411167	-7825.330663	-7825.330663	0
LOC411188	-5934.408576	-5932.576294	3.66456
LOC411191	-2118.989134	-2118.989134	0
LOC411214	-4469.487254	-4469.487254	0
LOC411233	-10187.326431	-10187.326431	0
LOC411249	-13793.183698	-13789.435931	7.49553
LOC411260	-1234.409221	-1234.409221	0
LOC411261	-10247.616887	-10247.616887	0
LOC411270	-9294.906541	-9294.906541	0
LOC411288	-4610.468515	-4610.468515	0
LOC411295	-2906.062777	-2906.062777	0
LOC411306	-4868.709833	-4866.878876	3.66191
LOC411335	-2947.371876	-2947.371875	2e-06
LOC411347	-2004.509332	-2004.509332	0
LOC411365	-3112.382520	-3112.382520	0
LOC411391	-3575.783443	-3575.783443	0
LOC411404	-5965.805113	-5962.635078	6.34007
LOC411408	-2551.145037	-2551.145037	0
LOC411447	-7536.193398	-7536.193398	0
LOC411458	-6777.767782	-6777.767781	2e-06
LOC411473	-8587.256523	-8587.256523	0
LOC411474	-21686.934397	-21686.934397	0
LOC411490	-7372.636666	-7372.636666	0
LOC411509	-4233.694133	-4233.694133	0
LOC411510	-4697.990450	-4697.990450	0
LOC411519	-5563.088004	-5563.088004	0
LOC411524	-2759.080413	-2759.080413	0
LOC411540	-8586.635876	-8586.635876	0
LOC411545	-11281.854758	-11281.854758	0
LOC411552	-4243.072789	-4243.072789	0
LOC411564	-14041.363751	-14041.363751	0
LOC411566	-14218.741286	-14218.741286	0
LOC411633	-4616.629717	-4616.629716	2e-06
LOC411639	-48662.836604	-48662.836604	0
LOC411654	-4244.764527	-4244.429572	0.66991
LOC411665	-3358.369086	-3358.369086	0
LOC411698	-4875.039687	-4875.039687	0
LOC411699	-12851.063032	-12851.063032	0
LOC411719	-5305.969260	-5305.969256	8e-06
LOC411722	-4601.671162	-4601.671162	0
LOC411724	-14210.315529	-14210.315529	0
LOC411730	-11622.673640	-11622.658773	0.029734
LOC411731	-10041.535959	-10041.535959	0
LOC411732	-2912.627611	-2912.627611	0
LOC411789	-2794.346764	-2794.346764	0
LOC411794	-6350.083316	-6350.083313	6e-06
LOC411799	-7239.414756	-7239.414756	0
LOC411839	-6516.207861	-6516.207861	0
LOC411856	-3808.335682	-3808.335682	0
LOC411875	-6720.903587	-6720.903587	0
LOC411892	-4104.710282	-4104.710282	0
LOC411904	-10910.637192	-10910.637192	0
LOC411906	-13909.923835	-13909.923835	0
LOC411915	-4488.252145	-4488.252145	0
LOC411923	-13354.760035	-13354.760035	0
LOC411972	-5823.174311	-5823.174311	0
LOC411980	-7731.620556	-7731.620555	2e-06
LOC411982	-3174.159330	-3174.159330	0
