Gene	lnL_Null	lnL_Alt	LRT
LOC102654146	-4547.416466	-4545.419084	3.99476
LOC411083	-11680.891123	-11676.858751	8.06474
LOC411457	-5571.483044	-5571.435859	0.09437
LOC411796	-5311.928333	-5311.861942	0.132782
LOC551837	-12231.478608	-12225.586412	11.7844
LOC551931	-3245.582220	-3245.582220	0
LOC726476	-4810.374166	-4810.374166	0
Arp1	-3662.147838	-3662.147838	0
B-gluc1	-8572.483599	-8571.520497	1.9262
Cox6c	-1482.572223	-1479.997163	5.15012
CPR14	-1851.097749	-1850.532664	1.13017
CPR19	-3269.799921	-3269.799921	0
CSP6	-1980.492021	-1980.492021	0
CytC	-1423.408358	-1423.408358	0
Dcr-1	-17138.572718	-17138.456611	0.232214
Dl	-10515.624752	-10515.624752	0
Dnmt3	-9957.608977	-9957.608977	0
Ecr	-4686.937936	-4686.937930	1.2e-05
egh	-5750.956335	-5750.915936	0.080798
FAR1	-7148.074170	-7148.074170	0
Gat-1B	-7489.329107	-7489.329107	0
Gat-a	-7591.100997	-7591.100997	0
Gfat2	-9215.081440	-9215.081440	0
GlnS	-5417.114674	-5413.234959	7.75943
GstD1	-4396.515605	-4393.618612	5.79399
GstS4	-3263.845104	-3263.845104	0
Imd	-4526.874266	-4526.874266	0
Jtb	-8380.551788	-8380.551788	0
KAT2A	-9558.712554	-9558.712554	0
LOC100379261	-6102.187588	-6102.187588	0
LOC100576099	-2083.115123	-2083.008263	0.21372
LOC100576186	-7579.084802	-7579.084802	0
LOC100576195	-1541.557451	-1538.329405	6.45609
LOC100576337	-3442.807684	-3441.796611	2.02215
LOC100576383	-6944.478125	-6942.570147	3.81596
LOC100576411	-9064.980305	-9064.980305	0
LOC100576527	-8836.109971	-8836.109971	0
LOC100576646	-3360.032200	-3357.029902	6.0046
LOC100576649	-8763.231917	-8760.531295	5.40124
LOC100576660	-9030.221725	-9029.468769	1.50591
LOC100576742	-15607.447386	-15605.014950	4.86487
LOC100576795	-3885.439726	-3884.245108	2.38924
LOC100576801	-3753.661082	-3753.661082	0
LOC100576818	-4880.042902	-4878.982032	2.12174
LOC100576819	-7686.749189	-7686.179394	1.13959
LOC100576826	-3583.492090	-3583.492090	0
LOC100576862	-6288.516521	-6280.938034	15.157
LOC100577002	-8142.517509	-8141.904688	1.22564
LOC100577019	-487.818240	-487.818240	0
LOC100577050	-8149.520855	-8149.143297	0.755116
LOC100577053	-9031.405834	-9031.346621	0.118426
LOC100577136	-5988.585376	-5983.533882	10.103
LOC100577140	-8781.419936	-8778.642620	5.55463
LOC100577174	-18804.416460	-18803.002987	2.82695
LOC100577196	-9773.442248	-9773.367175	0.150146
LOC100577401	-16688.184009	-16681.432268	13.5035
LOC100577423	-5055.062900	-5051.454737	7.21633
LOC100577481	-7684.166010	-7684.166010	0
LOC100577493	-9552.689178	-9552.564282	0.249792
LOC100577519			0
LOC100577687	-7342.304777	-7340.869080	2.87139
LOC100577690	-2327.302568	-2327.302568	0
LOC100577763	-37579.569362	-37573.938823	11.2611
LOC100577764	-1764.594010	-1764.594010	0
LOC100577841	-4281.848776	-4277.805702	8.08615
LOC100577870	-1455.706144	-1455.706144	0
LOC100577972	-67390.479417	-67384.879325	11.2002
LOC100578030	-5502.574184	-5499.863699	5.42097
LOC100578035	-3697.346076	-3697.346076	0
LOC100578071	-27466.191059	-27464.352460	3.6772
LOC100578156	-4120.695014	-4120.695014	0
LOC100578168	-2228.421622	-2228.421622	0
LOC100578209	-4743.268746	-4743.268746	0
LOC100578215	-6355.517701	-6354.030264	2.97487
LOC100578235	-1919.028808	-1919.028768	8e-05
LOC100578255	-23337.019483	-23337.019483	0
LOC100578277	-1115.865449	-1115.865449	0
LOC100578329	-9291.650631	-9291.368571	0.56412
LOC100578356	-19591.017749	-19588.524017	4.98746
LOC100578380	-2966.578305	-2966.578299	1.2e-05
LOC100578433	-22943.871008	-22943.871008	0
LOC100578450	-11515.890749	-11515.890749	0
LOC100578537	-11222.083260	-11222.083260	0
LOC100578560	-1645.800149	-1640.464717	10.6709
LOC100578586	-10979.025237	-10977.309999	3.43048
LOC100578697	-2798.850758	-2798.850758	0
LOC100578725	-1133.930588	-1133.489589	0.881998
LOC100578875	-4993.945276	-4993.239408	1.41174
LOC100578893	-11052.136215	-11051.195744	1.88094
LOC102653793	-5575.379849	-5573.162938	4.43382
LOC102653879	-4449.317165	-4449.308701	0.016928
LOC102653930	-1477.985645	-1477.985645	0
LOC102653951	-1985.255011	-1985.159023	0.191976
LOC102654014	-3590.638957	-3590.485323	0.307268
LOC102654165	-4722.677037	-4722.677037	0
LOC102654312	-5274.407078	-5272.370718	4.07272
LOC102654349	-958.480352	-958.360821	0.239062
LOC102654365	-8185.644827	-8184.930904	1.42785
LOC102654610	-3853.213676	-3851.937762	2.55183
LOC102654621	-6697.318513	-6694.388193	5.86064
LOC102654987	-2046.651601	-2046.651601	0
LOC102655219	-4876.903018	-4875.366009	3.07402
