Gene	lnL_Null	lnL_Alt	LRT
Akhr	-4946.785424	-4946.785424	0
ATP5G2	-1750.792898	-1750.792898	0
Blop	-5931.490821	-5931.490821	0
Br-c	-4469.819022	-4469.819022	0
Chmp1	-1600.825943	-1600.825943	0
Coq7	-2703.600359	-2703.486174	0.22837
Cpap3-c	-3088.820992	-3088.820992	0
CPF1	-1775.289940	-1774.948403	0.683074
Cry2	-6687.398585	-6687.398585	0
CSP4	-2556.289807	-2556.188886	0.201842
DopR2	-6694.408078	-6694.408078	0
E74	-4801.223334	-4801.223334	0
E75	-5785.830423	-5786.218514	-0.776182
Ef-1a-f1	-5453.637564	-5453.637564	0
Emc	-1712.901309	-1712.901309	0
Ets97D-like	-5879.816669	-5879.816669	0
Grd	-6541.422033	-6541.422033	0
Gycbeta1	-5449.003412	-5449.003412	0
Hsc70-4	-7543.399020	-7543.399020	0
Hsc70-5	-3950.683040	-3950.683033	1.4e-05
Hsp90	-8620.122122	-8620.122122	0
Ing3	-3528.777365	-3528.777365	0
LOC100576110	-8739.195783	-8739.195783	0
LOC100576152	-4008.593383	-4008.593383	0
LOC100576194	-3995.305093	-3995.273519	0.063148
LOC100576220	-3236.871717	-3236.767798	0.207838
LOC100576227	-15139.797741	-15139.797741	0
LOC100576249	-8002.724987	-8002.724987	0
LOC100576261	-6558.196946	-6558.196946	0
LOC100576266	-7379.887485	-7379.887485	0
LOC100576277	-9094.413985	-9094.413985	0
LOC100576298	-5689.942898	-5689.805490	0.274816
LOC100576307	-4655.978642	-4655.858963	0.239358
LOC100576321	-26868.201523	-26867.710063	0.98292
LOC100576433	-5823.104583	-5823.129457	-0.049748
LOC100576461	-7535.720566	-7535.172301	1.09653
LOC100576492	-751.844828	-751.844828	0
LOC100576531	-2420.356839	-2420.356839	0
LOC100576532	-2936.376668	-2935.183677	2.38598
LOC100576586	-7612.775014	-7612.775014	0
LOC100576608	-4966.711863	-4966.711863	0
LOC100576615	-8932.758176	-8932.758176	0
LOC100576647	-8845.235084	-8845.235084	0
LOC100576663	-1477.985645	-1477.985645	0
LOC100576666	-9448.216639	-9448.216639	0
LOC100576667	-6243.691514	-6241.787410	3.80821
LOC100576730	-1327.949661	-1327.949661	0
LOC100576733	-3158.467368	-3158.450577	0.033582
LOC100576744	-6725.224706	-6725.224706	0
LOC100576796	-1466.143484	-1466.143484	0
LOC100576805	-3305.633866	-3305.633866	0
LOC100576866	-7012.699987	-7012.699987	0
LOC100576879	-17638.844170	-17638.844170	0
LOC100576915	-10393.001771	-10392.778629	0.446284
LOC100576919	-20014.134397	-20014.134397	0
LOC100576934	-4335.455903	-4335.455903	0
LOC100576975	-3203.795525	-3203.771741	0.047568
LOC100576982	-2605.195916	-2605.195916	0
LOC100576990	-11878.295338	-11878.295338	0
LOC100577000	-2332.291328	-2332.291328	0
LOC100577003	-1745.519587	-1743.677194	3.68479
LOC100577028	-1544.466932	-1544.413524	0.106816
LOC100577069	-3855.069343	-3855.069343	0
LOC100577180	-6394.232899	-6393.356202	1.75339
LOC100577192	-3921.716973	-3921.627183	0.17958
LOC100577237	-6383.335749	-6383.335749	0
LOC100577268	-1173.581951	-1173.581951	0
LOC100577293	-2246.391297	-2246.391297	0
LOC100577376	-17831.201219	-17831.201219	0
LOC100577377	-7884.093130	-7884.093130	0
LOC100577385	-7807.344555	-7807.344533	4.4e-05
LOC100577515	-8952.105165	-8952.096490	0.01735
LOC100577516	-6608.798016	-6608.798016	0
LOC100577635	-6861.157771	-6861.157771	0
LOC100577669	-16783.811679	-16783.803550	0.016258
LOC100577694	-7441.324626	-7441.324626	0
LOC100577739	-35683.608679	-35683.443834	0.32969
LOC100577801	-8699.367136	-8699.260831	0.21261
LOC100577885	-7790.782867	-7790.782867	0
LOC100577920	-1780.369526	-1780.369526	0
LOC100577966	-3582.933537	-3582.933537	0
LOC100577981	-15129.928674	-15129.928674	0
LOC100577998	-11211.486634	-11210.362998	2.24727
LOC100578001	-4050.509692	-4050.146921	0.725542
LOC100578002	-1052.360067	-1052.360067	0
LOC100578066	-9132.886940	-9132.886940	0
LOC100578085	-4245.087514	-4245.087512	4e-06
LOC100578091	-1953.371175	-1953.371175	0
LOC100578105	-12250.747444	-12250.733123	0.028642
LOC100578106	-7297.947723	-7297.947723	0
LOC100578109	-7235.346039	-7235.036921	0.618236
